timestamp_backend,timestamp_reasoner,timestamp_iot,jarakObjek,jarakOrang,reasoningTime,endToEndTime,backendTime,valveStatus,washingStatus
2025-11-23:20-17-38,-,-,38.335,33.558,0,0,69,st_actOFF,st_washNO
2025-11-23:20-17-40,-,-,38.335,33.558,0,3639,18,st_actOFF,st_washNO
2025-11-23:20-17-42,2025-11-23:20-17-40,2025-11-23:20-17-24,34.357,33.541,212,918,17,st_actOFF,st_washNO
2025-11-23:20-17-44,2025-11-23:20-17-42,2025-11-23:20-17-26,34.442,33.541,244,918,22,st_actOFF,st_washNO
2025-11-23:20-17-46,2025-11-23:20-17-45,2025-11-23:20-17-29,54.604,33.541,196,1504,27,st_actOFF,st_washNO
2025-11-23:20-17-48,2025-11-23:20-17-47,2025-11-23:20-17-31,30.583,33.541,225,887,118,st_actOFF,st_washNO
2025-11-23:20-17-50,2025-11-23:20-17-49,2025-11-23:20-17-33,30.566,33.031,206,811,17,st_actOFF,st_washNO
2025-11-23:20-17-52,2025-11-23:20-17-51,2025-11-23:20-17-34,61.336,33.541,219,849,20,st_actOFF,st_washNO
2025-11-23:20-17-54,2025-11-23:20-17-53,2025-11-23:20-17-36,39.916,33.609,128,749,26,st_actOFF,st_washNO
2025-11-23:20-17-56,2025-11-23:20-17-55,2025-11-23:20-17-38,38.352,33.558,221,940,17,st_actOFF,st_washNO
2025-11-23:20-17-58,2025-11-23:20-17-57,2025-11-23:20-17-40,57.426,33.524,199,909,30,st_actOFF,st_washNO
2025-11-23:20-18-00,2025-11-23:20-17-58,2025-11-23:20-17-42,59.041,33.541,191,808,27,st_actOFF,st_washNO
2025-11-23:20-18-02,2025-11-23:20-18-00,2025-11-23:20-17-44,30.566,33.524,220,1022,22,st_actOFF,st_washNO
2025-11-23:20-18-04,2025-11-23:20-18-02,2025-11-23:20-17-46,51.867,33.541,202,890,19,st_actOFF,st_washNO
2025-11-23:20-18-06,2025-11-23:20-18-04,2025-11-23:20-17-48,30.566,33.524,226,910,29,st_actOFF,st_washNO
2025-11-23:20-18-08,2025-11-23:20-18-06,2025-11-23:20-17-50,37.859,33.524,202,892,22,st_actOFF,st_washNO
2025-11-23:20-18-10,2025-11-23:20-18-08,2025-11-23:20-17-52,62.203,33.524,227,934,31,st_actOFF,st_washNO
2025-11-23:20-18-12,2025-11-23:20-18-10,2025-11-23:20-17-54,37.91,33.541,179,886,31,st_actOFF,st_washNO
2025-11-23:20-18-14,2025-11-23:20-18-12,2025-11-23:20-17-56,30.583,33.541,237,1014,40,st_actOFF,st_washNO
2025-11-23:20-18-16,2025-11-23:20-18-14,2025-11-23:20-17-58,29.801,33.524,230,954,27,st_actOFF,st_washNO
2025-11-23:20-18-18,2025-11-23:20-18-18,2025-11-23:20-18-01,30.566,33.014,212,925,19,st_actOFF,st_washNO
2025-11-23:20-18-20,2025-11-23:20-18-20,2025-11-23:20-18-03,37.876,33.014,222,896,18,st_actOFF,st_washNO
2025-11-23:20-18-22,2025-11-23:20-18-22,2025-11-23:20-18-05,37.893,32.249,293,881,18,st_actOFF,st_washNO
2025-11-23:20-18-24,2025-11-23:20-18-24,2025-11-23:20-18-07,23.766,33.031,229,1056,21,st_actOFF,st_washNO
2025-11-23:20-18-26,2025-11-23:20-18-26,2025-11-23:20-18-09,30.583,33.014,215,1011,23,st_actOFF,st_washNO
2025-11-23:20-18-28,2025-11-23:20-18-28,2025-11-23:20-18-11,30.583,33.014,226,905,13,st_actOFF,st_washNO
2025-11-23:20-18-30,2025-11-23:20-18-30,2025-11-23:20-18-13,38.318,33.524,285,875,22,st_actOFF,st_washNO
2025-11-23:20-18-32,2025-11-23:20-18-32,2025-11-23:20-18-15,37.893,33.524,226,967,22,st_actOFF,st_washNO
2025-11-23:20-18-35,2025-11-23:20-18-34,2025-11-23:20-18-17,46.189,33.541,256,853,32,st_actOFF,st_washNO
2025-11-23:20-18-37,2025-11-23:20-18-36,2025-11-23:20-18-19,37.893,33.541,239,878,26,st_actOFF,st_washNO
2025-11-23:20-18-39,2025-11-23:20-18-38,2025-11-23:20-18-21,36.295,33.014,198,935,22,st_actOFF,st_washNO
2025-11-23:20-18-41,2025-11-23:20-18-40,2025-11-23:20-18-23,20.06,33.031,222,833,32,st_actOFF,st_washNO
2025-11-23:20-18-43,2025-11-23:20-18-42,2025-11-23:20-18-25,20.06,33.541,220,884,28,st_actOFF,st_washNO
2025-11-23:20-18-45,2025-11-23:20-18-44,2025-11-23:20-18-27,20.043,33.524,215,824,25,st_actOFF,st_washNO
2025-11-23:20-18-48,2025-11-23:20-18-44,2025-11-23:20-18-27,37.213,33.541,215,824,1451,st_actOFF,st_washNO
2025-11-23:20-18-50,2025-11-23:20-18-48,2025-11-23:20-18-29,68.612,33.541,2897,3733,56,st_actOFF,st_washNO
2025-11-23:20-18-52,2025-11-23:20-18-52,2025-11-23:20-18-36,20.043,33.524,208,921,24,st_actOFF,st_washNO
2025-11-23:20-18-54,2025-11-23:20-18-54,2025-11-23:20-18-38,39.848,33.541,212,986,26,st_actOFF,st_washNO
2025-11-23:20-18-56,2025-11-23:20-18-56,2025-11-23:20-18-40,36.737,33.524,222,1015,18,st_actOFF,st_washNO
2025-11-23:20-18-58,2025-11-23:20-18-58,2025-11-23:20-18-42,36.737,33.524,222,1013,31,st_actOFF,st_washNO
2025-11-23:20-19-00,2025-11-23:20-19-00,2025-11-23:20-18-44,36.737,33.541,230,891,19,st_actOFF,st_washNO
2025-11-23:20-19-02,2025-11-23:20-19-02,2025-11-23:20-18-46,37.179,33.541,202,995,19,st_actOFF,st_washNO
2025-11-23:20-19-04,2025-11-23:20-19-04,2025-11-23:20-18-48,37.196,33.541,212,923,18,st_actOFF,st_washNO
2025-11-23:20-19-06,2025-11-23:20-19-06,2025-11-23:20-18-50,36.72,33.541,223,984,20,st_actOFF,st_washNO
2025-11-23:20-19-08,2025-11-23:20-19-08,2025-11-23:20-18-52,20.06,33.541,230,1014,16,st_actOFF,st_washNO
2025-11-23:20-19-11,2025-11-23:20-19-10,2025-11-23:20-18-54,36.72,33.609,226,922,15,st_actOFF,st_washNO
2025-11-23:20-19-13,2025-11-23:20-19-12,2025-11-23:20-18-56,36.754,33.541,203,982,20,st_actOFF,st_washNO
2025-11-23:20-19-15,2025-11-23:20-19-14,2025-11-23:20-18-58,16.575,33.031,229,936,18,st_actOFF,st_washNO
2025-11-23:20-19-17,2025-11-23:20-19-17,2025-11-23:20-19-00,38.794,33.031,241,1051,27,st_actOFF,st_washNO
2025-11-23:20-19-19,2025-11-23:20-19-19,2025-11-23:20-19-02,18.768,33.082,224,926,20,st_actOFF,st_washNO
2025-11-23:20-19-21,2025-11-23:20-19-21,2025-11-23:20-19-04,38.352,33.014,223,984,17,st_actOFF,st_washNO
2025-11-23:20-19-23,2025-11-23:20-19-23,2025-11-23:20-19-06,37.893,33.014,198,1012,17,st_actOFF,st_washNO
2025-11-23:20-19-25,2025-11-23:20-19-25,2025-11-23:20-19-08,41.99,33.031,251,918,18,st_actOFF,st_washNO
2025-11-23:20-19-27,2025-11-23:20-19-26,2025-11-23:20-19-10,31.144,33.082,207,915,13,st_actOFF,st_washNO
2025-11-23:20-19-29,2025-11-23:20-19-28,2025-11-23:20-19-12,36.856,33.014,232,895,21,st_actOFF,st_washNO
