timestamp_backend,timestamp_reasoner,timestamp_iot,jarakObjek,jarakOrang,reasoningTime,endToEndTime,backendTime,valveStatus,washingStatus
2025-11-17:17-25-58,-,-,217.022,217.226,0,0,92,st_actOFF,st_washNO
2025-11-17:17-26-00,2025-11-17:17-25-59,2025-11-17:17-25-43,143.769,160.888,100,3483,5,st_actOFF,st_washNO
2025-11-17:17-26-02,2025-11-17:17-26-02,2025-11-17:17-25-49,185.096,161.347,86,795,5,st_actOFF,st_washNO
2025-11-17:17-26-04,2025-11-17:17-26-04,2025-11-17:17-25-51,185.045,160.922,88,908,6,st_actOFF,st_washNO
2025-11-17:17-26-06,2025-11-17:17-26-06,2025-11-17:17-25-53,143.786,56.44,79,667,14,st_actOFF,st_washNO
2025-11-17:17-26-08,2025-11-17:17-26-08,2025-11-17:17-25-55,143.786,61.625,81,729,5,st_actOFF,st_washNO
2025-11-17:17-26-10,2025-11-17:17-26-09,2025-11-17:17-25-56,143.786,160.497,83,716,5,st_actOFF,st_washNO
2025-11-17:17-26-12,2025-11-17:17-26-11,2025-11-17:17-25-58,157.403,59.653,83,792,5,st_actOFF,st_washNO
2025-11-17:17-26-14,2025-11-17:17-26-13,2025-11-17:17-26-00,160.055,161.262,92,916,5,st_actOFF,st_washNO
2025-11-17:17-26-16,2025-11-17:17-26-15,2025-11-17:17-26-03,143.344,160.803,83,717,14,st_actOFF,st_washNO
2025-11-17:17-26-18,2025-11-17:17-26-17,2025-11-17:17-26-04,143.701,4.318,95,805,6,st_actOFF,st_washNO
2025-11-17:17-26-20,2025-11-17:17-26-19,2025-11-17:17-26-06,144.143,161.687,217,946,8,st_actOFF,st_washNO
2025-11-17:17-26-22,2025-11-17:17-26-21,2025-11-17:17-26-08,148.087,160.922,592,1211,19,st_actOFF,st_washNO
2025-11-17:17-26-25,2025-11-17:17-26-23,2025-11-17:17-26-10,143.378,160.837,106,840,31,st_actOFF,st_washNO
2025-11-17:17-26-27,2025-11-17:17-26-25,2025-11-17:17-26-12,144.262,68.323,95,829,16,st_actOFF,st_washNO
2025-11-17:17-26-29,2025-11-17:17-26-28,2025-11-17:17-26-16,59.653,4.318,100,821,13,st_actOFF,st_washNO
2025-11-17:17-26-31,2025-11-17:17-26-30,2025-11-17:17-26-18,50.643,52.564,137,663,25,st_actOFF,st_washNO
2025-11-17:17-26-33,2025-11-17:17-26-32,2025-11-17:17-26-20,54.706,400,128,807,22,st_actOFF,st_washNO
2025-11-17:17-26-35,2025-11-17:17-26-34,2025-11-17:17-26-21,50.983,50.354,126,804,22,st_actOFF,st_washNO
2025-11-17:17-26-37,2025-11-17:17-26-36,2025-11-17:17-26-23,144.024,57.698,98,723,19,st_actOFF,st_washNO
2025-11-17:17-26-39,2025-11-17:17-26-38,2025-11-17:17-26-25,6.256,5.287,96,807,31,st_actON,st_washYES
2025-11-17:17-26-41,2025-11-17:17-26-39,2025-11-17:17-26-27,2.72,37.944,131,817,21,st_actOFF,st_washNO
2025-11-17:17-26-43,2025-11-17:17-26-41,2025-11-17:17-26-29,2.72,3.672,131,810,18,st_actON,st_washYES
2025-11-17:17-26-45,2025-11-17:17-26-45,2025-11-17:17-26-32,3.043,3.349,127,694,36,st_actON,st_washYES
2025-11-17:17-26-47,2025-11-17:17-26-47,2025-11-17:17-26-34,2.703,4.692,109,824,26,st_actON,st_washYES
2025-11-17:17-26-49,2025-11-17:17-26-48,2025-11-17:17-26-36,142.596,12.682,103,845,26,st_actOFF,st_washNO
2025-11-17:17-26-51,2025-11-17:17-26-50,2025-11-17:17-26-38,142.477,142.494,135,771,24,st_actOFF,st_washNO
2025-11-17:17-26-53,2025-11-17:17-26-52,2025-11-17:17-26-40,143.548,142.953,127,741,21,st_actOFF,st_washNO
2025-11-17:17-26-55,2025-11-17:17-26-54,2025-11-17:17-26-41,142.936,142.919,108,685,31,st_actOFF,st_washNO
2025-11-17:17-26-57,2025-11-17:17-26-56,2025-11-17:17-26-43,142.086,143.004,137,802,11,st_actOFF,st_washNO
2025-11-17:17-26-59,2025-11-17:17-26-57,2025-11-17:17-26-45,38.114,68.187,131,832,50,st_actOFF,st_washNO
2025-11-17:17-27-01,2025-11-17:17-27-01,2025-11-17:17-26-48,143.463,51.051,132,713,24,st_actOFF,st_washNO
2025-11-17:17-27-03,2025-11-17:17-27-03,2025-11-17:17-26-50,143.361,142.052,141,803,32,st_actOFF,st_washNO
2025-11-17:17-27-05,2025-11-17:17-27-05,2025-11-17:17-26-52,144.296,142.154,142,748,13,st_actOFF,st_washNO
2025-11-17:17-27-07,2025-11-17:17-27-06,2025-11-17:17-26-54,6.256,100.198,115,790,30,st_actOFF,st_washNO
2025-11-17:17-27-09,2025-11-17:17-27-08,2025-11-17:17-26-56,36.074,69.581,129,801,29,st_actOFF,st_washNO
2025-11-17:17-27-11,2025-11-17:17-27-10,2025-11-17:17-26-58,144.279,142.579,92,719,39,st_actOFF,st_washNO
2025-11-17:17-27-14,2025-11-17:17-27-12,2025-11-17:17-26-59,37.655,56.559,134,811,45,st_actOFF,st_washNO
2025-11-17:17-27-16,2025-11-17:17-27-16,2025-11-17:17-27-03,36.907,69.003,129,688,24,st_actOFF,st_washNO
2025-11-17:17-27-18,2025-11-17:17-27-17,2025-11-17:17-27-04,5.933,4.318,122,722,25,st_actON,st_washYES
2025-11-17:17-27-20,2025-11-17:17-27-19,2025-11-17:17-27-06,7.191,3.162,127,744,17,st_actON,st_washYES
2025-11-17:17-27-22,2025-11-17:17-27-21,2025-11-17:17-27-08,5.933,4.964,113,840,14,st_actON,st_washYES
2025-11-17:17-27-24,2025-11-17:17-27-23,2025-11-17:17-27-10,5.61,4.641,128,814,19,st_actON,st_washYES
2025-11-17:17-27-26,2025-11-17:17-27-25,2025-11-17:17-27-12,143.922,143.038,134,774,22,st_actOFF,st_washNO
2025-11-17:17-27-28,2025-11-17:17-27-26,2025-11-17:17-27-13,143.922,142.63,102,848,14,st_actOFF,st_washNO
2025-11-17:17-27-30,2025-11-17:17-27-28,2025-11-17:17-27-15,144.313,143.038,130,806,28,st_actOFF,st_washNO
2025-11-17:17-27-32,2025-11-17:17-27-30,2025-11-17:17-27-17,9.877,16.422,106,724,64,st_actON,st_washYES
2025-11-17:17-27-34,2025-11-17:17-27-34,2025-11-17:17-27-21,2.074,5.287,129,709,7,st_actON,st_washYES
2025-11-17:17-27-36,2025-11-17:17-27-35,2025-11-17:17-27-22,2.703,400,129,815,23,st_actOFF,st_washNO
2025-11-17:17-27-38,2025-11-17:17-27-37,2025-11-17:17-27-24,2.074,4.964,120,720,22,st_actON,st_washYES
2025-11-17:17-27-40,2025-11-17:17-27-39,2025-11-17:17-27-26,145.69,142.647,137,809,28,st_actOFF,st_washNO
2025-11-17:17-27-42,2025-11-17:17-27-41,2025-11-17:17-27-28,186.048,143.038,97,725,14,st_actOFF,st_washNO
2025-11-17:17-27-44,2025-11-17:17-27-43,2025-11-17:17-27-30,186.133,142.596,129,792,24,st_actOFF,st_washNO
2025-11-17:17-27-46,2025-11-17:17-27-44,2025-11-17:17-27-31,187.391,142.681,85,735,13,st_actOFF,st_washNO
2025-11-17:17-27-48,2025-11-17:17-27-46,2025-11-17:17-27-33,186.167,142.63,136,776,54,st_actOFF,st_washNO
2025-11-17:17-27-50,2025-11-17:17-27-50,2025-11-17:17-27-37,187.391,143.021,186,828,22,st_actOFF,st_washNO
