timeStamp,jarakObjek,jarakOrang,reasoningTime,endToEndTime,backendTime,valveStatus,washingStatus
02-11-2025 16:35:09,2.771,10.931,0,0,621,st_actON,st_washYES
02-11-2025 16:35:11,2.771,10.931,0,0,85,st_actON,st_washYES
02-11-2025 16:35:13,2.771,10.931,0,0,45,st_actON,st_washYES
02-11-2025 16:35:15,2.771,10.931,0,0,72,st_actON,st_washYES
02-11-2025 16:35:17,2.771,10.931,0,0,54,st_actON,st_washYES
02-11-2025 16:35:19,2.771,10.931,0,0,44,st_actON,st_washYES
02-11-2025 16:35:21,2.771,10.931,0,0,121,st_actON,st_washYES
02-11-2025 16:35:23,2.771,10.931,0,0,50,st_actON,st_washYES
02-11-2025 16:35:25,2.771,10.931,0,0,29,st_actON,st_washYES
02-11-2025 16:35:28,2.771,10.931,0,0,82,st_actON,st_washYES
02-11-2025 16:35:30,2.771,10.931,0,0,54,st_actON,st_washYES
02-11-2025 16:35:32,2.771,10.931,0,0,20,st_actON,st_washYES
02-11-2025 16:35:34,2.771,10.931,0,0,76,st_actON,st_washYES
02-11-2025 16:35:36,2.771,10.931,0,0,68,st_actON,st_washYES
02-11-2025 16:35:38,2.771,10.931,0,0,26,st_actON,st_washYES
02-11-2025 16:35:40,2.771,10.931,0,0,43,st_actON,st_washYES
02-11-2025 16:35:42,2.771,10.931,0,0,65,st_actON,st_washYES
02-11-2025 16:35:44,2.771,10.931,0,0,52,st_actON,st_washYES
02-11-2025 16:35:46,2.771,10.931,0,0,48,st_actON,st_washYES
02-11-2025 16:35:48,2.771,10.931,0,0,41,st_actON,st_washYES
02-11-2025 16:35:50,2.771,10.931,0,0,43,st_actON,st_washYES
02-11-2025 16:35:52,2.771,10.931,0,0,51,st_actON,st_washYES
02-11-2025 16:35:54,2.771,10.931,0,0,59,st_actON,st_washYES
02-11-2025 16:35:56,2.771,10.931,0,0,54,st_actON,st_washYES
02-11-2025 16:35:58,2.771,10.931,0,0,51,st_actON,st_washYES
02-11-2025 16:36:00,2.771,10.931,0,0,45,st_actON,st_washYES
02-11-2025 16:36:03,2.771,10.931,0,0,26,st_actON,st_washYES
02-11-2025 16:36:05,2.771,10.931,0,0,24,st_actON,st_washYES
02-11-2025 16:36:07,2.771,10.931,0,0,56,st_actON,st_washYES
02-11-2025 16:36:09,2.771,10.931,0,0,34,st_actON,st_washYES
02-11-2025 16:36:11,2.771,10.931,0,0,39,st_actON,st_washYES
02-11-2025 16:36:13,2.771,10.931,0,0,61,st_actON,st_washYES
02-11-2025 16:36:15,2.771,10.931,0,0,37,st_actON,st_washYES
02-11-2025 16:36:17,2.771,10.931,0,0,35,st_actON,st_washYES
02-11-2025 16:36:19,2.771,10.931,0,0,56,st_actON,st_washYES
02-11-2025 16:36:21,2.771,10.931,0,0,45,st_actON,st_washYES
02-11-2025 16:36:23,2.771,10.931,0,0,31,st_actON,st_washYES
02-11-2025 16:36:25,2.771,10.931,0,0,29,st_actON,st_washYES
02-11-2025 16:36:27,2.771,10.931,0,0,33,st_actON,st_washYES
