timeStamp,jarakObjek,jarakOrang,reasoningTime,endToEndTime,backendTime,valveStatus,washingStatus
30-10-2025 11:25:07,3.094,7.616,208,893,38,st_actON,st_washYES
30-10-2025 11:25:09,3.723,26.894,189,854,39,st_actOFF,st_washNO
30-10-2025 11:25:11,3.094,3.349,190,766,49,st_actON,st_washYES
30-10-2025 11:25:13,3.094,4.301,181,756,86,st_actON,st_washYES
30-10-2025 11:25:15,3.417,4.318,201,855,55,st_actON,st_washYES
30-10-2025 11:25:17,3.094,4.318,210,1009,37,st_actON,st_washYES
30-10-2025 11:25:19,2.805,3.026,166,1026,40,st_actON,st_washYES
30-10-2025 11:25:21,185.402,139.332,164,994,20,st_actOFF,st_washNO
30-10-2025 11:25:23,185.028,138.89,182,912,40,st_actOFF,st_washNO
30-10-2025 11:25:25,185.419,138.907,205,837,52,st_actOFF,st_washNO
30-10-2025 11:25:27,400,138.958,179,889,30,st_actOFF,st_washNO
30-10-2025 11:25:29,400,138.465,173,1013,33,st_actOFF,st_washNO
30-10-2025 11:25:31,185.351,139.281,190,913,22,st_actOFF,st_washNO
30-10-2025 11:25:33,185.334,138.907,182,804,35,st_actOFF,st_washNO
30-10-2025 11:25:35,185.402,138.482,107,719,44,st_actOFF,st_washNO
30-10-2025 11:25:37,184.96,139.366,111,752,32,st_actOFF,st_washNO
30-10-2025 11:25:39,185.317,139.298,213,853,23,st_actOFF,st_washNO
30-10-2025 11:25:41,184.943,139.281,175,810,44,st_actOFF,st_washNO
30-10-2025 11:25:43,400,138.941,183,905,49,st_actOFF,st_washNO
30-10-2025 11:25:45,184.96,138.924,181,813,37,st_actOFF,st_washNO
30-10-2025 11:25:47,185.351,138.924,132,913,21,st_actOFF,st_washNO
30-10-2025 11:25:50,184.96,139.213,173,841,36,st_actOFF,st_washNO
30-10-2025 11:25:52,400,139.281,180,878,31,st_actOFF,st_washNO
30-10-2025 11:25:54,185.351,138.839,164,809,33,st_actOFF,st_washNO
30-10-2025 11:25:56,400,138.839,163,809,36,st_actOFF,st_washNO
30-10-2025 11:25:58,185.351,138.431,153,806,59,st_actOFF,st_washNO
30-10-2025 11:26:00,185.385,138.941,151,739,33,st_actOFF,st_washNO
30-10-2025 11:26:02,185.334,138.482,93,830,39,st_actOFF,st_washNO
30-10-2025 11:26:04,184.977,138.822,152,773,31,st_actOFF,st_washNO
30-10-2025 11:26:06,400,30.158,139,843,35,st_actOFF,st_washNO
30-10-2025 11:26:08,184.858,121.295,156,878,33,st_actOFF,st_washNO
30-10-2025 11:26:10,184.722,138.839,180,841,39,st_actOFF,st_washNO
30-10-2025 11:26:12,184.909,138.499,194,906,22,st_actOFF,st_washNO
30-10-2025 11:26:14,30.736,36.04,140,814,29,st_actOFF,st_washNO
30-10-2025 11:26:16,14.807,122.026,170,810,47,st_actOFF,st_washNO
30-10-2025 11:26:18,185.793,139.74,202,909,53,st_actOFF,st_washNO
30-10-2025 11:26:20,185.419,139.349,202,809,340,st_actOFF,st_washNO
30-10-2025 11:26:23,185.844,139.298,604,1411,568,st_actOFF,st_washNO
30-10-2025 11:26:25,185.368,138.873,177,1542,27,st_actOFF,st_washNO
30-10-2025 11:26:27,184.926,138.873,132,809,39,st_actOFF,st_washNO
30-10-2025 11:26:29,184.926,138.873,194,721,39,st_actOFF,st_washNO
30-10-2025 11:26:31,185.385,139.298,176,914,32,st_actOFF,st_washNO
30-10-2025 11:26:33,185.844,139.332,168,813,43,st_actOFF,st_washNO
30-10-2025 11:26:35,185.368,139.383,161,810,13,st_actOFF,st_washNO
30-10-2025 11:26:37,185.385,138.958,166,915,42,st_actOFF,st_washNO
30-10-2025 11:26:39,185.385,139.655,145,815,30,st_actOFF,st_washNO
30-10-2025 11:26:41,185.3,139.298,158,914,34,st_actOFF,st_washNO
30-10-2025 11:26:43,185.351,139.298,145,781,26,st_actOFF,st_washNO
30-10-2025 11:26:45,184.943,138.873,180,747,43,st_actOFF,st_washNO
30-10-2025 11:26:48,185.011,139.298,123,914,25,st_actOFF,st_washNO
30-10-2025 11:26:50,400,138.856,150,810,28,st_actOFF,st_washNO
30-10-2025 11:26:52,185.402,139.672,146,750,49,st_actOFF,st_washNO
30-10-2025 11:26:54,185.368,138.839,179,889,31,st_actOFF,st_washNO
30-10-2025 13:15:40,184.926,138.805,2039,3248,219,st_actOFF,st_washNO
30-10-2025 13:15:42,50.031,95.047,373,1342,62,st_actOFF,st_washNO
30-10-2025 13:15:44,185.878,137.53,134,896,32,st_actOFF,st_washNO
30-10-2025 13:15:47,185.028,137.972,816,812,490,st_actOFF,st_washNO
30-10-2025 13:15:49,185.011,131.852,237,1398,68,st_actOFF,st_washNO
30-10-2025 13:15:51,184.994,137.122,225,957,67,st_actOFF,st_washNO
30-10-2025 13:15:53,185.011,137.53,202,922,62,st_actOFF,st_washNO
30-10-2025 13:15:55,218.977,137.632,214,871,67,st_actOFF,st_washNO
30-10-2025 13:15:57,185.062,137.989,174,882,95,st_actOFF,st_washNO
30-10-2025 13:15:59,185.453,138.074,213,799,63,st_actOFF,st_washNO
30-10-2025 13:16:01,185.045,138.431,213,936,61,st_actOFF,st_washNO
30-10-2025 13:16:03,185.453,138.091,189,832,66,st_actOFF,st_washNO
30-10-2025 13:16:05,184.994,137.649,198,919,59,st_actOFF,st_washNO
30-10-2025 13:16:07,185.436,137.615,192,885,53,st_actOFF,st_washNO
30-10-2025 13:16:09,185.436,137.156,205,908,44,st_actOFF,st_washNO
30-10-2025 13:16:11,185.028,137.156,203,899,57,st_actOFF,st_washNO
30-10-2025 13:16:14,185.011,180.829,193,911,51,st_actOFF,st_washNO
30-10-2025 13:16:16,184.688,181.747,201,917,48,st_actOFF,st_washNO
30-10-2025 13:16:18,185.47,138.414,210,849,49,st_actOFF,st_washNO
30-10-2025 13:16:20,184.705,137.989,199,967,37,st_actOFF,st_washNO
30-10-2025 13:16:22,184.705,137.989,199,1258,50,st_actOFF,st_washNO
30-10-2025 13:16:24,45.356,56.457,194,1266,51,st_actOFF,st_washNO
30-10-2025 13:16:26,185.878,137.53,181,904,52,st_actOFF,st_washNO
30-10-2025 13:16:28,190.145,138.414,178,925,133,st_actOFF,st_washNO
30-10-2025 13:16:30,185.419,138.414,177,787,29,st_actOFF,st_washNO
30-10-2025 13:16:32,185.878,5.933,151,826,45,st_actOFF,st_washNO
30-10-2025 13:16:34,8.245,7.599,200,906,20,st_actON,st_washYES
30-10-2025 13:16:36,186.252,7.531,198,830,52,st_actOFF,st_washNO
30-10-2025 13:16:38,184.994,8.177,189,999,63,st_actOFF,st_washNO
30-10-2025 13:16:40,186.269,138.533,172,855,47,st_actOFF,st_washNO
30-10-2025 13:16:42,186.286,138.108,191,926,43,st_actOFF,st_washNO
30-10-2025 13:16:45,187.17,138.057,193,856,30,st_actOFF,st_washNO
30-10-2025 13:16:47,49.861,94.877,201,790,65,st_actOFF,st_washNO
30-10-2025 13:16:49,49.878,95.285,220,844,31,st_actOFF,st_washNO
30-10-2025 13:16:51,185.878,137.581,181,857,164,st_actOFF,st_washNO
30-10-2025 13:16:53,185.453,137.666,196,901,46,st_actOFF,st_washNO
30-10-2025 13:16:55,185.453,138.04,236,827,49,st_actOFF,st_washNO
30-10-2025 13:16:57,218.688,137.649,210,875,52,st_actOFF,st_washNO
30-10-2025 13:16:59,185.912,138.516,210,926,25,st_actOFF,st_washNO
30-10-2025 13:17:01,185.028,138.023,125,1010,19,st_actOFF,st_washNO
30-10-2025 13:17:03,184.671,137.598,124,786,58,st_actOFF,st_washNO
30-10-2025 13:17:05,185.011,137.581,205,923,71,st_actOFF,st_washNO
30-10-2025 13:17:07,185.453,137.632,159,896,61,st_actOFF,st_washNO
30-10-2025 13:17:09,185.419,137.581,191,823,53,st_actOFF,st_washNO
30-10-2025 13:17:11,185.453,138.414,171,994,63,st_actOFF,st_washNO
30-10-2025 13:17:13,185.045,138.057,200,909,37,st_actOFF,st_washNO
30-10-2025 13:17:15,185.436,138.074,195,910,24,st_actOFF,st_washNO
30-10-2025 13:17:17,185.011,138.057,205,995,45,st_actOFF,st_washNO
30-10-2025 13:17:20,184.603,137.564,196,1015,47,st_actOFF,st_washNO
30-10-2025 13:17:22,184.637,137.207,196,1011,37,st_actOFF,st_washNO
30-10-2025 13:17:24,184.977,137.156,188,1011,37,st_actOFF,st_washNO
30-10-2025 13:17:26,185.011,138.431,202,850,46,st_actOFF,st_washNO
30-10-2025 13:17:28,186.711,137.581,176,936,38,st_actOFF,st_washNO
30-10-2025 13:17:30,185.402,137.972,208,934,64,st_actOFF,st_washNO
30-10-2025 13:17:32,185.419,138.057,183,814,44,st_actOFF,st_washNO
30-10-2025 13:17:34,184.977,137.19,197,767,26,st_actOFF,st_washNO
30-10-2025 13:17:36,177.667,137.615,195,808,46,st_actOFF,st_washNO
30-10-2025 13:17:38,185.028,138.057,217,908,76,st_actOFF,st_washNO
30-10-2025 13:17:40,36.618,36.567,191,913,42,st_actOFF,st_washNO
30-10-2025 13:17:42,16.184,400,167,805,53,st_actOFF,st_washNO
30-10-2025 13:17:44,16.167,16.439,173,1011,38,st_actON,st_washYES
30-10-2025 13:17:46,6.953,9.571,180,805,41,st_actON,st_washYES
30-10-2025 13:17:48,6.63,25.976,172,809,47,st_actOFF,st_washNO
30-10-2025 13:17:50,184.552,43.724,192,762,42,st_actOFF,st_washNO
30-10-2025 13:17:52,36.142,23.052,161,721,50,st_actOFF,st_washNO
30-10-2025 13:17:54,36.142,16.439,171,919,30,st_actOFF,st_washNO
30-10-2025 13:17:57,29.682,62.883,184,850,32,st_actOFF,st_washNO
30-10-2025 13:17:59,29.682,30.43,165,807,36,st_actOFF,st_washNO
