timestamp_backend,timestamp_reasoner,timestamp_iot,jarakObjek,jarakOrang,reasoningTime,endToEndTime,backendTime,valveStatus,washingStatus
2025-12-10:17-31-34,-,-,61.506,33.235,0,0,1044,st_actOFF,st_washNO
2025-12-10:17-31-36,-,-,61.506,33.235,0,0,103,st_actOFF,st_washNO
2025-12-10:17-31-38,-,-,61.506,33.235,0,0,83,st_actOFF,st_washNO
2025-12-10:17-31-40,-,-,61.506,33.235,0,0,97,st_actOFF,st_washNO
2025-12-10:17-31-42,-,-,61.506,33.235,0,0,83,st_actOFF,st_washNO
2025-12-10:17-31-44,-,-,61.506,33.235,0,0,46,st_actOFF,st_washNO
2025-12-10:17-31-46,-,-,61.506,33.235,0,0,32,st_actOFF,st_washNO
2025-12-10:17-31-48,2025-12-10:17-31-48,2025-12-10:17-31-47,33.303,33.762,393,590,60,st_actOFF,st_washNO
2025-12-10:17-31-50,2025-12-10:17-31-50,2025-12-10:17-31-49,33.286,33.779,288,407,65,st_actOFF,st_washNO
2025-12-10:17-31-52,2025-12-10:17-31-52,2025-12-10:17-31-51,33.303,33.762,261,381,153,st_actOFF,st_washNO
2025-12-10:17-31-54,2025-12-10:17-31-54,2025-12-10:17-31-53,33.286,33.762,180,354,50,st_actOFF,st_washNO
2025-12-10:17-31-56,2025-12-10:17-31-56,2025-12-10:17-31-55,37.723,33.762,251,435,19,st_actOFF,st_washNO
2025-12-10:17-31-59,2025-12-10:17-31-56,2025-12-10:17-31-55,38.794,33.779,251,435,408,st_actOFF,st_washNO
2025-12-10:17-32-01,2025-12-10:17-31-59,2025-12-10:17-31-56,38.794,33.779,2018,2241,35,st_actOFF,st_washNO
2025-12-10:17-32-03,2025-12-10:17-31-59,2025-12-10:17-31-56,38.794,33.779,2018,3133,49,st_actOFF,st_washNO
2025-12-10:17-32-05,2025-12-10:17-32-05,2025-12-10:17-32-03,32.011,33.779,1601,3133,142,st_actOFF,st_washNO
2025-12-10:17-32-08,2025-12-10:17-32-06,2025-12-10:17-32-05,32.011,33.745,198,373,682,st_actOFF,st_washNO
2025-12-10:17-32-10,2025-12-10:17-32-10,2025-12-10:17-32-09,61.999,33.762,151,256,15,st_actOFF,st_washNO
2025-12-10:17-32-12,2025-12-10:17-32-11,2025-12-10:17-32-11,38.114,33.745,167,274,17,st_actOFF,st_washNO
2025-12-10:17-32-14,2025-12-10:17-32-13,2025-12-10:17-32-13,60.435,33.762,151,264,27,st_actOFF,st_washNO
2025-12-10:17-32-16,2025-12-10:17-32-16,2025-12-10:17-32-15,33.286,33.762,260,257,223,st_actOFF,st_washNO
2025-12-10:17-32-18,2025-12-10:17-32-18,2025-12-10:17-32-17,38.437,33.762,250,351,12,st_actOFF,st_washNO
2025-12-10:17-32-20,2025-12-10:17-32-20,2025-12-10:17-32-19,38.437,33.779,224,345,20,st_actOFF,st_washNO
2025-12-10:17-32-22,2025-12-10:17-32-22,2025-12-10:17-32-21,33.286,33.762,250,378,27,st_actOFF,st_washNO
2025-12-10:17-32-24,2025-12-10:17-32-24,2025-12-10:17-32-23,58.514,33.779,186,285,20,st_actOFF,st_washNO
2025-12-10:17-32-26,2025-12-10:17-32-26,2025-12-10:17-32-25,60.588,33.779,196,303,66,st_actOFF,st_washNO
2025-12-10:17-32-28,2025-12-10:17-32-27,2025-12-10:17-32-27,37.978,33.762,251,375,46,st_actOFF,st_washNO
2025-12-10:17-32-31,2025-12-10:17-32-27,2025-12-10:17-32-27,37.978,33.252,251,375,699,st_actOFF,st_washNO
2025-12-10:17-32-33,2025-12-10:17-32-31,2025-12-10:17-32-28,37.978,33.252,2896,3085,20,st_actOFF,st_washNO
2025-12-10:17-32-35,2025-12-10:17-32-31,2025-12-10:17-32-28,37.978,33.252,2896,3089,73,st_actOFF,st_washNO
2025-12-10:17-32-37,2025-12-10:17-32-37,2025-12-10:17-32-36,72.216,33.745,245,393,49,st_actOFF,st_washNO
2025-12-10:17-32-39,2025-12-10:17-32-39,2025-12-10:17-32-38,38.437,33.762,203,396,25,st_actOFF,st_washNO
2025-12-10:17-32-41,2025-12-10:17-32-41,2025-12-10:17-32-40,33.286,33.779,233,421,22,st_actOFF,st_washNO
2025-12-10:17-32-43,2025-12-10:17-32-43,2025-12-10:17-32-42,33.303,33.762,251,406,15,st_actOFF,st_washNO
2025-12-10:17-32-45,2025-12-10:17-32-45,2025-12-10:17-32-44,33.286,33.762,188,385,39,st_actOFF,st_washNO
2025-12-10:17-32-47,2025-12-10:17-32-47,2025-12-10:17-32-46,32.011,33.762,259,451,12,st_actOFF,st_washNO
2025-12-10:17-32-49,2025-12-10:17-32-49,2025-12-10:17-32-49,31.994,33.762,213,320,33,st_actOFF,st_washNO
2025-12-10:17-32-51,2025-12-10:17-32-51,2025-12-10:17-32-50,33.303,33.762,206,387,22,st_actOFF,st_washNO
2025-12-10:17-32-54,2025-12-10:17-32-53,2025-12-10:17-32-52,38.42,33.762,233,339,43,st_actOFF,st_washNO
2025-12-10:17-32-56,2025-12-10:17-32-55,2025-12-10:17-32-54,33.286,33.745,166,284,12,st_actOFF,st_washNO
2025-12-10:17-32-58,2025-12-10:17-32-57,2025-12-10:17-32-56,33.303,33.762,198,312,33,st_actOFF,st_washNO
2025-12-10:17-33-00,2025-12-10:17-32-59,2025-12-10:17-32-58,37.995,33.779,169,341,37,st_actOFF,st_washNO
2025-12-10:17-33-02,2025-12-10:17-33-01,2025-12-10:17-33-00,37.961,33.762,231,408,11,st_actOFF,st_washNO
2025-12-10:17-33-04,2025-12-10:17-33-03,2025-12-10:17-33-02,32.011,33.762,216,335,20,st_actOFF,st_washNO
2025-12-10:17-33-06,2025-12-10:17-33-05,2025-12-10:17-33-04,38.437,33.745,182,295,16,st_actOFF,st_washNO
2025-12-10:17-33-08,2025-12-10:17-33-07,2025-12-10:17-33-06,60.894,33.762,230,373,112,st_actOFF,st_washNO
2025-12-10:17-33-10,2025-12-10:17-33-10,2025-12-10:17-33-09,33.286,33.762,194,311,39,st_actOFF,st_washNO
2025-12-10:17-33-12,2025-12-10:17-33-12,2025-12-10:17-33-11,32.011,33.779,213,311,39,st_actOFF,st_washNO
2025-12-10:17-33-14,2025-12-10:17-33-13,2025-12-10:17-33-13,60.129,33.762,268,379,41,st_actOFF,st_washNO
2025-12-10:17-33-16,2025-12-10:17-33-15,2025-12-10:17-33-15,61.098,33.762,213,314,63,st_actOFF,st_washNO
2025-12-10:17-33-18,2025-12-10:17-33-17,2025-12-10:17-33-17,32.011,33.745,218,339,53,st_actOFF,st_washNO
2025-12-10:17-33-20,2025-12-10:17-33-20,2025-12-10:17-33-19,38.454,33.779,957,1058,22,st_actOFF,st_washNO
2025-12-10:17-33-22,2025-12-10:17-33-22,2025-12-10:17-33-21,32.028,33.762,242,507,35,st_actOFF,st_washNO
2025-12-10:17-33-24,2025-12-10:17-33-24,2025-12-10:17-33-23,32.011,33.779,236,351,37,st_actOFF,st_washNO
2025-12-10:17-33-26,2025-12-10:17-33-26,2025-12-10:17-33-25,38.454,33.762,237,352,42,st_actOFF,st_washNO
2025-12-10:17-33-28,2025-12-10:17-33-28,2025-12-10:17-33-27,32.793,33.762,231,345,53,st_actOFF,st_washNO
2025-12-10:17-33-30,2025-12-10:17-33-30,2025-12-10:17-33-29,60.299,33.252,217,329,36,st_actOFF,st_washNO
2025-12-10:17-33-33,2025-12-10:17-33-31,2025-12-10:17-33-30,32.028,33.252,362,469,824,st_actOFF,st_washNO
2025-12-10:17-33-36,2025-12-10:17-33-33,2025-12-10:17-33-31,37.655,32.47,1538,1734,357,st_actOFF,st_washNO
2025-12-10:17-33-38,2025-12-10:17-33-36,2025-12-10:17-33-34,37.621,32.47,1548,1723,300,st_actOFF,st_washNO
2025-12-10:17-33-40,2025-12-10:17-33-39,2025-12-10:17-33-38,38.42,33.252,226,418,31,st_actOFF,st_washNO
2025-12-10:17-33-42,2025-12-10:17-33-41,2025-12-10:17-33-41,32.011,33.762,222,420,28,st_actOFF,st_washNO
