timestamp_backend,timestamp_reasoner,timestamp_iot,jarakObjek,jarakOrang,reasoningTime,endToEndTime,backendTime,valveStatus,washingStatus
2025-11-07:13-27-05,-,-,185.98,181.628,0,0,821,st_actOFF,st_washNO
2025-11-07:13-27-07,-,-,185.98,181.628,0,0,17,st_actOFF,st_washNO
2025-11-07:13-27-09,-,-,185.98,181.628,0,0,8,st_actOFF,st_washNO
2025-11-07:13-27-11,-,-,185.98,181.628,0,0,9,st_actOFF,st_washNO
2025-11-07:13-27-13,-,-,185.98,181.628,0,0,12,st_actOFF,st_washNO
2025-11-07:13-27-15,-,-,185.98,181.628,0,0,8,st_actOFF,st_washNO
2025-11-07:13-27-17,-,-,185.98,181.628,0,0,15,st_actOFF,st_washNO
2025-11-07:13-27-19,-,-,185.98,181.628,0,0,13,st_actOFF,st_washNO
2025-11-07:13-27-21,-,-,185.98,181.628,0,0,8,st_actOFF,st_washNO
2025-11-07:13-27-23,-,-,185.98,181.628,0,0,16,st_actOFF,st_washNO
2025-11-07:13-27-25,-,-,185.98,181.628,0,0,8,st_actOFF,st_washNO
2025-11-07:13-27-27,-,-,185.98,181.628,0,0,13,st_actOFF,st_washNO
2025-11-07:13-27-29,-,-,185.98,181.628,0,0,10,st_actOFF,st_washNO
2025-11-07:13-27-32,-,-,185.98,181.628,0,0,9,st_actOFF,st_washNO
2025-11-07:13-27-34,-,-,185.98,181.628,0,0,7,st_actOFF,st_washNO
2025-11-07:13-27-36,-,-,185.98,181.628,0,0,14,st_actOFF,st_washNO
2025-11-07:13-27-38,2025-11-07:13-27-36,2025-11-07:13-27-28,400,186.898,100,779,16,st_actOFF,st_washNO
2025-11-07:13-27-40,2025-11-07:13-27-39,2025-11-07:13-27-31,185.98,154.564,80,676,11,st_actOFF,st_washNO
2025-11-07:13-27-42,2025-11-07:13-27-41,2025-11-07:13-27-33,185.895,186.898,85,684,8,st_actOFF,st_washNO
2025-11-07:13-27-44,2025-11-07:13-27-43,2025-11-07:13-27-35,185.079,186.881,83,691,8,st_actOFF,st_washNO
2025-11-07:13-27-46,2025-11-07:13-27-45,2025-11-07:13-27-36,186.337,155.635,84,708,10,st_actOFF,st_washNO
2025-11-07:13-27-48,2025-11-07:13-27-47,2025-11-07:13-27-38,185.895,139.927,82,698,10,st_actOFF,st_washNO
2025-11-07:13-27-50,2025-11-07:13-27-48,2025-11-07:13-27-40,185.895,186.49,92,883,9,st_actOFF,st_washNO
2025-11-07:13-27-52,2025-11-07:13-27-50,2025-11-07:13-27-42,185.861,186.558,87,804,7,st_actOFF,st_washNO
2025-11-07:13-27-54,2025-11-07:13-27-52,2025-11-07:13-27-44,185.504,152.881,82,670,12,st_actOFF,st_washNO
2025-11-07:13-27-56,2025-11-07:13-27-54,2025-11-07:13-27-45,185.963,180.727,90,678,449,st_actOFF,st_washNO
2025-11-07:13-27-59,2025-11-07:13-27-56,2025-11-07:13-27-47,185.98,186.524,776,1379,408,st_actOFF,st_washNO
2025-11-07:13-28-01,2025-11-07:13-28-00,2025-11-07:13-27-52,186.337,158.049,75,1372,7,st_actOFF,st_washNO
2025-11-07:13-28-03,2025-11-07:13-28-02,2025-11-07:13-27-54,185.623,186.099,84,695,8,st_actOFF,st_washNO
2025-11-07:13-28-05,2025-11-07:13-28-04,2025-11-07:13-27-55,185.963,158.848,87,680,8,st_actOFF,st_washNO
2025-11-07:13-28-07,2025-11-07:13-28-05,2025-11-07:13-27-57,185.98,154.598,82,679,10,st_actOFF,st_washNO
2025-11-07:13-28-09,2025-11-07:13-28-07,2025-11-07:13-27-59,185.895,148.461,85,668,12,st_actOFF,st_washNO
2025-11-07:13-28-11,2025-11-07:13-28-09,2025-11-07:13-28-00,185.538,186.847,83,685,48,st_actOFF,st_washNO
2025-11-07:13-28-13,2025-11-07:13-28-11,2025-11-07:13-28-02,185.538,186.847,90,701,10,st_actOFF,st_washNO
