timestamp_backend,timestamp_reasoner,timestamp_iot,jarakObjek,jarakOrang,reasoningTime,endToEndTime,backendTime,valveStatus,washingStatus
2025-11-20:18-22-35,2025-11-20:18-22-33,2025-11-20:18-22-19,157.845,62.356,198,917,14,st_actOFF,st_washNO
2025-11-20:18-22-37,2025-11-20:18-22-37,2025-11-20:18-22-22,137.071,73.321,128,801,12,st_actOFF,st_washNO
2025-11-20:18-22-39,2025-11-20:18-22-39,2025-11-20:18-22-24,135.745,133.178,143,798,43,st_actOFF,st_washNO
2025-11-20:18-22-41,2025-11-20:18-22-41,2025-11-20:18-22-26,135.405,75.242,143,1013,32,st_actOFF,st_washNO
2025-11-20:18-22-43,2025-11-20:18-22-43,2025-11-20:18-22-28,136.238,74.732,158,829,41,st_actOFF,st_washNO
2025-11-20:18-22-45,2025-11-20:18-22-45,2025-11-20:18-22-30,136.238,76.16,141,805,43,st_actOFF,st_washNO
2025-11-20:18-22-47,2025-11-20:18-22-47,2025-11-20:18-22-32,134.963,75.701,152,812,27,st_actOFF,st_washNO
2025-11-20:18-22-49,2025-11-20:18-22-49,2025-11-20:18-22-35,134.912,76.058,88,860,40,st_actOFF,st_washNO
2025-11-20:18-22-51,2025-11-20:18-22-50,2025-11-20:18-22-37,135.439,76.398,151,899,20,st_actOFF,st_washNO
2025-11-20:18-22-53,2025-11-20:18-22-53,2025-11-20:18-22-38,135.422,76.398,388,1127,41,st_actOFF,st_washNO
2025-11-20:18-22-56,2025-11-20:18-22-54,2025-11-20:18-22-41,143.735,68.374,117,718,24,st_actOFF,st_washNO
2025-11-20:18-22-58,2025-11-20:18-22-56,2025-11-20:18-22-42,135.864,74.732,118,769,10,st_actOFF,st_washNO
2025-11-20:18-23-00,2025-11-20:18-22-58,2025-11-20:18-22-44,134.997,75.701,121,762,11,st_actOFF,st_washNO
2025-11-20:18-23-02,2025-11-20:18-23-01,2025-11-20:18-22-48,135.439,75.531,88,730,13,st_actOFF,st_washNO
2025-11-20:18-23-05,2025-11-20:18-23-01,2025-11-20:18-22-48,135.422,75.514,88,652,1211,st_actOFF,st_washNO
2025-11-20:18-23-07,2025-11-20:18-23-05,2025-11-20:18-22-49,135.422,75.514,1836,2716,14,st_actOFF,st_washNO
2025-11-20:18-23-09,2025-11-20:18-23-09,2025-11-20:18-22-55,135.354,75.174,88,830,9,st_actOFF,st_washNO
2025-11-20:18-23-11,2025-11-20:18-23-11,2025-11-20:18-22-57,135.728,74.647,120,691,15,st_actOFF,st_washNO
2025-11-20:18-23-13,2025-11-20:18-23-12,2025-11-20:18-22-58,135.422,74.63,143,718,27,st_actOFF,st_washNO
2025-11-20:18-23-15,2025-11-20:18-23-14,2025-11-20:18-23-00,135.422,75.888,141,728,25,st_actOFF,st_washNO
2025-11-20:18-23-17,2025-11-20:18-23-16,2025-11-20:18-23-02,144.857,133.144,116,783,36,st_actOFF,st_washNO
2025-11-20:18-23-19,2025-11-20:18-23-18,2025-11-20:18-23-04,135.83,75.242,131,773,21,st_actOFF,st_washNO
2025-11-20:18-23-21,2025-11-20:18-23-19,2025-11-20:18-23-06,134.963,75.684,100,837,36,st_actOFF,st_washNO
2025-11-20:18-23-23,2025-11-20:18-23-21,2025-11-20:18-23-07,143.276,68.102,157,822,92,st_actOFF,st_washNO
2025-11-20:18-23-25,2025-11-20:18-23-25,2025-11-20:18-23-11,136.238,74.443,169,736,30,st_actOFF,st_washNO
2025-11-20:18-23-27,2025-11-20:18-23-27,2025-11-20:18-23-13,135.405,75.089,136,771,28,st_actOFF,st_washNO
2025-11-20:18-23-29,2025-11-20:18-23-29,2025-11-20:18-23-15,135.422,75.582,152,757,31,st_actOFF,st_washNO
