timestamp_backend,timestamp_reasoner,timestamp_iot,jarakObjek,jarakOrang,reasoningTime,endToEndTime,backendTime,valveStatus,washingStatus
2025-12-05:15-00-25,2025-12-05:15-00-24,2025-12-05:15-00-23,24.497,33.252,90,189,11,st_actOFF,st_washNO
2025-12-05:15-00-27,2025-12-05:15-00-26,2025-12-05:15-00-25,77.299,33.235,116,221,48,st_actOFF,st_washNO
2025-12-05:15-00-29,2025-12-05:15-00-29,2025-12-05:15-00-27,60.588,33.252,110,214,11,st_actOFF,st_washNO
2025-12-05:15-00-31,2025-12-05:15-00-30,2025-12-05:15-00-29,48.195,32.47,137,247,7,st_actOFF,st_washNO
2025-12-05:15-00-33,2025-12-05:15-00-33,2025-12-05:15-00-32,29.41,33.235,109,213,6,st_actOFF,st_washNO
2025-12-05:15-00-35,2025-12-05:15-00-35,2025-12-05:15-00-33,60.996,33.235,119,222,8,st_actOFF,st_washNO
2025-12-05:15-00-37,2025-12-05:15-00-36,2025-12-05:15-00-35,59.262,33.269,119,224,84,st_actOFF,st_washNO
2025-12-05:15-00-39,2025-12-05:15-00-39,2025-12-05:15-00-38,58.65,33.252,116,252,9,st_actOFF,st_washNO
2025-12-05:15-00-41,2025-12-05:15-00-41,2025-12-05:15-00-40,36.601,33.235,93,292,15,st_actOFF,st_washNO
2025-12-05:15-00-43,2025-12-05:15-00-43,2025-12-05:15-00-42,36.601,33.252,126,356,11,st_actOFF,st_washNO
2025-12-05:15-00-45,2025-12-05:15-00-45,2025-12-05:15-00-44,62.118,33.235,99,304,7,st_actOFF,st_washNO
2025-12-05:15-00-47,2025-12-05:15-00-47,2025-12-05:15-00-46,37.043,33.235,92,474,9,st_actOFF,st_washNO
2025-12-05:15-00-49,2025-12-05:15-00-49,2025-12-05:15-00-48,61.37,33.235,87,186,9,st_actOFF,st_washNO
2025-12-05:15-00-51,2025-12-05:15-00-50,2025-12-05:15-00-49,75.429,32.47,147,257,10,st_actOFF,st_washNO
2025-12-05:15-00-53,2025-12-05:15-00-53,2025-12-05:15-00-52,63.835,33.252,113,219,9,st_actOFF,st_washNO
2025-12-05:15-00-55,2025-12-05:15-00-55,2025-12-05:15-00-53,60.282,33.252,96,201,5,st_actOFF,st_washNO
2025-12-05:15-00-57,2025-12-05:15-00-57,2025-12-05:15-00-56,37.4,33.252,117,221,12,st_actOFF,st_washNO
2025-12-05:15-00-59,2025-12-05:15-00-59,2025-12-05:15-00-58,59.585,33.252,107,207,16,st_actOFF,st_washNO
2025-12-05:15-01-01,2025-12-05:15-01-00,2025-12-05:15-00-59,37.995,33.252,106,203,11,st_actOFF,st_washNO
2025-12-05:15-01-03,2025-12-05:15-01-03,2025-12-05:15-01-02,59.364,33.762,96,196,18,st_actOFF,st_washNO
2025-12-05:15-01-05,2025-12-05:15-01-05,2025-12-05:15-01-04,37.519,33.235,128,234,6,st_actOFF,st_washNO
2025-12-05:15-01-07,2025-12-05:15-01-07,2025-12-05:15-01-06,59.704,33.235,113,214,10,st_actOFF,st_washNO
2025-12-05:15-01-09,2025-12-05:15-01-09,2025-12-05:15-01-08,40.477,33.252,121,221,9,st_actOFF,st_washNO
2025-12-05:15-01-11,2025-12-05:15-01-11,2025-12-05:15-01-09,59.925,33.235,118,281,11,st_actOFF,st_washNO
2025-12-05:15-01-13,2025-12-05:15-01-12,2025-12-05:15-01-11,58.786,33.252,110,243,9,st_actOFF,st_washNO
2025-12-05:15-01-15,2025-12-05:15-01-15,2025-12-05:15-01-13,59.109,33.252,122,294,35,st_actOFF,st_washNO
2025-12-05:15-01-17,2025-12-05:15-01-17,2025-12-05:15-01-15,61.098,33.235,119,245,9,st_actOFF,st_washNO
2025-12-05:15-01-19,2025-12-05:15-01-19,2025-12-05:15-01-17,59.432,33.235,113,311,5,st_actOFF,st_washNO
2025-12-05:15-01-22,2025-12-05:15-01-21,2025-12-05:15-01-19,59.024,33.235,131,228,15,st_actOFF,st_washNO
2025-12-05:15-01-24,2025-12-05:15-01-23,2025-12-05:15-01-21,59.959,33.235,131,232,14,st_actOFF,st_washNO
2025-12-05:15-01-26,2025-12-05:15-01-25,2025-12-05:15-01-24,62.203,33.252,83,181,7,st_actOFF,st_washNO
2025-12-05:15-01-28,2025-12-05:15-01-27,2025-12-05:15-01-25,61.455,33.235,93,197,7,st_actOFF,st_washNO
2025-12-05:15-01-30,2025-12-05:15-01-29,2025-12-05:15-01-27,58.174,33.235,107,250,12,st_actOFF,st_washNO
2025-12-05:15-01-32,2025-12-05:15-01-31,2025-12-05:15-01-29,37.944,33.235,122,294,11,st_actOFF,st_washNO
2025-12-05:15-01-34,2025-12-05:15-01-33,2025-12-05:15-01-31,48.229,33.252,116,310,8,st_actOFF,st_washNO
2025-12-05:15-01-36,2025-12-05:15-01-35,2025-12-05:15-01-33,43.18,33.252,118,253,8,st_actOFF,st_washNO
