timestamp_backend,timestamp_reasoner,timestamp_iot,jarakObjek,jarakOrang,reasoningTime,endToEndTime,backendTime,valveStatus,washingStatus
2025-11-09:13-11-57,2025-11-09:13-11-57,2025-11-09:13-11-47,4.879,187.238,1250,2745,32,st_actOFF,st_washNO
2025-11-09:13-11-59,2025-11-09:13-11-59,2025-11-09:13-11-50,4.896,187.238,85,1957,10,st_actOFF,st_washNO
2025-11-09:13-12-01,2025-11-09:13-12-00,2025-11-09:13-11-52,4.896,187.612,99,796,16,st_actOFF,st_washNO
2025-11-09:13-12-03,2025-11-09:13-12-02,2025-11-09:13-11-54,4.896,186.83,110,871,13,st_actOFF,st_washNO
2025-11-09:13-12-05,2025-11-09:13-12-04,2025-11-09:13-11-55,4.896,186.847,86,814,16,st_actOFF,st_washNO
2025-11-09:13-12-07,2025-11-09:13-12-06,2025-11-09:13-11-57,4.964,186.83,95,661,13,st_actOFF,st_washNO
2025-11-09:13-12-09,2025-11-09:13-12-08,2025-11-09:13-11-59,4.964,187.272,92,658,8,st_actOFF,st_washNO
2025-11-09:13-12-11,2025-11-09:13-12-11,2025-11-09:13-12-02,4.964,186.813,111,678,13,st_actOFF,st_washNO
2025-11-09:13-12-13,2025-11-09:13-12-13,2025-11-09:13-12-04,4.981,186.813,93,687,16,st_actOFF,st_washNO
2025-11-09:13-12-15,2025-11-09:13-12-14,2025-11-09:13-12-06,4.981,186.847,91,666,9,st_actOFF,st_washNO
2025-11-09:13-12-17,2025-11-09:13-12-16,2025-11-09:13-12-07,4.964,186.371,123,689,13,st_actOFF,st_washNO
2025-11-09:13-12-19,2025-11-09:13-12-18,2025-11-09:13-12-09,4.964,187.221,91,651,11,st_actOFF,st_washNO
2025-11-09:13-12-21,2025-11-09:13-12-21,2025-11-09:13-12-13,4.964,187.306,98,682,10,st_actOFF,st_washNO
2025-11-09:13-12-23,2025-11-09:13-12-23,2025-11-09:13-12-14,4.964,187.255,101,659,16,st_actOFF,st_washNO
2025-11-09:13-12-25,2025-11-09:13-12-25,2025-11-09:13-12-16,4.964,188.649,82,645,12,st_actOFF,st_washNO
2025-11-09:13-12-27,2025-11-09:13-12-26,2025-11-09:13-12-18,4.964,186.847,74,662,12,st_actOFF,st_washNO
2025-11-09:13-12-29,2025-11-09:13-12-28,2025-11-09:13-12-19,4.964,186.813,71,635,11,st_actOFF,st_washNO
