timestamp_backend,timestamp_reasoner,timestamp_iot,jarakObjek,jarakOrang,reasoningTime,endToEndTime,backendTime,valveStatus,washingStatus
2025-11-25:19-17-03,-,-,58.361,33.218,0,0,1358,st_actOFF,st_washNO
2025-11-25:19-17-05,2025-11-25:19-17-04,2025-11-25:19-17-03,148.257,65.467,103,589,23,st_actOFF,st_washNO
2025-11-25:19-17-07,2025-11-25:19-17-06,2025-11-25:19-17-05,149.039,64.634,152,270,70,st_actOFF,st_washNO
2025-11-25:19-17-09,2025-11-25:19-17-08,2025-11-25:19-17-07,148.223,65.059,196,318,58,st_actOFF,st_washNO
2025-11-25:19-17-13,2025-11-25:19-17-13,2025-11-25:19-17-08,63.512,65.909,4164,3121,1924,st_actOFF,st_washNO
2025-11-25:19-17-15,2025-11-25:19-17-15,2025-11-25:19-17-14,4.335,3.995,137,241,72,st_actON,st_washYES
2025-11-25:19-17-18,2025-11-25:19-17-17,2025-11-25:19-17-16,5.304,3.995,200,302,25,st_actON,st_washYES
2025-11-25:19-17-20,2025-11-25:19-17-19,2025-11-25:19-17-18,5.304,3.978,182,396,60,st_actON,st_washYES
2025-11-25:19-17-22,2025-11-25:19-17-21,2025-11-25:19-17-21,5.304,3.995,190,357,65,st_actON,st_washYES
2025-11-25:19-17-24,2025-11-25:19-17-23,2025-11-25:19-17-22,5.287,3.978,214,357,18,st_actON,st_washYES
2025-11-25:19-17-26,2025-11-25:19-17-23,2025-11-25:19-17-22,5.287,3.978,214,357,55,st_actON,st_washYES
2025-11-25:19-17-28,2025-11-25:19-17-27,2025-11-25:19-17-26,5.287,3.995,190,778,56,st_actON,st_washYES
2025-11-25:19-17-30,2025-11-25:19-17-30,2025-11-25:19-17-29,4.318,66.3,190,1032,82,st_actOFF,st_washNO
2025-11-25:19-17-33,2025-11-25:19-17-32,2025-11-25:19-17-31,4.335,65.892,200,362,80,st_actOFF,st_washNO
2025-11-25:19-17-35,2025-11-25:19-17-34,2025-11-25:19-17-34,4.318,66.334,174,361,61,st_actOFF,st_washNO
2025-11-25:19-17-37,2025-11-25:19-17-36,2025-11-25:19-17-35,4.318,65.484,178,1093,104,st_actOFF,st_washNO
2025-11-25:19-17-39,2025-11-25:19-17-38,2025-11-25:19-17-37,4.318,66.725,167,483,66,st_actOFF,st_washNO
2025-11-25:19-17-41,2025-11-25:19-17-40,2025-11-25:19-17-39,4.335,65.909,845,483,51,st_actOFF,st_washNO
2025-11-25:19-17-43,2025-11-25:19-17-43,2025-11-25:19-17-42,4.318,5.27,586,689,53,st_actON,st_washYES
2025-11-25:19-17-46,2025-11-25:19-17-45,2025-11-25:19-17-44,4.318,5.287,142,283,65,st_actON,st_washYES
2025-11-25:19-17-48,2025-11-25:19-17-45,2025-11-25:19-17-44,4.318,5.287,142,3161,68,st_actON,st_washYES
2025-11-25:19-17-50,2025-11-25:19-17-50,2025-11-25:19-17-48,4.335,5.287,168,3161,58,st_actON,st_washYES
2025-11-25:19-17-52,2025-11-25:19-17-52,2025-11-25:19-17-50,4.335,5.287,178,1698,26,st_actON,st_washYES
2025-11-25:19-17-54,2025-11-25:19-17-53,2025-11-25:19-17-52,4.318,5.287,188,722,41,st_actON,st_washYES
2025-11-25:19-17-56,2025-11-25:19-17-56,2025-11-25:19-17-55,4.335,5.27,191,989,68,st_actON,st_washYES
2025-11-25:19-17-58,2025-11-25:19-17-58,2025-11-25:19-17-57,4.335,5.287,198,299,52,st_actON,st_washYES
2025-11-25:19-18-00,2025-11-25:19-18-00,2025-11-25:19-17-59,4.318,5.27,191,317,52,st_actON,st_washYES
2025-11-25:19-18-02,2025-11-25:19-18-02,2025-11-25:19-18-01,4.335,5.27,163,262,51,st_actON,st_washYES
2025-11-25:19-18-04,2025-11-25:19-18-04,2025-11-25:19-18-04,4.335,5.287,196,323,50,st_actON,st_washYES
