timestamp_backend,timestamp_reasoner,timestamp_iot,jarakObjek,jarakOrang,reasoningTime,endToEndTime,backendTime,valveStatus,washingStatus

2025-11-06:22-20-18,2025-11-06:22-20-18,2025-11-06:22-20-10,185.997,84.49,163,820,35,st_actOFF,st_washNO
2025-11-06:22-20-20,2025-11-06:22-20-20,2025-11-06:22-20-12,185.555,153.442,163,917,21,st_actOFF,st_washNO
2025-11-06:22-20-22,2025-11-06:22-20-22,2025-11-06:22-20-14,186.031,152.422,172,820,16,st_actOFF,st_washNO
2025-11-06:22-20-24,2025-11-06:22-20-23,2025-11-06:22-20-16,185.487,155.125,177,815,16,st_actOFF,st_washNO
2025-11-06:22-20-26,2025-11-06:22-20-25,2025-11-06:22-20-18,185.096,156.349,167,819,27,st_actOFF,st_washNO
2025-11-06:22-20-28,2025-11-06:22-20-27,2025-11-06:22-20-20,185.98,152.507,154,815,25,st_actOFF,st_washNO
2025-11-06:22-20-30,2025-11-06:22-20-29,2025-11-06:22-20-21,186.405,151.215,175,897,26,st_actOFF,st_washNO
2025-11-06:22-20-32,2025-11-06:22-20-31,2025-11-06:22-20-23,3.349,400,171,838,22,st_actOFF,st_washNO
2025-11-06:22-20-34,2025-11-06:22-20-33,2025-11-06:22-20-25,2.635,30.634,174,778,37,st_actOFF,st_washNO
2025-11-06:22-20-36,2025-11-06:22-20-35,2025-11-06:22-20-26,2.703,3.978,183,739,20,st_actON,st_washYES
2025-11-06:22-20-38,2025-11-06:22-20-38,2025-11-06:22-20-30,2.703,4.624,167,753,27,st_actON,st_washYES
2025-11-06:22-20-40,2025-11-06:22-20-40,2025-11-06:22-20-32,2.703,75.514,185,764,20,st_actOFF,st_washNO
2025-11-06:22-20-42,2025-11-06:22-20-42,2025-11-06:22-20-33,3.043,5.27,138,696,26,st_actON,st_washYES
2025-11-06:22-20-44,2025-11-06:22-20-43,2025-11-06:22-20-35,186.422,186.949,161,770,20,st_actOFF,st_washNO
2025-11-06:22-20-46,2025-11-06:22-20-45,2025-11-06:22-20-37,185.912,178.058,142,827,17,st_actOFF,st_washNO
2025-11-06:22-20-48,2025-11-06:22-20-47,2025-11-06:22-20-39,185.98,186.949,198,926,22,st_actOFF,st_washNO
2025-11-06:22-20-50,2025-11-06:22-20-49,2025-11-06:22-20-41,185.98,81.532,177,758,29,st_actOFF,st_washNO
2025-11-06:22-20-52,2025-11-06:22-20-51,2025-11-06:22-20-43,185.963,151.742,172,759,23,st_actOFF,st_washNO
2025-11-06:22-20-54,2025-11-06:22-20-53,2025-11-06:22-20-44,185.946,153.833,547,1175,24,st_actOFF,st_washNO
2025-11-06:22-20-57,2025-11-06:22-20-55,2025-11-06:22-20-47,186.32,180.489,639,1219,25,st_actOFF,st_washNO
2025-11-06:22-20-59,2025-11-06:22-20-57,2025-11-06:22-20-49,185.963,152.558,161,771,25,st_actOFF,st_washNO
2025-11-06:22-21-01,2025-11-06:22-20-59,2025-11-06:22-20-51,185.538,186.915,206,856,33,st_actOFF,st_washNO
2025-11-06:22-21-03,2025-11-06:22-21-03,2025-11-06:22-20-54,186.337,152.473,194,753,29,st_actOFF,st_washNO
2025-11-06:22-21-05,2025-11-06:22-21-04,2025-11-06:22-20-56,186.32,152.218,196,773,22,st_actOFF,st_washNO
2025-11-06:22-21-07,2025-11-06:22-21-06,2025-11-06:22-20-58,186.371,145.775,178,785,13,st_actOFF,st_washNO
2025-11-06:22-21-09,2025-11-06:22-21-08,2025-11-06:22-21-00,185.963,147.237,181,817,24,st_actOFF,st_washNO
2025-11-06:22-21-11,2025-11-06:22-21-10,2025-11-06:22-21-02,185.946,182.886,181,813,25,st_actOFF,st_washNO
2025-11-06:22-21-13,2025-11-06:22-21-12,2025-11-06:22-21-03,185.521,181.951,164,745,27,st_actOFF,st_washNO
2025-11-06:22-21-15,2025-11-06:22-21-13,2025-11-06:22-21-05,185.606,154.207,209,814,26,st_actOFF,st_washNO
2025-11-06:22-21-17,2025-11-06:22-21-15,2025-11-06:22-21-07,185.98,181.339,188,783,26,st_actOFF,st_washNO
2025-11-06:22-21-19,2025-11-06:22-21-19,2025-11-06:22-21-11,185.997,149.073,134,770,20,st_actOFF,st_washNO
2025-11-06:22-21-21,2025-11-06:22-21-21,2025-11-06:22-21-12,185.079,153.901,154,744,24,st_actOFF,st_washNO
2025-11-06:22-21-23,2025-11-06:22-21-23,2025-11-06:22-21-14,186.32,153.884,181,826,18,st_actOFF,st_washNO
2025-11-06:22-21-25,2025-11-06:22-21-24,2025-11-06:22-21-16,186.405,153.374,175,821,23,st_actOFF,st_washNO
2025-11-06:22-21-27,2025-11-06:22-21-26,2025-11-06:22-21-18,186.337,151.742,171,857,25,st_actOFF,st_washNO
2025-11-06:22-21-29,2025-11-06:22-21-28,2025-11-06:22-21-20,185.963,152.915,182,831,24,st_actOFF,st_washNO
2025-11-06:22-21-31,2025-11-06:22-21-30,2025-11-06:22-21-22,186.439,151.674,188,767,26,st_actOFF,st_washNO
2025-11-06:22-21-33,2025-11-06:22-21-32,2025-11-06:22-21-24,186.405,153.867,182,884,25,st_actOFF,st_washNO
2025-11-06:22-21-35,2025-11-06:22-21-34,2025-11-06:22-21-26,185.453,186.915,175,756,19,st_actOFF,st_washNO
2025-11-06:22-21-44,-,-,185.164,154.751,0,0,52,st_actOFF,st_washNO
2025-11-06:22-21-46,2025-11-06:22-21-46,2025-11-06:22-21-38,186.354,186.575,140,0,32,st_actOFF,st_washNO
2025-11-06:22-21-48,2025-11-06:22-21-48,2025-11-06:22-21-40,186.354,152.932,145,946,47,st_actOFF,st_washNO
2025-11-06:22-21-51,2025-11-06:22-21-50,2025-11-06:22-21-42,185.912,153.731,169,1214,20,st_actOFF,st_washNO
2025-11-06:22-21-53,2025-11-06:22-21-52,2025-11-06:22-21-44,185.878,154.241,186,807,32,st_actOFF,st_washNO
