timestamp_backend,timestamp_reasoner,timestamp_iot,jarakObjek,jarakOrang,reasoningTime,endToEndTime,backendTime,valveStatus,washingStatus
2025-11-11:16-26-26,-,-,216.886,217.226,0,0,48,st_actOFF,st_washNO
2025-11-11:16-26-28,-,-,216.886,217.226,0,3332,10,st_actOFF,st_washNO
2025-11-11:16-26-30,2025-11-11:16-26-29,2025-11-11:16-26-19,216.869,217.124,128,858,13,st_actOFF,st_washNO
2025-11-11:16-26-32,2025-11-11:16-26-31,2025-11-11:16-26-20,216.784,210.97,103,802,13,st_actOFF,st_washNO
2025-11-11:16-26-34,2025-11-11:16-26-32,2025-11-11:16-26-22,237.915,217.09,91,804,12,st_actOFF,st_washNO
2025-11-11:16-26-36,2025-11-11:16-26-34,2025-11-11:16-26-24,217.226,219.946,87,804,12,st_actOFF,st_washNO
2025-11-11:16-26-38,2025-11-11:16-26-34,2025-11-11:16-26-24,217.226,219.946,87,804,19,st_actOFF,st_washNO
2025-11-11:16-26-40,2025-11-11:16-26-34,2025-11-11:16-26-24,217.226,219.946,87,5565,17,st_actOFF,st_washNO
2025-11-11:16-26-42,2025-11-11:16-26-41,2025-11-11:16-26-31,216.835,217.175,99,849,10,st_actOFF,st_washNO
2025-11-11:16-26-44,2025-11-11:16-26-43,2025-11-11:16-26-33,216.835,217.158,128,999,9,st_actOFF,st_washNO
2025-11-11:16-26-46,2025-11-11:16-26-45,2025-11-11:16-26-35,217.243,217.073,97,741,19,st_actOFF,st_washNO
2025-11-11:16-26-48,2025-11-11:16-26-47,2025-11-11:16-26-37,216.801,217.124,769,741,9,st_actOFF,st_washNO
2025-11-11:16-26-50,2025-11-11:16-26-50,2025-11-11:16-26-40,216.784,216.699,89,2143,12,st_actOFF,st_washNO
2025-11-11:16-26-52,2025-11-11:16-26-52,2025-11-11:16-26-42,216.903,216.75,80,860,11,st_actOFF,st_washNO
2025-11-11:16-26-54,2025-11-11:16-26-54,2025-11-11:16-26-44,216.886,217.226,87,752,19,st_actOFF,st_washNO
2025-11-11:16-26-56,2025-11-11:16-26-56,2025-11-11:16-26-46,216.903,217.243,102,742,10,st_actOFF,st_washNO
2025-11-11:16-26-58,2025-11-11:16-26-58,2025-11-11:16-26-48,216.937,217.158,79,862,9,st_actOFF,st_washNO
2025-11-11:16-27-00,2025-11-11:16-26-59,2025-11-11:16-26-49,216.869,217.226,119,757,14,st_actOFF,st_washNO
2025-11-11:16-27-02,2025-11-11:16-26-59,2025-11-11:16-26-49,216.869,217.226,119,757,10,st_actOFF,st_washNO
2025-11-11:16-27-04,2025-11-11:16-27-04,2025-11-11:16-26-54,216.801,217.158,100,3622,10,st_actOFF,st_washNO
2025-11-11:16-27-06,2025-11-11:16-27-04,2025-11-11:16-26-54,216.801,217.158,100,1220,9,st_actOFF,st_washNO
2025-11-11:16-27-08,2025-11-11:16-27-06,2025-11-11:16-26-56,216.818,217.141,84,1047,9,st_actOFF,st_washNO
2025-11-11:16-27-10,2025-11-11:16-27-08,2025-11-11:16-26-58,216.886,217.141,98,930,10,st_actOFF,st_washNO
2025-11-11:16-27-12,2025-11-11:16-27-12,2025-11-11:16-27-02,216.903,216.75,89,746,20,st_actOFF,st_washNO
2025-11-11:16-27-14,2025-11-11:16-27-12,2025-11-11:16-27-02,216.903,216.75,89,1282,9,st_actOFF,st_washNO
2025-11-11:16-27-16,2025-11-11:16-27-16,2025-11-11:16-27-05,216.869,216.767,1610,1282,16,st_actOFF,st_washNO
2025-11-11:16-27-18,2025-11-11:16-27-16,2025-11-11:16-27-05,225.539,216.682,1610,2370,158,st_actOFF,st_washNO
2025-11-11:16-27-20,2025-11-11:16-27-18,2025-11-11:16-27-08,225.539,216.682,508,1884,9,st_actOFF,st_washNO
2025-11-11:16-27-22,2025-11-11:16-27-21,2025-11-11:16-27-11,216.767,217.124,100,1054,19,st_actOFF,st_washNO
2025-11-11:16-27-24,2025-11-11:16-27-23,2025-11-11:16-27-13,216.784,204.646,124,750,12,st_actOFF,st_washNO
2025-11-11:16-27-27,2025-11-11:16-27-25,2025-11-11:16-27-15,230.452,217.158,92,753,9,st_actOFF,st_washNO
2025-11-11:16-27-29,2025-11-11:16-27-27,2025-11-11:16-27-17,216.937,217.175,97,741,7,st_actOFF,st_washNO
2025-11-11:16-27-31,2025-11-11:16-27-29,2025-11-11:16-27-20,216.869,217.175,94,741,15,st_actOFF,st_washNO
2025-11-11:16-27-33,2025-11-11:16-27-29,2025-11-11:16-27-20,216.869,217.175,94,3454,19,st_actOFF,st_washNO
2025-11-11:16-27-35,2025-11-11:16-27-33,2025-11-11:16-27-24,216.869,217.26,106,814,19,st_actOFF,st_washNO
2025-11-11:16-27-37,2025-11-11:16-27-35,2025-11-11:16-27-26,216.886,217.175,103,751,17,st_actOFF,st_washNO
2025-11-11:16-27-39,2025-11-11:16-27-37,2025-11-11:16-27-28,228.718,217.158,74,801,8,st_actOFF,st_washNO
2025-11-11:16-27-41,2025-11-11:16-27-39,2025-11-11:16-27-30,216.869,217.09,115,740,6,st_actOFF,st_washNO
2025-11-11:16-27-43,2025-11-11:16-27-41,2025-11-11:16-27-32,217.26,217.158,95,740,7,st_actOFF,st_washNO
2025-11-11:16-27-45,2025-11-11:16-27-43,2025-11-11:16-27-34,228.412,217.141,86,751,12,st_actOFF,st_washNO
2025-11-11:16-27-47,2025-11-11:16-27-47,2025-11-11:16-27-37,216.92,217.158,103,748,8,st_actOFF,st_washNO
2025-11-11:16-27-49,2025-11-11:16-27-48,2025-11-11:16-27-39,216.903,217.226,87,753,6,st_actOFF,st_washNO
2025-11-11:16-27-51,2025-11-11:16-27-50,2025-11-11:16-27-41,216.886,240.703,100,740,16,st_actOFF,st_washNO
2025-11-11:16-27-53,2025-11-11:16-27-52,2025-11-11:16-27-43,216.852,217.141,90,750,15,st_actOFF,st_washNO
2025-11-11:16-27-55,2025-11-11:16-27-54,2025-11-11:16-27-45,239.496,217.022,97,744,8,st_actOFF,st_washNO
2025-11-11:16-27-57,2025-11-11:16-27-56,2025-11-11:16-27-47,230.945,217.056,86,749,6,st_actOFF,st_washNO
2025-11-11:16-27-59,2025-11-11:16-27-58,2025-11-11:16-27-48,216.801,217.09,87,806,10,st_actOFF,st_washNO
2025-11-11:16-28-01,2025-11-11:16-28-00,2025-11-11:16-27-50,216.937,217.124,102,759,14,st_actOFF,st_washNO
