timeStamp,jarakObjek,jarakOrang,reasoningTime,endToEndTime,backendTime,valveStatus,washingStatus
31-10-2025 12:12:34,39.134,239.564,0,0,71,st_actOFF,st_washNO
31-10-2025 12:12:36,39.134,239.564,0,0,74,st_actOFF,st_washNO
31-10-2025 12:12:38,39.134,239.564,0,0,21,st_actOFF,st_washNO
31-10-2025 12:12:40,39.134,239.564,0,0,22,st_actOFF,st_washNO
31-10-2025 12:12:42,39.134,239.564,0,0,23,st_actOFF,st_washNO
31-10-2025 12:12:44,39.134,239.564,0,0,17,st_actOFF,st_washNO
31-10-2025 12:12:46,39.134,239.564,0,0,19,st_actOFF,st_washNO
31-10-2025 12:12:48,39.134,239.564,0,0,16,st_actOFF,st_washNO
31-10-2025 12:12:50,39.134,239.564,0,0,28,st_actOFF,st_washNO
31-10-2025 12:12:52,39.134,239.564,0,0,15,st_actOFF,st_washNO
31-10-2025 12:12:54,39.134,239.564,0,0,56,st_actOFF,st_washNO
31-10-2025 12:12:56,39.134,239.564,0,0,30,st_actOFF,st_washNO
31-10-2025 12:12:58,39.134,239.564,0,0,16,st_actOFF,st_washNO
31-10-2025 12:13:01,39.134,239.564,0,0,39,st_actOFF,st_washNO
31-10-2025 12:13:03,39.134,239.564,0,0,13,st_actOFF,st_washNO
31-10-2025 12:13:05,39.134,239.564,0,0,23,st_actOFF,st_washNO
31-10-2025 12:13:07,39.134,239.564,0,0,25,st_actOFF,st_washNO
31-10-2025 12:13:09,39.134,239.564,0,0,18,st_actOFF,st_washNO
31-10-2025 12:13:11,39.134,239.564,0,0,16,st_actOFF,st_washNO
31-10-2025 12:13:13,39.134,239.564,0,0,30,st_actOFF,st_washNO
31-10-2025 12:13:15,39.134,239.564,0,0,28,st_actOFF,st_washNO
31-10-2025 12:13:17,39.134,239.564,0,0,17,st_actOFF,st_washNO
31-10-2025 12:13:19,39.134,239.564,0,0,20,st_actOFF,st_washNO
31-10-2025 12:13:21,39.134,239.564,0,0,25,st_actOFF,st_washNO
31-10-2025 12:13:23,39.134,239.564,0,0,26,st_actOFF,st_washNO
31-10-2025 12:13:25,39.134,239.564,0,0,36,st_actOFF,st_washNO
31-10-2025 12:13:27,39.134,239.564,0,0,128,st_actOFF,st_washNO
31-10-2025 12:13:29,39.134,239.564,0,0,13,st_actOFF,st_washNO
31-10-2025 12:13:31,39.134,239.564,0,0,15,st_actOFF,st_washNO
31-10-2025 12:13:33,39.134,239.564,0,0,9,st_actOFF,st_washNO
31-10-2025 12:31:53,39.134,239.564,0,0,80,st_actOFF,st_washNO
31-10-2025 12:31:55,39.134,239.564,0,0,12,st_actOFF,st_washNO
31-10-2025 12:31:57,39.134,239.564,0,0,21,st_actOFF,st_washNO
31-10-2025 12:31:59,39.134,239.564,0,0,22,st_actOFF,st_washNO
31-10-2025 12:32:01,39.134,239.564,0,0,15,st_actOFF,st_washNO
31-10-2025 12:32:03,39.134,239.564,0,0,24,st_actOFF,st_washNO
31-10-2025 12:32:05,39.134,239.564,0,0,12,st_actOFF,st_washNO
31-10-2025 12:32:07,39.134,239.564,0,0,14,st_actOFF,st_washNO
31-10-2025 12:32:10,39.134,239.564,0,0,23,st_actOFF,st_washNO
