timestamp_start,timestamp_end,duration_hms
2025-12-10:17-49-41,2025-12-10:17-50-13,00:00:32
2025-12-10:17-50-18,2025-12-10:17-50-35,00:00:16
2025-12-10:17-50-57,2025-12-10:17-52-51,00:01:53
