timestamp_start,timestamp_end,duration_hms
2025-11-17:17-26-39,2025-11-17:17-26-41,00:00:02
2025-11-17:17-26-43,2025-11-17:17-26-49,00:00:06
2025-11-17:17-27-18,2025-11-17:17-27-26,00:00:08
2025-11-17:17-27-32,2025-11-17:17-27-36,00:00:04
2025-11-17:17-27-38,2025-11-17:17-27-40,00:00:02
2025-11-17:17-27-54,2025-11-17:17-28-00,00:00:06
2025-11-17:17-28-02,2025-11-17:17-28-04,00:00:02
2025-11-17:17-28-45,2025-11-17:17-28-47,00:00:02
2025-11-17:17-28-51,2025-11-17:17-28-57,00:00:06
2025-11-17:17-28-59,2025-11-17:17-29-11,00:00:12
2025-11-17:17-29-13,2025-11-17:17-29-15,00:00:02
2025-11-17:17-29-42,2025-11-17:17-29-50,00:00:08
2025-11-17:17-42-49,2025-11-17:17-43-00,00:00:10
2025-11-17:17-43-04,2025-11-17:17-43-08,00:00:04
2025-11-17:17-43-34,2025-11-17:17-44-01,00:00:26
2025-11-17:17-46-04,2025-11-17:17-46-06,00:00:02
