timestamp_start,timestamp_end,duration_hms
2025-11-24:12-59-37,2025-11-24:13-00-14,00:00:36
2025-11-24:14-53-41,2025-11-24:14-54-45,00:01:03
2025-11-24:15-19-43,2025-11-24:15-21-29,00:01:46
