timestamp_start,timestamp_end,duration_hms
2025-11-10:16-20-40,2025-11-10:16-20-55,00:00:14
2025-11-10:16-21-46,2025-11-10:16-22-02,00:00:16
2025-11-10:16-32-23,2025-11-10:16-32-48,00:00:24
2025-11-10:16-48-34,2025-11-10:16-49-06,00:00:32
2025-11-10:16-49-25,2025-11-10:16-50-46,00:01:20
2025-11-10:21-39-00,2025-11-10:21-39-04,00:00:04
2025-11-10:21-39-16,2025-11-10:21-39-22,00:00:06
