timestamp_backend_inout,timestamp_reasoner_inout,timestamp_iot_inout,personCount,lampStatus,reasoningTime,endToEndTime,backendTime
2025-11-23:20-17-38,-,-,1,st_actON,0,0,59
2025-11-23:20-17-40,-,-,1,st_actON,0,327,14
2025-11-23:20-17-42,2025-11-23:20-17-41,2025-11-23:20-17-24,2,st_actON,131,49,15
2025-11-23:20-17-44,2025-11-23:20-17-41,2025-11-23:20-17-24,2,st_actON,131,49,19
2025-11-23:20-17-46,2025-11-23:20-17-41,2025-11-23:20-17-24,2,st_actON,131,17,28
2025-11-23:20-17-48,2025-11-23:20-17-41,2025-11-23:20-17-24,2,st_actON,131,95,187
2025-11-23:20-17-50,2025-11-23:20-17-41,2025-11-23:20-17-24,2,st_actON,131,21,28
2025-11-23:20-17-52,2025-11-23:20-17-41,2025-11-23:20-17-24,2,st_actON,131,123,19
2025-11-23:20-17-54,2025-11-23:20-17-41,2025-11-23:20-17-24,2,st_actON,131,30,13
2025-11-23:20-17-56,2025-11-23:20-17-41,2025-11-23:20-17-24,2,st_actON,131,30,28
2025-11-23:20-17-58,2025-11-23:20-17-41,2025-11-23:20-17-24,2,st_actON,131,27,23
2025-11-23:20-18-00,2025-11-23:20-17-41,2025-11-23:20-17-24,2,st_actON,131,18,9
2025-11-23:20-18-02,2025-11-23:20-17-41,2025-11-23:20-17-24,2,st_actON,131,25,31
2025-11-23:20-18-04,2025-11-23:20-17-41,2025-11-23:20-17-24,2,st_actON,131,25,19
2025-11-23:20-18-06,2025-11-23:20-17-41,2025-11-23:20-17-24,2,st_actON,131,336,22
2025-11-23:20-18-08,2025-11-23:20-17-41,2025-11-23:20-17-24,2,st_actON,131,30,18
2025-11-23:20-18-10,2025-11-23:20-17-41,2025-11-23:20-17-24,2,st_actON,131,26,33
2025-11-23:20-18-12,2025-11-23:20-17-41,2025-11-23:20-17-24,2,st_actON,131,19,21
2025-11-23:20-18-14,2025-11-23:20-17-41,2025-11-23:20-17-24,2,st_actON,131,55,38
2025-11-23:20-18-16,2025-11-23:20-17-41,2025-11-23:20-17-24,2,st_actON,131,55,14
2025-11-23:20-18-18,2025-11-23:20-17-41,2025-11-23:20-17-24,2,st_actON,131,19,17
2025-11-23:20-18-20,2025-11-23:20-17-41,2025-11-23:20-17-24,2,st_actON,131,18,18
2025-11-23:20-18-22,2025-11-23:20-17-41,2025-11-23:20-17-24,2,st_actON,131,32,16
2025-11-23:20-18-24,2025-11-23:20-17-41,2025-11-23:20-17-24,2,st_actON,131,135,19
2025-11-23:20-18-26,2025-11-23:20-17-41,2025-11-23:20-17-24,2,st_actON,131,135,23
2025-11-23:20-18-28,2025-11-23:20-17-41,2025-11-23:20-17-24,2,st_actON,131,87,9
2025-11-23:20-18-30,2025-11-23:20-17-41,2025-11-23:20-17-24,2,st_actON,131,20,20
2025-11-23:20-18-32,2025-11-23:20-17-41,2025-11-23:20-17-24,2,st_actON,131,103,23
2025-11-23:20-18-35,2025-11-23:20-17-41,2025-11-23:20-17-24,2,st_actON,131,27,28
2025-11-23:20-18-37,2025-11-23:20-17-41,2025-11-23:20-17-24,2,st_actON,131,24,26
2025-11-23:20-18-39,2025-11-23:20-17-41,2025-11-23:20-17-24,2,st_actON,131,24,25
2025-11-23:20-18-41,2025-11-23:20-17-41,2025-11-23:20-17-24,2,st_actON,131,89,29
2025-11-23:20-18-43,2025-11-23:20-17-41,2025-11-23:20-17-24,2,st_actON,131,40,27
2025-11-23:20-18-45,2025-11-23:20-17-41,2025-11-23:20-17-24,2,st_actON,131,98,25
2025-11-23:20-18-47,2025-11-23:20-17-41,2025-11-23:20-17-24,2,st_actON,131,159,43
2025-11-23:20-18-49,2025-11-23:20-17-41,2025-11-23:20-17-24,2,st_actON,131,159,27
2025-11-23:20-18-51,2025-11-23:20-17-41,2025-11-23:20-17-24,2,st_actON,131,18,31
2025-11-23:20-18-53,2025-11-23:20-17-41,2025-11-23:20-17-24,2,st_actON,131,377,35
2025-11-23:20-18-55,2025-11-23:20-17-41,2025-11-23:20-17-24,2,st_actON,131,30,21
2025-11-23:20-18-57,2025-11-23:20-17-41,2025-11-23:20-17-24,2,st_actON,131,49,21
2025-11-23:20-18-59,2025-11-23:20-17-41,2025-11-23:20-17-24,2,st_actON,131,49,19
2025-11-23:20-19-01,2025-11-23:20-17-41,2025-11-23:20-17-24,2,st_actON,131,23,28
2025-11-23:20-19-03,2025-11-23:20-17-41,2025-11-23:20-17-24,2,st_actON,131,107,21
2025-11-23:20-19-05,2025-11-23:20-17-41,2025-11-23:20-17-24,2,st_actON,131,27,22
2025-11-23:20-19-07,2025-11-23:20-17-41,2025-11-23:20-17-24,2,st_actON,131,21,20
2025-11-23:20-19-09,2025-11-23:20-17-41,2025-11-23:20-17-24,2,st_actON,131,38,17
2025-11-23:20-19-11,2025-11-23:20-17-41,2025-11-23:20-17-24,2,st_actON,131,38,17
2025-11-23:20-19-13,2025-11-23:20-17-41,2025-11-23:20-17-24,2,st_actON,131,241,22
2025-11-23:20-19-15,2025-11-23:20-17-41,2025-11-23:20-17-24,2,st_actON,131,100,24
2025-11-23:20-19-17,2025-11-23:20-17-41,2025-11-23:20-17-24,2,st_actON,131,22,17
