timestamp_backend_inout,timestamp_reasoner_inout,timestamp_iot_inout,personCount,lampStatus,reasoningTime,endToEndTime,backendTime
2025-12-05:14-58-45,-,-,0,st_actOFF,0,0,46
2025-12-05:14-58-47,-,-,0,st_actOFF,0,41,11
2025-12-05:14-58-49,-,-,0,st_actOFF,0,15,14
2025-12-05:14-58-51,-,-,0,st_actOFF,0,38,16
2025-12-05:14-58-53,-,-,0,st_actOFF,0,38,12
2025-12-05:14-58-56,-,-,0,st_actOFF,0,55,9
2025-12-05:14-58-58,-,-,0,st_actOFF,0,88,7
2025-12-05:14-59-00,-,-,0,st_actOFF,0,55,12
2025-12-05:14-59-02,-,-,0,st_actOFF,0,26,20
2025-12-05:14-59-04,-,-,0,st_actOFF,0,26,16
2025-12-05:14-59-06,-,-,0,st_actOFF,0,26,10
2025-12-05:14-59-08,-,-,0,st_actOFF,0,15,8
2025-12-05:14-59-10,-,-,0,st_actOFF,0,48,9
2025-12-05:14-59-12,-,-,0,st_actOFF,0,16,8
2025-12-05:14-59-14,-,-,0,st_actOFF,0,16,20
2025-12-05:14-59-16,-,-,0,st_actOFF,0,43,8
2025-12-05:14-59-18,-,-,0,st_actOFF,0,16,18
2025-12-05:14-59-20,-,-,0,st_actOFF,0,32,10
2025-12-05:14-59-22,-,-,0,st_actOFF,0,54,19
2025-12-05:14-59-24,-,-,0,st_actOFF,0,54,12
2025-12-05:14-59-26,-,-,0,st_actOFF,0,31,9
2025-12-05:14-59-28,-,-,0,st_actOFF,0,115,11
2025-12-05:14-59-30,-,-,0,st_actOFF,0,21,8
2025-12-05:14-59-32,-,-,0,st_actOFF,0,113,11
2025-12-05:14-59-34,-,-,0,st_actOFF,0,113,20
2025-12-05:14-59-36,-,-,0,st_actOFF,0,26,7
2025-12-05:14-59-38,-,-,0,st_actOFF,0,54,9
2025-12-05:14-59-40,-,-,0,st_actOFF,0,21,7
2025-12-05:14-59-42,-,-,0,st_actOFF,0,160,25
2025-12-05:14-59-44,-,-,0,st_actOFF,0,160,16
2025-12-05:14-59-46,-,-,0,st_actOFF,0,19,13
2025-12-05:14-59-48,-,-,0,st_actOFF,0,49,11
2025-12-05:14-59-50,-,-,0,st_actOFF,0,16,5
2025-12-05:14-59-52,-,-,0,st_actOFF,0,56,10
2025-12-05:14-59-54,-,-,0,st_actOFF,0,56,8
2025-12-05:14-59-56,-,-,0,st_actOFF,0,20,22
2025-12-05:14-59-58,-,-,0,st_actOFF,0,47,12
2025-12-05:15-00-00,-,-,0,st_actOFF,0,16,19
2025-12-05:15-00-02,-,-,0,st_actOFF,0,95,19
2025-12-05:15-00-04,-,-,0,st_actOFF,0,18,12
2025-12-05:15-00-09,-,-,0,st_actOFF,0,0,36
2025-12-05:15-00-11,-,-,0,st_actOFF,0,59,6
2025-12-05:15-00-13,-,-,0,st_actOFF,0,59,9
2025-12-05:15-00-15,-,-,0,st_actOFF,0,39,9
2025-12-05:15-00-17,-,-,0,st_actOFF,0,56,9
2025-12-05:15-00-19,-,-,0,st_actOFF,0,94,7
2025-12-05:15-00-21,-,-,0,st_actOFF,0,57,14
2025-12-05:15-00-23,-,-,0,st_actOFF,0,57,10
2025-12-05:15-00-25,-,-,0,st_actOFF,0,15,7
2025-12-05:15-00-27,-,-,0,st_actOFF,0,19,8
2025-12-05:15-00-29,-,-,0,st_actOFF,0,18,6
2025-12-05:15-00-31,-,-,0,st_actOFF,0,17,6
2025-12-05:15-00-33,-,-,0,st_actOFF,0,17,6
2025-12-05:15-00-35,-,-,0,st_actOFF,0,24,12
2025-12-05:15-00-37,-,-,0,st_actOFF,0,26,13
2025-12-05:15-00-39,-,-,0,st_actOFF,0,16,8
2025-12-05:15-00-41,-,-,0,st_actOFF,0,43,9
2025-12-05:15-00-43,-,-,0,st_actOFF,0,19,9
2025-12-05:15-00-45,-,-,0,st_actOFF,0,19,17
2025-12-05:15-00-47,-,-,0,st_actOFF,0,43,15
2025-12-05:15-00-49,-,-,0,st_actOFF,0,16,13
2025-12-05:15-00-51,-,-,0,st_actOFF,0,18,10
2025-12-05:15-00-53,-,-,0,st_actOFF,0,18,9
2025-12-05:15-00-55,-,-,0,st_actOFF,0,18,6
2025-12-05:15-00-57,-,-,0,st_actOFF,0,22,11
2025-12-05:15-00-59,-,-,0,st_actOFF,0,19,14
2025-12-05:15-01-01,-,-,0,st_actOFF,0,16,10
2025-12-05:15-01-03,-,-,0,st_actOFF,0,22,23
2025-12-05:15-01-05,-,-,0,st_actOFF,0,22,18
2025-12-05:15-01-07,-,-,0,st_actOFF,0,15,11
2025-12-05:15-01-09,-,-,0,st_actOFF,0,18,13
2025-12-05:15-01-11,-,-,0,st_actOFF,0,16,10
2025-12-05:15-01-13,-,-,0,st_actOFF,0,31,7
2025-12-05:15-01-15,-,-,0,st_actOFF,0,31,15
2025-12-05:15-01-17,-,-,0,st_actOFF,0,61,12
2025-12-05:15-01-19,-,-,0,st_actOFF,0,32,14
2025-12-05:15-01-21,-,-,0,st_actOFF,0,57,12
2025-12-05:15-01-23,-,-,0,st_actOFF,0,15,15
2025-12-05:15-01-25,-,-,0,st_actOFF,0,15,7
2025-12-05:15-01-27,-,-,0,st_actOFF,0,16,13
2025-12-05:15-01-29,-,-,0,st_actOFF,0,28,8
2025-12-05:15-01-31,-,-,0,st_actOFF,0,174,11
2025-12-05:15-01-33,-,-,0,st_actOFF,0,81,8
2025-12-05:15-01-35,-,-,0,st_actOFF,0,81,5
2025-12-05:15-01-37,-,-,0,st_actOFF,0,54,7
2025-12-05:15-01-40,-,-,0,st_actOFF,0,25,5
2025-12-05:15-01-42,-,-,0,st_actOFF,0,53,8
2025-12-05:15-01-44,-,-,0,st_actOFF,0,15,7
2025-12-05:15-01-46,-,-,0,st_actOFF,0,17,8
2025-12-05:15-01-48,-,-,0,st_actOFF,0,17,9
2025-12-05:15-01-50,-,-,0,st_actOFF,0,18,14
2025-12-05:15-01-52,-,-,0,st_actOFF,0,16,18
2025-12-05:15-01-54,-,-,0,st_actOFF,0,13,6
2025-12-05:15-01-56,-,-,0,st_actOFF,0,16,7
2025-12-05:15-01-58,-,-,0,st_actOFF,0,16,13
2025-12-05:15-02-00,-,-,0,st_actOFF,0,18,5
2025-12-05:15-02-02,-,-,0,st_actOFF,0,20,7
2025-12-05:15-02-04,-,-,0,st_actOFF,0,15,17
2025-12-05:15-02-06,-,-,0,st_actOFF,0,14,16
2025-12-05:15-02-08,-,-,0,st_actOFF,0,14,17
2025-12-05:15-02-10,-,-,0,st_actOFF,0,19,4
2025-12-05:15-02-12,-,-,0,st_actOFF,0,17,8
2025-12-05:15-02-14,-,-,0,st_actOFF,0,18,5
2025-12-05:15-02-16,-,-,0,st_actOFF,0,21,17
2025-12-05:15-02-18,-,-,0,st_actOFF,0,21,16
2025-12-05:15-02-20,-,-,0,st_actOFF,0,19,11
2025-12-05:15-02-22,-,-,0,st_actOFF,0,19,14
2025-12-05:15-02-24,-,-,0,st_actOFF,0,18,17
2025-12-05:15-02-26,-,-,0,st_actOFF,0,17,5
2025-12-05:15-02-28,-,-,0,st_actOFF,0,17,9
2025-12-05:15-02-30,-,-,0,st_actOFF,0,18,6
2025-12-05:15-02-32,-,-,0,st_actOFF,0,20,22
2025-12-05:15-02-34,-,-,0,st_actOFF,0,20,10
2025-12-05:15-02-36,-,-,0,st_actOFF,0,21,6
2025-12-05:15-02-38,-,-,0,st_actOFF,0,20,5
2025-12-05:15-02-40,-,-,0,st_actOFF,0,20,5
2025-12-05:15-02-42,-,-,0,st_actOFF,0,20,12
2025-12-05:15-02-44,-,-,0,st_actOFF,0,18,5
2025-12-05:15-02-46,-,-,0,st_actOFF,0,19,10
2025-12-05:15-02-48,-,-,0,st_actOFF,0,17,5
2025-12-05:15-02-50,-,-,0,st_actOFF,0,17,5
2025-12-05:15-02-52,-,-,0,st_actOFF,0,21,8
2025-12-05:15-02-54,-,-,0,st_actOFF,0,21,10
2025-12-05:15-02-56,-,-,0,st_actOFF,0,13,4
2025-12-05:15-02-58,-,-,0,st_actOFF,0,19,12
2025-12-05:15-03-00,-,-,0,st_actOFF,0,19,5
2025-12-05:15-03-02,-,-,0,st_actOFF,0,23,5
2025-12-05:15-03-04,-,-,0,st_actOFF,0,14,8
2025-12-05:15-03-06,-,-,0,st_actOFF,0,15,3
2025-12-05:15-03-08,-,-,0,st_actOFF,0,24,7
2025-12-05:15-03-10,-,-,0,st_actOFF,0,24,10
2025-12-05:15-03-12,-,-,0,st_actOFF,0,21,8
2025-12-05:15-03-14,-,-,0,st_actOFF,0,20,4
2025-12-05:15-03-16,-,-,0,st_actOFF,0,17,11
2025-12-05:15-03-18,-,-,0,st_actOFF,0,19,13
2025-12-05:15-03-20,-,-,0,st_actOFF,0,19,10
2025-12-05:15-03-22,-,-,0,st_actOFF,0,16,8
2025-12-05:15-03-24,-,-,0,st_actOFF,0,19,11
2025-12-05:15-03-26,-,-,0,st_actOFF,0,20,5
2025-12-05:15-03-28,-,-,0,st_actOFF,0,15,4
2025-12-05:15-03-30,-,-,0,st_actOFF,0,15,12
2025-12-05:15-03-32,-,-,0,st_actOFF,0,21,5
2025-12-05:15-03-34,-,-,0,st_actOFF,0,16,8
