timestamp_backend_inout,timestamp_reasoner_inout,timestamp_iot_inout,personCount,lampStatus,reasoningTime,endToEndTime,backendTime
2025-12-10:17-32-19,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,17,53
2025-12-10:17-32-21,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,18,31
2025-12-10:17-32-23,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,117,61
2025-12-10:17-32-25,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,117,24
2025-12-10:17-32-27,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,17,12
2025-12-10:17-32-29,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,142,37
2025-12-10:17-32-31,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,95,41
2025-12-10:17-32-33,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,52,43
2025-12-10:17-32-35,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,34,13
2025-12-10:17-32-37,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,34,47
2025-12-10:17-32-39,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,16,17
2025-12-10:17-32-41,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,22,34
2025-12-10:17-32-43,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,21,31
2025-12-10:17-32-45,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,37,24
2025-12-10:17-32-47,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,37,55
2025-12-10:17-32-49,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,17,18
2025-12-10:17-32-51,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,66,35
2025-12-10:17-32-53,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,27,27
2025-12-10:17-32-55,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,69,20
2025-12-10:17-32-57,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,69,19
2025-12-10:17-32-59,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,44,35
2025-12-10:17-33-02,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,29,46
2025-12-10:17-33-04,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,55,46
2025-12-10:17-33-06,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,20,43
2025-12-10:17-33-08,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,17,11
2025-12-10:17-33-10,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,17,49
2025-12-10:17-33-12,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,37,12
2025-12-10:17-33-14,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,71,33
2025-12-10:17-33-16,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,18,23
2025-12-10:17-33-18,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,20,27
2025-12-10:17-33-20,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,20,27
2025-12-10:17-33-22,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,65,51
2025-12-10:17-33-24,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,23,51
2025-12-10:17-33-26,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,49,17
2025-12-10:17-33-28,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,20,32
2025-12-10:17-33-30,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,24,19
2025-12-10:17-33-32,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,24,89
2025-12-10:17-33-34,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,24,31
2025-12-10:17-33-36,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,59,25
2025-12-10:17-33-38,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,120,21
2025-12-10:17-33-40,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,90,33
2025-12-10:17-33-42,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,90,26
2025-12-10:17-33-44,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,24,52
2025-12-10:17-33-46,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,97,34
2025-12-10:17-33-48,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,21,27
2025-12-10:17-33-50,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,114,12
2025-12-10:17-33-52,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,114,24
2025-12-10:17-33-55,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,18,12
2025-12-10:17-33-57,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,23,33
2025-12-10:17-33-59,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,88,17
2025-12-10:17-34-01,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,16,25
2025-12-10:17-34-03,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,16,27
2025-12-10:17-34-05,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,504,35
2025-12-10:17-34-07,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,63,30
2025-12-10:17-34-09,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,23,43
2025-12-10:17-34-11,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,47,63
2025-12-10:17-34-13,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,144,29
2025-12-10:17-34-15,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,144,54
2025-12-10:17-34-17,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,100,15
2025-12-10:17-34-19,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,21,32
2025-12-10:17-34-21,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,112,36
2025-12-10:17-34-23,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,16,15
2025-12-10:17-34-25,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,18,27
2025-12-10:17-34-27,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,18,45
2025-12-10:17-34-29,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,91,13
2025-12-10:17-34-31,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,20,24
2025-12-10:17-34-33,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,22,18
2025-12-10:17-34-35,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,20,25
2025-12-10:17-34-37,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,20,23
2025-12-10:17-34-39,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,26,11
2025-12-10:17-34-41,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,24,25
2025-12-10:17-34-43,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,440,21
2025-12-10:17-34-45,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,30,30
2025-12-10:17-34-47,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,30,17
2025-12-10:17-34-49,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,60,24
2025-12-10:17-34-51,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,329,13
2025-12-10:17-34-53,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,77,27
2025-12-10:17-34-55,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,112,25
2025-12-10:17-34-58,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,112,72
2025-12-10:17-35-00,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,96,24
2025-12-10:17-35-02,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,43,33
2025-12-10:17-35-04,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,315,18
2025-12-10:17-35-06,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,16,35
2025-12-10:17-35-08,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,17,25
2025-12-10:17-35-10,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,17,47
2025-12-10:17-35-12,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,85,25
2025-12-10:17-35-14,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,30,240
2025-12-10:17-35-16,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,102,11
2025-12-10:17-35-18,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,23,22
2025-12-10:17-35-20,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,124,17
2025-12-10:17-35-22,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,124,31
2025-12-10:17-35-24,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,21,22
2025-12-10:17-35-26,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,138,25
2025-12-10:17-35-28,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,14,8
2025-12-10:17-35-30,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,56,28
2025-12-10:17-35-32,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,56,25
2025-12-10:17-35-34,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,19,31
2025-12-10:17-35-36,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,23,22
2025-12-10:17-35-38,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,341,23
2025-12-10:17-35-40,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,92,15
2025-12-10:17-35-42,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,92,11
2025-12-10:17-35-44,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,46,13
2025-12-10:17-35-46,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,72,8
2025-12-10:17-35-49,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,65,32
2025-12-10:17-35-51,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,105,7
2025-12-10:17-35-53,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,105,12
2025-12-10:17-35-55,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,82,7
2025-12-10:17-35-57,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,55,15
2025-12-10:17-35-59,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,15,12
2025-12-10:17-36-01,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,61,8
2025-12-10:17-36-03,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,113,27
2025-12-10:17-36-05,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,113,11
2025-12-10:17-36-07,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,83,13
2025-12-10:17-36-09,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,443,21
2025-12-10:17-36-11,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,97,119
2025-12-10:17-36-13,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,20,8
2025-12-10:17-36-15,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,20,13
2025-12-10:17-36-17,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,116,30
2025-12-10:17-36-19,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,67,7
2025-12-10:17-36-21,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,18,25
2025-12-10:17-36-23,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,16,21
2025-12-10:17-36-25,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,16,34
2025-12-10:17-36-27,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,16,25
2025-12-10:17-36-29,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,105,12
2025-12-10:17-36-31,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,23,8
2025-12-10:17-36-33,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,18,14
2025-12-10:17-36-35,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,66,18
2025-12-10:17-36-37,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,66,20
2025-12-10:17-36-39,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,27,37
2025-12-10:17-36-41,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,19,21
2025-12-10:17-36-43,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,53,26
2025-12-10:17-36-45,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,16,14
2025-12-10:17-36-47,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,16,41
2025-12-10:17-36-49,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,22,11
2025-12-10:17-36-51,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,22,13
2025-12-10:17-36-53,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,92,47
2025-12-10:17-36-56,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,49,455
2025-12-10:17-36-58,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,419,36
2025-12-10:17-37-00,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,419,11
2025-12-10:17-37-02,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,173,13
2025-12-10:17-37-04,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,19,16
2025-12-10:17-37-06,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,101,40
2025-12-10:17-37-08,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,21,9
2025-12-10:17-37-10,2025-12-10:17-32-18,2025-12-10:17-32-17,1,st_actON,258,23,24
