timestamp_backend_inout,timestamp_reasoner_inout,timestamp_iot_inout,personCount,lampStatus,reasoningTime,endToEndTime,backendTime
2025-11-11:16-26-26,-,-,0,st_actOFF,0,0,39
2025-11-11:16-26-28,-,-,0,st_actOFF,0,0,12
2025-11-11:16-26-30,-,-,0,st_actOFF,0,56,12
2025-11-11:16-26-32,-,-,0,st_actOFF,0,26,13
2025-11-11:16-26-34,-,-,0,st_actOFF,0,63,13
2025-11-11:16-26-36,-,-,0,st_actOFF,0,94,13
2025-11-11:16-26-38,-,-,0,st_actOFF,0,94,23
2025-11-11:16-26-40,-,-,0,st_actOFF,0,125,16
2025-11-11:16-26-42,-,-,0,st_actOFF,0,42,10
2025-11-11:16-26-44,-,-,0,st_actOFF,0,63,10
2025-11-11:16-26-46,-,-,0,st_actOFF,0,42,24
2025-11-11:16-26-48,-,-,0,st_actOFF,0,42,8
2025-11-11:16-26-50,-,-,0,st_actOFF,0,68,11
2025-11-11:16-26-52,-,-,0,st_actOFF,0,43,12
2025-11-11:16-26-54,-,-,0,st_actOFF,0,16,20
2025-11-11:16-26-56,-,-,0,st_actOFF,0,108,7
2025-11-11:16-26-58,-,-,0,st_actOFF,0,108,9
2025-11-11:16-27-00,-,-,0,st_actOFF,0,17,14
2025-11-11:16-27-02,-,-,0,st_actOFF,0,45,18
2025-11-11:16-27-04,-,-,0,st_actOFF,0,16,13
2025-11-11:16-27-06,-,-,0,st_actOFF,0,39,8
2025-11-11:16-27-08,-,-,0,st_actOFF,0,61,11
2025-11-11:16-27-10,-,-,0,st_actOFF,0,61,11
2025-11-11:16-27-12,-,-,0,st_actOFF,0,44,9
2025-11-11:16-27-14,-,-,0,st_actOFF,0,57,11
2025-11-11:16-27-16,-,-,0,st_actOFF,0,40,8
2025-11-11:16-27-18,-,-,0,st_actOFF,0,40,13
2025-11-11:16-27-20,-,-,0,st_actOFF,0,179,6
2025-11-11:16-27-22,-,-,0,st_actOFF,0,36,12
2025-11-11:16-27-24,-,-,0,st_actOFF,0,69,11
2025-11-11:16-27-26,-,-,0,st_actOFF,0,38,9
2025-11-11:16-27-28,-,-,0,st_actOFF,0,38,27
2025-11-11:16-27-30,-,-,0,st_actOFF,0,418,11
