timestamp,personCount,lampStatus,reasoningTime,endToEndTime,backendTime
31-10-2025 12:12:34,0,st_actOFF,0,0,55
31-10-2025 12:12:36,0,st_actOFF,0,0,82
31-10-2025 12:12:38,0,st_actOFF,0,0,22
31-10-2025 12:12:40,0,st_actOFF,0,0,26
31-10-2025 12:12:42,0,st_actOFF,0,0,26
31-10-2025 12:12:44,0,st_actOFF,0,0,20
31-10-2025 12:12:46,0,st_actOFF,0,0,16
31-10-2025 12:12:48,0,st_actOFF,0,0,14
31-10-2025 12:12:50,0,st_actOFF,0,0,31
31-10-2025 12:12:52,0,st_actOFF,0,0,11
31-10-2025 12:12:54,0,st_actOFF,0,0,55
31-10-2025 12:12:56,0,st_actOFF,0,0,26
31-10-2025 12:12:58,0,st_actOFF,0,0,18
31-10-2025 12:13:01,0,st_actOFF,0,0,42
31-10-2025 12:13:03,0,st_actOFF,0,0,18
31-10-2025 12:13:05,0,st_actOFF,0,0,25
31-10-2025 12:13:07,0,st_actOFF,0,0,23
31-10-2025 12:13:09,0,st_actOFF,0,0,14
31-10-2025 12:13:11,0,st_actOFF,0,0,16
31-10-2025 12:13:13,0,st_actOFF,0,0,29
31-10-2025 12:13:15,0,st_actOFF,0,0,26
31-10-2025 12:13:17,0,st_actOFF,0,0,14
31-10-2025 12:13:19,0,st_actOFF,0,0,29
31-10-2025 12:13:21,0,st_actOFF,0,0,27
31-10-2025 12:13:23,0,st_actOFF,0,0,21
31-10-2025 12:13:25,0,st_actOFF,0,0,37
31-10-2025 12:13:27,0,st_actOFF,0,0,136
31-10-2025 12:13:29,0,st_actOFF,0,0,12
31-10-2025 12:13:31,0,st_actOFF,0,0,9
31-10-2025 12:13:33,0,st_actOFF,0,0,8
31-10-2025 12:31:53,0,st_actOFF,0,0,66
31-10-2025 12:31:55,0,st_actOFF,0,0,15
31-10-2025 12:31:57,0,st_actOFF,0,0,22
31-10-2025 12:31:59,0,st_actOFF,0,0,30
31-10-2025 12:32:01,0,st_actOFF,0,0,19
31-10-2025 12:32:03,0,st_actOFF,0,0,18
31-10-2025 12:32:05,0,st_actOFF,0,0,11
31-10-2025 12:32:07,0,st_actOFF,0,0,11
31-10-2025 12:32:10,0,st_actOFF,0,0,23
31-10-2025 12:32:12,0,st_actOFF,0,0,8
31-10-2025 12:32:14,0,st_actOFF,0,0,7
31-10-2025 12:32:16,0,st_actOFF,0,0,10
31-10-2025 12:32:18,0,st_actOFF,0,0,15
31-10-2025 12:32:20,0,st_actOFF,0,0,20
31-10-2025 12:32:22,0,st_actOFF,0,0,20
31-10-2025 12:32:24,0,st_actOFF,0,0,18
31-10-2025 12:32:26,0,st_actOFF,0,0,10
31-10-2025 12:32:28,0,st_actOFF,0,0,25
31-10-2025 12:32:30,0,st_actOFF,0,0,21
31-10-2025 12:32:32,0,st_actOFF,0,0,15
31-10-2025 12:32:34,0,st_actOFF,0,0,9
31-10-2025 12:32:36,0,st_actOFF,0,0,20
31-10-2025 12:32:38,0,st_actOFF,0,0,27
31-10-2025 12:32:40,0,st_actOFF,0,0,9
31-10-2025 12:32:42,0,st_actOFF,0,0,23
31-10-2025 12:32:44,0,st_actOFF,0,0,11
31-10-2025 12:32:46,0,st_actOFF,0,0,9
31-10-2025 12:32:48,0,st_actOFF,0,0,23
31-10-2025 12:32:50,0,st_actOFF,0,0,23
31-10-2025 12:32:52,0,st_actOFF,0,0,43
31-10-2025 12:32:54,0,st_actOFF,0,0,10
31-10-2025 12:32:56,0,st_actOFF,0,0,13
31-10-2025 12:32:58,0,st_actOFF,0,0,15
31-10-2025 12:33:00,0,st_actOFF,0,0,28
31-10-2025 12:33:02,0,st_actOFF,0,0,21
31-10-2025 12:33:04,0,st_actOFF,0,0,14
31-10-2025 12:33:06,0,st_actOFF,0,0,19
31-10-2025 12:33:08,0,st_actOFF,0,0,21
31-10-2025 12:33:10,0,st_actOFF,0,0,22
31-10-2025 12:33:12,0,st_actOFF,0,0,11
31-10-2025 12:33:14,0,st_actOFF,0,0,19
31-10-2025 12:33:16,0,st_actOFF,0,0,13
31-10-2025 12:33:18,0,st_actOFF,0,0,8
31-10-2025 12:33:20,0,st_actOFF,0,0,12
31-10-2025 12:33:22,0,st_actOFF,0,0,12
31-10-2025 12:33:24,0,st_actOFF,0,0,16
31-10-2025 12:33:26,0,st_actOFF,0,0,20
31-10-2025 12:33:28,0,st_actOFF,0,0,11
31-10-2025 12:33:31,0,st_actOFF,0,0,6
31-10-2025 12:33:33,0,st_actOFF,0,0,30
31-10-2025 12:33:35,0,st_actOFF,0,0,13
31-10-2025 12:33:37,0,st_actOFF,0,0,19
31-10-2025 12:33:39,0,st_actOFF,0,0,12
31-10-2025 12:33:41,0,st_actOFF,0,0,13
31-10-2025 12:33:43,0,st_actOFF,0,0,10
31-10-2025 12:33:45,0,st_actOFF,0,0,12
31-10-2025 12:33:47,0,st_actOFF,0,0,19
31-10-2025 12:33:49,0,st_actOFF,0,0,9
31-10-2025 12:33:51,0,st_actOFF,0,0,9
31-10-2025 12:33:53,0,st_actOFF,0,0,20
31-10-2025 12:33:55,0,st_actOFF,0,0,15
31-10-2025 12:33:57,0,st_actOFF,0,0,15
