timestamp_backend_inout,timestamp_reasoner_inout,timestamp_iot_inout,personCount,lampStatus,reasoningTime,endToEndTime,backendTime
2025-11-22:12-13-45,2025-11-22:12-13-43,2025-11-20:18-54-41,0,st_actOFF,186,31,10
2025-11-22:12-13-47,2025-11-22:12-13-43,2025-11-20:18-54-41,0,st_actOFF,186,153,11
2025-11-22:12-13-49,2025-11-22:12-13-43,2025-11-20:18-54-41,0,st_actOFF,186,153,9
2025-11-22:12-13-51,2025-11-22:12-13-43,2025-11-20:18-54-41,0,st_actOFF,186,153,9
2025-11-22:12-13-53,2025-11-22:12-13-43,2025-11-20:18-54-41,0,st_actOFF,186,153,8
2025-11-22:12-13-55,2025-11-22:12-13-43,2025-11-20:18-54-41,0,st_actOFF,186,24,13
2025-11-22:12-13-57,2025-11-22:12-13-43,2025-11-20:18-54-41,0,st_actOFF,186,14,7
2025-11-22:12-13-59,2025-11-22:12-13-43,2025-11-20:18-54-41,0,st_actOFF,186,14,8
2025-11-22:12-14-01,2025-11-22:12-13-43,2025-11-20:18-54-41,0,st_actOFF,186,14,11
2025-11-22:12-14-03,2025-11-22:12-13-43,2025-11-20:18-54-41,0,st_actOFF,186,14,9
2025-11-22:12-14-05,2025-11-22:12-13-43,2025-11-20:18-54-41,0,st_actOFF,186,14,10
2025-11-22:12-14-07,2025-11-22:12-13-43,2025-11-20:18-54-41,0,st_actOFF,186,14,8
2025-11-22:12-14-09,2025-11-22:12-13-43,2025-11-20:18-54-41,0,st_actOFF,186,14,11
2025-11-22:12-14-11,2025-11-22:12-13-43,2025-11-20:18-54-41,0,st_actOFF,186,14,23
2025-11-22:12-14-14,2025-11-22:12-13-43,2025-11-20:18-54-41,0,st_actOFF,186,14,95
2025-11-22:12-14-16,2025-11-22:12-13-43,2025-11-20:18-54-41,0,st_actOFF,186,14,22
2025-11-22:12-14-18,2025-11-22:12-13-43,2025-11-20:18-54-41,0,st_actOFF,186,42,44
2025-11-22:12-14-20,2025-11-22:12-13-43,2025-11-20:18-54-41,0,st_actOFF,186,16,27
2025-11-22:12-14-22,2025-11-22:12-13-43,2025-11-20:18-54-41,0,st_actOFF,186,16,21
2025-11-22:12-14-24,2025-11-22:12-13-43,2025-11-20:18-54-41,0,st_actOFF,186,49,11
2025-11-22:12-14-26,2025-11-22:12-13-43,2025-11-20:18-54-41,0,st_actOFF,186,14,384
2025-11-22:12-14-28,2025-11-22:12-13-43,2025-11-20:18-54-41,0,st_actOFF,186,19,12
2025-11-22:12-14-31,2025-11-22:12-13-43,2025-11-20:18-54-41,0,st_actOFF,186,15,37
2025-11-22:12-14-33,2025-11-22:12-13-43,2025-11-20:18-54-41,0,st_actOFF,186,15,293
2025-11-22:12-14-35,2025-11-22:12-13-43,2025-11-20:18-54-41,0,st_actOFF,186,40,17
2025-11-22:12-14-37,2025-11-22:12-13-43,2025-11-20:18-54-41,0,st_actOFF,186,40,10
2025-11-22:12-14-39,2025-11-22:12-13-43,2025-11-20:18-54-41,0,st_actOFF,186,24,19
2025-11-22:12-14-41,2025-11-22:12-13-43,2025-11-20:18-54-41,0,st_actOFF,186,28,10
2025-11-22:12-14-43,2025-11-22:12-13-43,2025-11-20:18-54-41,0,st_actOFF,186,15,10
2025-11-22:12-14-45,2025-11-22:12-13-43,2025-11-20:18-54-41,0,st_actOFF,186,15,11
2025-11-22:12-14-47,2025-11-22:12-13-43,2025-11-20:18-54-41,0,st_actOFF,186,15,9
2025-11-22:12-14-49,2025-11-22:12-13-43,2025-11-20:18-54-41,0,st_actOFF,186,24,10
2025-11-22:12-14-51,2025-11-22:12-13-43,2025-11-20:18-54-41,0,st_actOFF,186,14,7
2025-11-22:12-14-53,2025-11-22:12-13-43,2025-11-20:18-54-41,0,st_actOFF,186,43,8
2025-11-22:12-14-55,2025-11-22:12-13-43,2025-11-20:18-54-41,0,st_actOFF,186,27,8
2025-11-22:12-14-57,2025-11-22:12-13-43,2025-11-20:18-54-41,0,st_actOFF,186,27,11
2025-11-22:12-14-59,2025-11-22:12-13-43,2025-11-20:18-54-41,0,st_actOFF,186,29,9
2025-11-22:12-15-01,2025-11-22:12-13-43,2025-11-20:18-54-41,0,st_actOFF,186,37,9
2025-11-22:12-15-03,2025-11-22:12-13-43,2025-11-20:18-54-41,0,st_actOFF,186,14,10
2025-11-22:12-15-05,2025-11-22:12-13-43,2025-11-20:18-54-41,0,st_actOFF,186,17,14
2025-11-22:12-15-07,2025-11-22:12-13-43,2025-11-20:18-54-41,0,st_actOFF,186,17,7
2025-11-22:12-15-09,2025-11-22:12-13-43,2025-11-20:18-54-41,0,st_actOFF,186,22,7
2025-11-22:12-15-11,2025-11-22:12-13-43,2025-11-20:18-54-41,0,st_actOFF,186,30,7
2025-11-22:12-15-13,2025-11-22:12-13-43,2025-11-20:18-54-41,0,st_actOFF,186,18,8
2025-11-22:12-15-15,2025-11-22:12-13-43,2025-11-20:18-54-41,0,st_actOFF,186,14,8
2025-11-22:12-15-17,2025-11-22:12-13-43,2025-11-20:18-54-41,0,st_actOFF,186,14,10
2025-11-22:12-15-19,2025-11-22:12-13-43,2025-11-20:18-54-41,0,st_actOFF,186,14,9
2025-11-22:12-15-21,2025-11-22:12-13-43,2025-11-20:18-54-41,0,st_actOFF,186,15,9
2025-11-22:12-19-09,-,-,0,st_actOFF,0,23,7
2025-11-22:12-19-11,-,-,0,st_actOFF,0,23,8
2025-11-22:12-19-13,-,-,0,st_actOFF,0,27,6
