timestamp_backend_inout,timestamp_reasoner_inout,timestamp_iot_inout,personCount,lampStatus,reasoningTime,endToEndTime,backendTime
2026-01-13:08-51-12,-,-,1,st_actON,0,0,474
2026-01-13:08-51-14,-,-,1,st_actON,0,0,24
2026-01-13:08-51-16,-,-,1,st_actON,0,0,11
2026-01-13:08-51-18,-,-,1,st_actON,0,0,11
2026-01-13:08-51-20,-,-,1,st_actON,0,0,11
2026-01-13:08-51-22,-,-,1,st_actON,0,0,12
2026-01-13:08-51-24,-,-,1,st_actON,0,0,9
2026-01-13:08-51-26,-,-,1,st_actON,0,0,31
2026-01-13:08-51-28,-,-,1,st_actON,0,0,9
2026-01-13:08-51-30,-,-,1,st_actON,0,0,15
2026-01-13:08-51-32,-,-,1,st_actON,0,0,10
2026-01-13:08-51-34,-,-,1,st_actON,0,0,10
2026-01-13:08-51-36,-,-,1,st_actON,0,0,10
2026-01-13:08-51-39,-,-,1,st_actON,0,121,14
2026-01-13:08-51-41,-,-,1,st_actON,0,50,9
2026-01-13:08-51-43,-,-,1,st_actON,0,312,12
2026-01-13:08-51-45,-,-,1,st_actON,0,50,19
2026-01-13:08-51-47,-,-,1,st_actON,0,50,12
2026-01-13:08-51-49,-,-,1,st_actON,0,22,35
2026-01-13:08-51-51,-,-,1,st_actON,0,19,15
2026-01-13:08-51-53,-,-,1,st_actON,0,19,12
2026-01-13:08-51-55,-,-,1,st_actON,0,14,9
2026-01-13:08-51-57,-,-,1,st_actON,0,14,11
2026-01-13:08-51-59,-,-,1,st_actON,0,71,8
2026-01-13:08-52-01,2026-01-13:08-51-59,2026-01-13:08-51-54,1,st_actON,183,17,26
2026-01-13:08-52-03,2026-01-13:08-51-59,2026-01-13:08-51-54,1,st_actON,183,33,9
2026-01-13:08-52-05,2026-01-13:08-51-59,2026-01-13:08-51-54,1,st_actON,183,22,8
2026-01-13:08-52-07,2026-01-13:08-51-59,2026-01-13:08-51-54,1,st_actON,183,22,9
