timestamp_backend_inout,timestamp_reasoner_inout,timestamp_iot_inout,personCount,lampStatus,reasoningTime,endToEndTime,backendTime
2025-11-24:12-34-11,2025-11-24:12-34-10,2025-11-24:12-33-53,1,st_actON,274,324,35
2025-11-24:12-34-13,2025-11-24:12-34-10,2025-11-24:12-33-53,1,st_actON,274,70,26
2025-11-24:12-34-15,2025-11-24:12-34-10,2025-11-24:12-33-53,1,st_actON,274,61,29
2025-11-24:12-34-17,2025-11-24:12-34-10,2025-11-24:12-33-53,1,st_actON,274,61,32
2025-11-24:12-34-20,2025-11-24:12-34-10,2025-11-24:12-33-53,1,st_actON,274,106,23
2025-11-24:12-34-22,2025-11-24:12-34-10,2025-11-24:12-33-53,1,st_actON,274,106,42
2025-11-24:12-34-24,2025-11-24:12-34-10,2025-11-24:12-33-53,1,st_actON,274,23,19
2025-11-24:12-34-26,2025-11-24:12-34-10,2025-11-24:12-33-53,1,st_actON,274,20,40
2025-11-24:12-34-28,2025-11-24:12-34-10,2025-11-24:12-33-53,1,st_actON,274,20,28
2025-11-24:12-34-30,2025-11-24:12-34-10,2025-11-24:12-33-53,1,st_actON,274,69,19
2025-11-24:12-34-32,2025-11-24:12-34-10,2025-11-24:12-33-53,1,st_actON,274,18,28
2025-11-24:12-34-34,2025-11-24:12-34-10,2025-11-24:12-33-53,1,st_actON,274,104,19
2025-11-24:12-34-36,2025-11-24:12-34-10,2025-11-24:12-33-53,1,st_actON,274,16,18
2025-11-24:12-34-38,2025-11-24:12-34-10,2025-11-24:12-33-53,1,st_actON,274,16,38
2025-11-24:12-34-40,2025-11-24:12-34-10,2025-11-24:12-33-53,1,st_actON,274,354,42
2025-11-24:12-34-42,2025-11-24:12-34-10,2025-11-24:12-33-53,1,st_actON,274,314,21
2025-11-24:12-34-44,2025-11-24:12-34-10,2025-11-24:12-33-53,1,st_actON,274,22,39
2025-11-24:12-34-46,2025-11-24:12-34-10,2025-11-24:12-33-53,1,st_actON,274,222,42
2025-11-24:12-34-48,2025-11-24:12-34-10,2025-11-24:12-33-53,1,st_actON,274,222,34
2025-11-24:12-34-50,2025-11-24:12-34-10,2025-11-24:12-33-53,1,st_actON,274,314,12
2025-11-24:12-34-52,2025-11-24:12-34-10,2025-11-24:12-33-53,1,st_actON,274,122,45
2025-11-24:12-34-54,2025-11-24:12-34-10,2025-11-24:12-33-53,1,st_actON,274,27,22
2025-11-24:12-34-56,2025-11-24:12-34-10,2025-11-24:12-33-53,1,st_actON,274,442,50
2025-11-24:12-34-58,2025-11-24:12-34-10,2025-11-24:12-33-53,1,st_actON,274,19,61
2025-11-24:12-35-00,2025-11-24:12-34-10,2025-11-24:12-33-53,1,st_actON,274,19,48
2025-11-24:12-35-02,2025-11-24:12-34-10,2025-11-24:12-33-53,1,st_actON,274,163,28
2025-11-24:12-35-04,2025-11-24:12-34-10,2025-11-24:12-33-53,1,st_actON,274,16,20
2025-11-24:12-35-06,2025-11-24:12-34-10,2025-11-24:12-33-53,1,st_actON,274,81,45
2025-11-24:12-35-08,2025-11-24:12-34-10,2025-11-24:12-33-53,1,st_actON,274,47,35
2025-11-24:12-35-10,2025-11-24:12-34-10,2025-11-24:12-33-53,1,st_actON,274,47,41
2025-11-24:12-35-13,2025-11-24:12-34-10,2025-11-24:12-33-53,1,st_actON,274,73,31
2025-11-24:12-35-15,2025-11-24:12-34-10,2025-11-24:12-33-53,1,st_actON,274,29,35
2025-11-24:12-35-17,2025-11-24:12-34-10,2025-11-24:12-33-53,1,st_actON,274,57,22
2025-11-24:12-35-19,2025-11-24:12-34-10,2025-11-24:12-33-53,1,st_actON,274,67,34
2025-11-24:12-35-21,2025-11-24:12-34-10,2025-11-24:12-33-53,1,st_actON,274,67,31
2025-11-24:12-35-23,2025-11-24:12-34-10,2025-11-24:12-33-53,1,st_actON,274,73,25
2025-11-24:12-35-25,2025-11-24:12-34-10,2025-11-24:12-33-53,1,st_actON,274,15,31
2025-11-24:12-35-27,2025-11-24:12-34-10,2025-11-24:12-33-53,1,st_actON,274,18,30
2025-11-24:12-35-29,2025-11-24:12-34-10,2025-11-24:12-33-53,1,st_actON,274,16,28
2025-11-24:12-35-31,2025-11-24:12-34-10,2025-11-24:12-33-53,1,st_actON,274,17,34
2025-11-24:12-35-33,2025-11-24:12-34-10,2025-11-24:12-33-53,1,st_actON,274,17,24
2025-11-24:12-35-35,2025-11-24:12-34-10,2025-11-24:12-33-53,1,st_actON,274,21,29
2025-11-24:12-35-37,2025-11-24:12-34-10,2025-11-24:12-33-53,1,st_actON,274,332,15
2025-11-24:12-35-39,2025-11-24:12-34-10,2025-11-24:12-33-53,1,st_actON,274,87,27
2025-11-24:12-35-41,2025-11-24:12-34-10,2025-11-24:12-33-53,1,st_actON,274,42,29
2025-11-24:12-35-43,2025-11-24:12-34-10,2025-11-24:12-33-53,1,st_actON,274,42,36
2025-11-24:12-35-45,2025-11-24:12-34-10,2025-11-24:12-33-53,1,st_actON,274,18,29
2025-11-24:12-35-47,2025-11-24:12-34-10,2025-11-24:12-33-53,1,st_actON,274,15,17
2025-11-24:12-35-49,2025-11-24:12-34-10,2025-11-24:12-33-53,1,st_actON,274,73,53
2025-11-24:12-35-51,2025-11-24:12-34-10,2025-11-24:12-33-53,1,st_actON,274,78,42
2025-11-24:12-35-53,2025-11-24:12-34-10,2025-11-24:12-33-53,1,st_actON,274,17,23
2025-11-24:12-35-55,2025-11-24:12-34-10,2025-11-24:12-33-53,1,st_actON,274,17,32
2025-11-24:12-35-57,2025-11-24:12-34-10,2025-11-24:12-33-53,1,st_actON,274,17,15
