timestamp_backend_cook,timestamp_reasoner_cook,timestamp_iot_cook,temp,flame,gas,distance,buzzerStatus,exhaustStatus,cookingStatus,reasoningTime,endToEndTime,backendTime
2025-12-05:14-58-45,-,-,25.4,1,0,18.003,st_actOFF,st_actOFF,st_cookNO,0,0,46
2025-12-05:14-58-47,2025-12-05:14-58-46,2025-12-05:14-58-44,24.2,1,6571.253,17.051,st_actON,st_actON,st_cookNO,116,57,12
2025-12-05:14-58-50,2025-12-05:14-58-50,2025-12-05:14-58-48,24.2,1,6136.716,17.051,st_actON,st_actON,st_cookNO,98,49,30
2025-12-05:14-58-53,2025-12-05:14-58-50,2025-12-05:14-58-48,24.2,1,6136.716,17.051,st_actON,st_actON,st_cookNO,98,49,37
2025-12-05:14-58-55,2025-12-05:14-58-54,2025-12-05:14-58-52,24.2,1,5804.425,17.051,st_actON,st_actON,st_cookNO,96,59,10
2025-12-05:14-58-57,2025-12-05:14-58-54,2025-12-05:14-58-52,24.2,1,5804.425,17.051,st_actON,st_actON,st_cookNO,96,59,14
2025-12-05:14-58-59,2025-12-05:14-58-54,2025-12-05:14-58-52,24.2,1,5254.439,17.051,st_actON,st_actON,st_cookNO,96,59,67
2025-12-05:14-59-01,2025-12-05:14-58-59,2025-12-05:14-58-56,24.2,1,5254.439,17.051,st_actON,st_actON,st_cookNO,957,530,18
2025-12-05:14-59-03,2025-12-05:14-59-02,2025-12-05:14-59-00,24.2,1,5104.434,17.068,st_actON,st_actON,st_cookNO,94,73,11
2025-12-05:14-59-05,2025-12-05:14-59-02,2025-12-05:14-59-00,24.2,1,5104.434,17.068,st_actON,st_actON,st_cookNO,94,73,17
2025-12-05:14-59-07,2025-12-05:14-59-06,2025-12-05:14-59-05,24.2,1,4813.634,18.343,st_actON,st_actON,st_cookNO,123,121,17
2025-12-05:14-59-09,2025-12-05:14-59-06,2025-12-05:14-59-05,24.2,1,4813.634,18.343,st_actON,st_actON,st_cookNO,123,121,11
2025-12-05:14-59-11,2025-12-05:14-59-10,2025-12-05:14-59-08,24.2,1,4603.413,17.068,st_actON,st_actON,st_cookNO,115,126,11
2025-12-05:14-59-13,2025-12-05:14-59-10,2025-12-05:14-59-08,24.2,1,4603.413,17.068,st_actON,st_actON,st_cookNO,115,126,22
2025-12-05:14-59-15,2025-12-05:14-59-14,2025-12-05:14-59-12,24.2,1,4333.342,17.051,st_actON,st_actON,st_cookNO,146,59,28
2025-12-05:14-59-17,2025-12-05:14-59-14,2025-12-05:14-59-12,24.2,1,4333.342,17.051,st_actON,st_actON,st_cookNO,146,59,18
2025-12-05:14-59-19,2025-12-05:14-59-18,2025-12-05:14-59-16,24.2,1,4138.266,17.068,st_actON,st_actON,st_cookNO,117,117,11
2025-12-05:14-59-21,2025-12-05:14-59-18,2025-12-05:14-59-16,24.2,1,4138.266,17.068,st_actON,st_actON,st_cookNO,117,117,18
2025-12-05:14-59-23,2025-12-05:14-59-22,2025-12-05:14-59-20,24.1,1,3949.44,17.068,st_actON,st_actON,st_cookNO,107,54,9
2025-12-05:14-59-25,2025-12-05:14-59-22,2025-12-05:14-59-20,24.1,1,3949.44,17.068,st_actON,st_actON,st_cookNO,107,54,18
2025-12-05:14-59-27,2025-12-05:14-59-26,2025-12-05:14-59-24,24.1,1,3826.96,17.051,st_actON,st_actON,st_cookNO,121,56,18
2025-12-05:14-59-29,2025-12-05:14-59-26,2025-12-05:14-59-24,24.1,1,3826.96,17.051,st_actON,st_actON,st_cookNO,121,56,17
2025-12-05:14-59-31,2025-12-05:14-59-30,2025-12-05:14-59-28,24.1,1,3648.244,17.068,st_actON,st_actON,st_cookNO,105,68,19
2025-12-05:14-59-33,2025-12-05:14-59-30,2025-12-05:14-59-28,24.1,1,3648.244,17.068,st_actON,st_actON,st_cookNO,105,68,7
2025-12-05:14-59-35,2025-12-05:14-59-34,2025-12-05:14-59-32,24.1,1,3475.414,17.051,st_actON,st_actON,st_cookNO,137,60,9
2025-12-05:14-59-37,2025-12-05:14-59-34,2025-12-05:14-59-32,24.1,1,3475.414,17.051,st_actON,st_actON,st_cookNO,137,60,12
2025-12-05:14-59-39,2025-12-05:14-59-38,2025-12-05:14-59-36,24.1,1,3363.399,17.051,st_actON,st_actON,st_cookNO,109,60,15
2025-12-05:14-59-41,2025-12-05:14-59-38,2025-12-05:14-59-36,24.1,1,3363.399,17.051,st_actON,st_actON,st_cookNO,109,60,8
2025-12-05:14-59-43,2025-12-05:14-59-42,2025-12-05:14-59-40,24.1,1,3200.087,8.857,st_actON,st_actON,st_cookNO,125,51,16
2025-12-05:14-59-45,2025-12-05:14-59-42,2025-12-05:14-59-40,24.1,1,3200.087,8.857,st_actON,st_actON,st_cookNO,125,51,8
2025-12-05:14-59-47,2025-12-05:14-59-46,2025-12-05:14-59-44,24.1,1,3146.888,17.068,st_actON,st_actON,st_cookNO,125,52,12
2025-12-05:14-59-49,2025-12-05:14-59-46,2025-12-05:14-59-44,24.1,1,3146.888,17.068,st_actON,st_actON,st_cookNO,125,52,11
2025-12-05:14-59-51,2025-12-05:14-59-46,2025-12-05:14-59-44,24.1,1,3146.888,17.068,st_actON,st_actON,st_cookNO,125,52,8
2025-12-05:14-59-53,2025-12-05:14-59-46,2025-12-05:14-59-44,24.1,1,3146.888,17.068,st_actON,st_actON,st_cookNO,125,52,8
2025-12-05:14-59-55,2025-12-05:14-59-46,2025-12-05:14-59-44,24.1,1,3146.888,17.068,st_actON,st_actON,st_cookNO,125,52,7
2025-12-05:14-59-57,2025-12-05:14-59-46,2025-12-05:14-59-44,24.1,1,3146.888,17.068,st_actON,st_actON,st_cookNO,125,52,11
2025-12-05:14-59-59,2025-12-05:14-59-46,2025-12-05:14-59-44,24.1,1,3146.888,17.068,st_actON,st_actON,st_cookNO,125,52,17
2025-12-05:15-00-01,2025-12-05:14-59-46,2025-12-05:14-59-44,24.1,1,3146.888,17.068,st_actON,st_actON,st_cookNO,125,52,13
2025-12-05:15-00-03,2025-12-05:14-59-46,2025-12-05:14-59-44,24.1,1,3146.888,17.068,st_actON,st_actON,st_cookNO,125,52,14
2025-12-05:15-00-05,2025-12-05:14-59-46,2025-12-05:14-59-44,24.1,1,3146.888,17.068,st_actON,st_actON,st_cookNO,125,52,10
2025-12-05:15-00-09,-,-,24.1,1,3146.888,17.068,st_actON,st_actON,st_cookNO,0,0,34
2025-12-05:15-00-12,-,-,24.1,1,3146.888,17.068,st_actON,st_actON,st_cookNO,0,0,19
2025-12-05:15-00-14,-,-,24.1,1,3146.888,17.068,st_actON,st_actON,st_cookNO,0,0,8
2025-12-05:15-00-16,-,-,24.1,1,3146.888,17.068,st_actON,st_actON,st_cookNO,0,0,16
2025-12-05:15-00-18,-,-,24.1,1,3146.888,17.068,st_actON,st_actON,st_cookNO,0,0,10
2025-12-05:15-00-20,-,-,24.1,1,3146.888,17.068,st_actON,st_actON,st_cookNO,0,0,14
2025-12-05:15-00-22,-,-,24.1,1,3146.888,17.068,st_actON,st_actON,st_cookNO,0,0,6
2025-12-05:15-00-24,-,-,24.1,1,3146.888,17.068,st_actON,st_actON,st_cookNO,0,0,14
2025-12-05:15-00-26,-,-,24.1,1,3146.888,17.068,st_actON,st_actON,st_cookNO,0,0,17
2025-12-05:15-00-28,-,-,24.1,1,3146.888,17.068,st_actON,st_actON,st_cookNO,0,0,15
2025-12-05:15-00-30,-,-,24.1,1,3146.888,17.068,st_actON,st_actON,st_cookNO,0,0,17
2025-12-05:15-00-32,2025-12-05:15-00-31,2025-12-05:15-00-30,24,1,556.9118,18.02,st_actON,st_actON,st_cookNO,151,28,16
2025-12-05:15-00-34,2025-12-05:15-00-31,2025-12-05:15-00-30,24,1,556.9118,18.02,st_actON,st_actON,st_cookNO,151,28,17
2025-12-05:15-00-36,2025-12-05:15-00-35,2025-12-05:15-00-33,24,1,1673.026,18.02,st_actON,st_actON,st_cookNO,98,23,15
2025-12-05:15-00-38,2025-12-05:15-00-35,2025-12-05:15-00-33,24,1,1673.026,18.02,st_actON,st_actON,st_cookNO,98,23,12
2025-12-05:15-00-40,2025-12-05:15-00-39,2025-12-05:15-00-37,24,1,2742.903,18.003,st_actON,st_actON,st_cookNO,110,60,12
2025-12-05:15-00-43,2025-12-05:15-00-39,2025-12-05:15-00-37,24,1,2742.903,18.003,st_actON,st_actON,st_cookNO,110,60,7
2025-12-05:15-00-45,2025-12-05:15-00-39,2025-12-05:15-00-37,24,1,2742.903,18.003,st_actON,st_actON,st_cookNO,110,60,8
2025-12-05:15-00-47,2025-12-05:15-00-39,2025-12-05:15-00-37,24,1,2742.903,18.003,st_actON,st_actON,st_cookNO,110,60,11
2025-12-05:15-00-49,2025-12-05:15-00-39,2025-12-05:15-00-37,24,1,2742.903,18.003,st_actON,st_actON,st_cookNO,110,60,8
2025-12-05:15-00-51,2025-12-05:15-00-39,2025-12-05:15-00-37,24,1,2742.903,18.003,st_actON,st_actON,st_cookNO,110,60,13
2025-12-05:15-00-53,2025-12-05:15-00-39,2025-12-05:15-00-37,24,1,2742.903,18.003,st_actON,st_actON,st_cookNO,110,60,6
2025-12-05:15-00-55,2025-12-05:15-00-39,2025-12-05:15-00-37,24,1,2742.903,18.003,st_actON,st_actON,st_cookNO,110,60,9
2025-12-05:15-00-57,2025-12-05:15-00-39,2025-12-05:15-00-37,24,1,2742.903,18.003,st_actON,st_actON,st_cookNO,110,60,11
2025-12-05:15-00-59,2025-12-05:15-00-39,2025-12-05:15-00-37,24,1,2742.903,18.003,st_actON,st_actON,st_cookNO,110,60,15
2025-12-05:15-01-01,2025-12-05:15-00-39,2025-12-05:15-00-37,24,1,2742.903,18.003,st_actON,st_actON,st_cookNO,110,60,17
2025-12-05:15-01-03,2025-12-05:15-00-39,2025-12-05:15-00-37,24,1,2742.903,18.003,st_actON,st_actON,st_cookNO,110,60,7
2025-12-05:15-01-05,2025-12-05:15-01-04,2025-12-05:15-01-03,24.1,1,1851.984,18.02,st_actON,st_actON,st_cookNO,134,25,11
2025-12-05:15-01-07,2025-12-05:15-01-04,2025-12-05:15-01-03,24.1,1,1851.984,18.02,st_actON,st_actON,st_cookNO,134,25,7
2025-12-05:15-01-09,2025-12-05:15-01-08,2025-12-05:15-01-06,24.1,1,2419.687,18.02,st_actON,st_actON,st_cookNO,143,22,16
2025-12-05:15-01-12,2025-12-05:15-01-08,2025-12-05:15-01-06,24.1,1,2419.687,18.02,st_actON,st_actON,st_cookNO,143,22,17
2025-12-05:15-01-14,2025-12-05:15-01-12,2025-12-05:15-01-10,24.1,1,2742.903,18.02,st_actON,st_actON,st_cookNO,135,59,11
2025-12-05:15-01-16,2025-12-05:15-01-12,2025-12-05:15-01-10,24.1,1,2742.903,18.02,st_actON,st_actON,st_cookNO,135,59,9
2025-12-05:15-01-18,2025-12-05:15-01-16,2025-12-05:15-01-14,24.1,1,2791.342,18.02,st_actON,st_actON,st_cookNO,137,57,13
2025-12-05:15-01-21,2025-12-05:15-01-20,2025-12-05:15-01-18,24.1,1,2791.342,18.02,st_actON,st_actON,st_cookNO,138,57,9
2025-12-05:15-01-23,2025-12-05:15-01-20,2025-12-05:15-01-18,24.1,1,2791.342,18.02,st_actON,st_actON,st_cookNO,138,56,12
2025-12-05:15-01-25,2025-12-05:15-01-24,2025-12-05:15-01-22,24.1,0,2742.903,18.003,st_actON,st_actON,st_cookYES,96,21,11
2025-12-05:15-01-28,2025-12-05:15-01-24,2025-12-05:15-01-22,24.1,0,2742.903,18.003,st_actON,st_actON,st_cookYES,96,21,13
2025-12-05:15-01-30,2025-12-05:15-01-28,2025-12-05:15-01-26,24.1,1,2601.019,18.02,st_actON,st_actON,st_cookNO,150,56,8
2025-12-05:15-01-32,2025-12-05:15-01-28,2025-12-05:15-01-26,24.1,1,2601.019,18.02,st_actON,st_actON,st_cookNO,150,56,12
2025-12-05:15-01-34,2025-12-05:15-01-32,2025-12-05:15-01-30,24.1,1,2554.854,18.02,st_actON,st_actON,st_cookNO,145,56,18
2025-12-05:15-01-36,2025-12-05:15-01-32,2025-12-05:15-01-30,24.1,1,2554.854,18.02,st_actON,st_actON,st_cookNO,145,56,17
2025-12-05:15-01-38,2025-12-05:15-01-36,2025-12-05:15-01-34,24.1,1,2289.425,18.02,st_actON,st_actON,st_cookNO,124,57,16
2025-12-05:15-01-40,2025-12-05:15-01-36,2025-12-05:15-01-34,24.1,1,2289.425,18.02,st_actON,st_actON,st_cookNO,124,57,16
2025-12-05:15-01-42,2025-12-05:15-01-40,2025-12-05:15-01-38,24.1,1,2205.254,18.02,st_actON,st_actON,st_cookNO,103,58,5
2025-12-05:15-01-44,2025-12-05:15-01-40,2025-12-05:15-01-38,24.1,1,2205.254,18.02,st_actON,st_actON,st_cookNO,103,58,5
2025-12-05:15-01-46,2025-12-05:15-01-44,2025-12-05:15-01-42,24.1,1,2123.181,18.02,st_actON,st_actON,st_cookNO,90,17,5
2025-12-05:15-01-48,2025-12-05:15-01-44,2025-12-05:15-01-42,24.1,1,2123.181,18.02,st_actON,st_actON,st_cookNO,90,17,12
2025-12-05:15-01-50,2025-12-05:15-01-48,2025-12-05:15-01-46,24.1,1,2082.921,999,st_actON,st_actON,st_cookNO,77,20,13
2025-12-05:15-01-52,2025-12-05:15-01-48,2025-12-05:15-01-46,24.1,1,2082.921,999,st_actON,st_actON,st_cookNO,77,20,8
2025-12-05:15-01-54,2025-12-05:15-01-52,2025-12-05:15-01-50,24.1,1,1889.229,18.003,st_actON,st_actON,st_cookNO,137,14,5
2025-12-05:15-01-56,2025-12-05:15-01-52,2025-12-05:15-01-50,24.1,1,1851.984,18.02,st_actON,st_actON,st_cookNO,137,14,55
