timestamp_backend_cook,timestamp_reasoner_cook,timestamp_iot_cook,temp,flame,gas,distance,buzzerStatus,exhaustStatus,cookingStatus,reasoningTime,endToEndTime,backendTime
2026-01-13:08-51-12,-,-,24.6,1,92.09972,18.02,st_actOFF,st_actOFF,st_cookNO,0,0,467
2026-01-13:08-51-14,-,-,24.6,1,92.09972,18.02,st_actOFF,st_actOFF,st_cookNO,0,0,24
2026-01-13:08-51-16,-,-,24.6,1,92.09972,18.02,st_actOFF,st_actOFF,st_cookNO,0,0,14
2026-01-13:08-51-18,-,-,24.6,1,92.09972,18.02,st_actOFF,st_actOFF,st_cookNO,0,0,13
2026-01-13:08-51-20,-,-,24.6,1,92.09972,18.02,st_actOFF,st_actOFF,st_cookNO,0,0,15
2026-01-13:08-51-22,-,-,24.6,1,92.09972,18.02,st_actOFF,st_actOFF,st_cookNO,0,0,12
2026-01-13:08-51-24,-,-,24.6,1,92.09972,18.02,st_actOFF,st_actOFF,st_cookNO,0,0,10
2026-01-13:08-51-26,-,-,24.6,1,92.09972,18.02,st_actOFF,st_actOFF,st_cookNO,0,0,37
2026-01-13:08-51-28,-,-,24.6,1,92.09972,18.02,st_actOFF,st_actOFF,st_cookNO,0,0,11
2026-01-13:08-51-31,-,-,25.7,1,315.8426,18.972,st_actOFF,st_actOFF,st_cookNO,0,0,88
2026-01-13:08-51-33,2026-01-13:08-51-31,2026-01-13:08-51-25,25.7,1,315.8426,18.972,st_actOFF,st_actOFF,st_cookNO,227,25,12
2026-01-13:08-51-35,2026-01-13:08-51-34,2026-01-13:08-51-28,25.7,1,9564.651,18.955,st_actON,st_actON,st_cookNO,190,21,13
2026-01-13:08-51-39,2026-01-13:08-51-34,2026-01-13:08-51-28,25.7,1,18464.77,18.955,st_actON,st_actON,st_cookNO,190,21,953
2026-01-13:08-51-42,2026-01-13:08-51-39,2026-01-13:08-51-32,25.7,1,18464.77,18.955,st_actON,st_actON,st_cookNO,1238,33,9
2026-01-13:08-51-44,2026-01-13:08-51-39,2026-01-13:08-51-32,25.7,1,18464.77,18.955,st_actON,st_actON,st_cookNO,1238,33,13
2026-01-13:08-51-46,2026-01-13:08-51-45,2026-01-13:08-51-36,25.7,1,22390.73,18.955,st_actON,st_actON,st_cookNO,2904,56,19
2026-01-13:08-51-48,2026-01-13:08-51-46,2026-01-13:08-51-40,25.6,1,23800.58,17.697,st_actON,st_actON,st_cookNO,329,14,63
2026-01-13:08-51-51,2026-01-13:08-51-50,2026-01-13:08-51-44,25.6,1,23186.11,17.697,st_actON,st_actON,st_cookNO,531,15,13
2026-01-13:08-51-53,2026-01-13:08-51-50,2026-01-13:08-51-44,25.6,1,23186.11,17.697,st_actON,st_actON,st_cookNO,531,15,12
2026-01-13:08-51-56,2026-01-13:08-51-50,2026-01-13:08-51-44,25.6,1,22003.03,18.955,st_actON,st_actON,st_cookNO,531,15,1215
2026-01-13:08-51-58,2026-01-13:08-51-56,2026-01-13:08-51-48,25.6,1,22003.03,18.955,st_actON,st_actON,st_cookNO,2082,48,9
2026-01-13:08-52-00,2026-01-13:08-51-58,2026-01-13:08-51-52,25.6,1,20337.08,18.972,st_actON,st_actON,st_cookNO,306,86,11
2026-01-13:08-52-02,2026-01-13:08-51-58,2026-01-13:08-51-52,25.6,1,18958.41,17.697,st_actON,st_actON,st_cookNO,306,86,59
2026-01-13:08-52-04,2026-01-13:08-52-02,2026-01-13:08-51-56,25.6,1,18958.41,17.697,st_actON,st_actON,st_cookNO,152,17,16
2026-01-13:08-52-06,2026-01-13:08-52-02,2026-01-13:08-51-56,25.5,1,17359.89,17.697,st_actON,st_actON,st_cookNO,152,17,286
2026-01-13:08-52-08,2026-01-13:08-52-06,2026-01-13:08-52-00,25.5,1,17359.89,17.697,st_actON,st_actON,st_cookNO,484,15,11
2026-01-13:08-52-10,2026-01-13:08-52-06,2026-01-13:08-52-00,25.5,1,17359.89,17.697,st_actON,st_actON,st_cookNO,484,15,11
2026-01-13:08-52-12,2026-01-13:08-52-06,2026-01-13:08-52-00,25.5,1,17359.89,17.697,st_actON,st_actON,st_cookNO,484,28,8
2026-01-13:08-52-15,2026-01-13:08-52-15,2026-01-13:08-52-04,25.5,1,15889.11,18.972,st_actON,st_actON,st_cookNO,5103,28,620
2026-01-13:08-52-17,2026-01-13:08-52-15,2026-01-13:08-52-08,25.5,1,14535.44,17.697,st_actON,st_actON,st_cookNO,1280,18,8
2026-01-13:08-52-19,2026-01-13:08-52-18,2026-01-13:08-52-12,25.5,1,12252.19,999,st_actON,st_actON,st_cookNO,148,21,8
2026-01-13:08-52-21,2026-01-13:08-52-18,2026-01-13:08-52-12,25.5,1,12252.19,999,st_actON,st_actON,st_cookNO,148,21,9
2026-01-13:08-52-23,2026-01-13:08-52-22,2026-01-13:08-52-16,25.5,1,11923.25,17.697,st_actON,st_actON,st_cookNO,159,21,9
2026-01-13:08-52-25,2026-01-13:08-52-22,2026-01-13:08-52-16,25.5,1,11923.25,17.697,st_actON,st_actON,st_cookNO,159,21,10
2026-01-13:08-52-27,2026-01-13:08-52-22,2026-01-13:08-52-16,25.5,1,11923.25,17.697,st_actON,st_actON,st_cookNO,159,21,9
2026-01-13:08-52-29,2026-01-13:08-52-22,2026-01-13:08-52-16,25.5,1,11923.25,17.697,st_actON,st_actON,st_cookNO,159,21,10
2026-01-13:08-52-31,2026-01-13:08-52-22,2026-01-13:08-52-16,25.5,1,11923.25,17.697,st_actON,st_actON,st_cookNO,159,21,10
2026-01-13:08-52-33,2026-01-13:08-52-22,2026-01-13:08-52-16,25.5,1,11923.25,17.697,st_actON,st_actON,st_cookNO,159,21,10
2026-01-13:08-52-35,2026-01-13:08-52-35,2026-01-13:08-52-30,25.4,1,9834.647,18.955,st_actON,st_actON,st_cookNO,144,23,10
2026-01-13:08-52-37,2026-01-13:08-52-35,2026-01-13:08-52-30,25.4,1,9834.647,18.955,st_actON,st_actON,st_cookNO,144,23,9
2026-01-13:08-52-39,2026-01-13:08-52-39,2026-01-13:08-52-34,25.4,1,9214.859,17.697,st_actON,st_actON,st_cookNO,182,16,10
2026-01-13:08-52-41,2026-01-13:08-52-39,2026-01-13:08-52-34,25.4,1,9214.859,17.697,st_actON,st_actON,st_cookNO,182,16,9
2026-01-13:08-52-43,2026-01-13:08-52-42,2026-01-13:08-52-38,25.4,1,8548.906,17.697,st_actON,st_actON,st_cookNO,146,16,8
2026-01-13:08-52-45,2026-01-13:08-52-42,2026-01-13:08-52-38,25.4,1,8548.906,17.697,st_actON,st_actON,st_cookNO,146,16,9
