timeStamp,temp,flame,gas,distance,buzzerStatus,exhaustStatus,cookingStatus,reasoningTime,endToEndTime,backendTime
31-10-2025 12:32:54,25.1,1,0,142.239,st_actOFF,st_actOFF,st_cookNO,0,0,11
31-10-2025 12:32:56,25.1,1,0,142.239,st_actOFF,st_actOFF,st_cookNO,0,0,27
31-10-2025 12:32:58,25.1,1,0,142.239,st_actOFF,st_actOFF,st_cookNO,0,0,10
31-10-2025 12:33:00,25.1,1,0,142.239,st_actON,st_actOFF,st_cookNO,0,0,25
31-10-2025 12:33:02,25.1,1,0,142.239,st_actON,st_actOFF,st_cookNO,0,0,24
31-10-2025 12:33:04,25.1,1,0,142.239,st_actON,st_actOFF,st_cookNO,0,0,14
31-10-2025 12:33:06,25.1,1,0,142.239,st_actON,st_actOFF,st_cookNO,0,0,18
31-10-2025 12:33:08,25.1,1,0,142.239,st_actOFF,st_actON,st_cookNO,0,0,26
31-10-2025 12:33:10,25.1,1,0,142.239,st_actOFF,st_actON,st_cookNO,0,0,23
31-10-2025 12:33:12,25.1,1,0,142.239,st_actOFF,st_actON,st_cookNO,0,0,12
31-10-2025 12:33:14,25.1,1,0,142.239,st_actOFF,st_actON,st_cookNO,0,0,25
31-10-2025 12:33:16,25.1,1,0,142.239,st_actOFF,st_actOFF,st_cookYES,0,0,12
31-10-2025 12:33:18,25.1,1,0,142.239,st_actOFF,st_actOFF,st_cookYES,0,0,6
31-10-2025 12:33:20,25.1,1,0,142.239,st_actOFF,st_actOFF,st_cookYES,0,0,11
31-10-2025 12:33:22,25.1,1,0,142.239,st_actOFF,st_actOFF,st_cookYES,0,0,9
31-10-2025 12:35:51,25.1,1,0,142.239,st_actOFF,st_actOFF,st_cookNO,0,0,54
31-10-2025 12:35:53,25.1,1,0,142.239,st_actOFF,st_actOFF,st_cookNO,0,0,25
31-10-2025 12:35:55,25.1,1,0,142.239,st_actOFF,st_actOFF,st_cookNO,0,0,34
31-10-2025 12:35:57,25.1,1,0,142.239,st_actOFF,st_actOFF,st_cookNO,0,0,19
31-10-2025 12:35:59,25.1,1,0,142.239,st_actOFF,st_actOFF,st_cookNO,0,0,24
31-10-2025 12:36:01,25.1,1,0,142.239,st_actOFF,st_actOFF,st_cookNO,0,0,29
