timeStamp,temp,flame,gas,distance,buzzerStatus,exhaustStatus,cookingStatus,reasoningTime,endToEndTime,backendTime
30-10-2025 17:32:04,25.4,0,20.70522,71.026,st_actOFF,st_actOFF,st_cookYES,98,17,8
30-10-2025 17:32:06,25.4,0,20.70522,71.026,st_actOFF,st_actOFF,st_cookYES,98,17,8
30-10-2025 17:32:08,25.3,0,19.43832,70.499,st_actOFF,st_actOFF,st_cookYES,102,23,10
30-10-2025 17:32:10,25.3,0,19.43832,70.499,st_actOFF,st_actOFF,st_cookYES,102,23,7
30-10-2025 17:32:12,25.3,0,15.91311,70.482,st_actOFF,st_actOFF,st_cookYES,88,23,6
30-10-2025 17:32:14,25.3,0,15.91311,70.482,st_actOFF,st_actOFF,st_cookYES,88,23,11
30-10-2025 17:32:16,25.3,0,14.82802,51.969,st_actOFF,st_actOFF,st_cookYES,87,26,33
30-10-2025 17:32:18,25.3,1,14.82802,51.969,st_actOFF,st_actOFF,st_cookNO,87,26,30
30-10-2025 17:32:20,25.3,1,13.78698,70.55,st_actOFF,st_actOFF,st_cookNO,142,33,25
30-10-2025 17:32:22,25.3,1,13.78698,70.55,st_actOFF,st_actOFF,st_cookNO,142,33,30
30-10-2025 17:32:24,25.3,1,12.78943,70.108,st_actOFF,st_actOFF,st_cookNO,166,24,9
30-10-2025 17:32:26,25.2,1,12.78943,70.55,st_actOFF,st_actOFF,st_cookNO,166,24,58
30-10-2025 17:32:28,25.2,1,12.78943,70.55,st_actOFF,st_actOFF,st_cookNO,87,27,9
30-10-2025 17:32:30,25.2,1,11.83482,70.601,st_actOFF,st_actOFF,st_cookNO,87,27,81
30-10-2025 17:32:32,25.2,1,11.83482,70.601,st_actOFF,st_actOFF,st_cookNO,113,24,14
30-10-2025 17:32:34,25.2,1,11.83482,70.108,st_actOFF,st_actOFF,st_cookNO,83,24,27
30-10-2025 17:32:36,25.2,1,11.83482,70.108,st_actOFF,st_actOFF,st_cookNO,83,23,13
30-10-2025 17:32:38,25.2,1,10.92256,70.125,st_actOFF,st_actOFF,st_cookNO,130,23,10
30-10-2025 17:32:40,25.2,1,10.92256,70.125,st_actOFF,st_actOFF,st_cookNO,130,26,15
30-10-2025 17:32:42,25.2,1,10.92256,69.666,st_actOFF,st_actOFF,st_cookNO,105,29,28
30-10-2025 17:32:44,25.2,1,10.92256,69.666,st_actOFF,st_actOFF,st_cookNO,105,29,6
30-10-2025 17:32:46,25.1,1,10.0521,69.683,st_actOFF,st_actOFF,st_cookNO,129,25,28
30-10-2025 17:32:48,25.1,1,10.0521,69.683,st_actOFF,st_actOFF,st_cookNO,129,25,11
30-10-2025 17:32:50,25.1,1,10.0521,69.666,st_actOFF,st_actOFF,st_cookNO,124,26,29
30-10-2025 17:32:53,25.1,1,10.0521,69.666,st_actOFF,st_actOFF,st_cookNO,124,26,18
30-10-2025 17:32:55,25.1,1,10.0521,69.683,st_actOFF,st_actOFF,st_cookNO,131,22,14
30-10-2025 17:32:57,25.1,1,10.0521,69.683,st_actOFF,st_actOFF,st_cookNO,131,22,10
30-10-2025 17:32:59,25,1,8.434237,69.666,st_actOFF,st_actOFF,st_cookNO,149,22,31
30-10-2025 17:33:01,25,1,8.434237,69.666,st_actOFF,st_actOFF,st_cookNO,149,23,12
30-10-2025 17:33:03,25,1,8.434237,70.108,st_actOFF,st_actOFF,st_cookNO,108,26,6
30-10-2025 17:33:05,25,1,8.434237,70.108,st_actOFF,st_actOFF,st_cookNO,108,26,25
30-10-2025 17:33:07,25,1,7.685671,70.125,st_actOFF,st_actOFF,st_cookNO,142,26,12
30-10-2025 17:33:09,25,1,7.685671,70.125,st_actOFF,st_actOFF,st_cookNO,142,26,7
30-10-2025 17:33:11,25,1,7.685671,69.666,st_actOFF,st_actOFF,st_cookNO,147,30,13
30-10-2025 17:33:13,25,1,7.685671,69.666,st_actOFF,st_actOFF,st_cookNO,147,30,9
30-10-2025 17:33:15,25,1,7.685671,105.332,st_actOFF,st_actOFF,st_cookNO,139,24,11
30-10-2025 17:33:17,25,1,7.685671,105.332,st_actOFF,st_actOFF,st_cookNO,139,24,17
30-10-2025 17:33:19,25,1,6.306335,69.683,st_actOFF,st_actOFF,st_cookNO,150,23,12
30-10-2025 17:33:21,25,1,6.306335,69.683,st_actOFF,st_actOFF,st_cookNO,150,23,29
30-10-2025 17:33:23,25,1,6.306335,69.666,st_actOFF,st_actOFF,st_cookNO,105,21,16
30-10-2025 17:33:25,25,1,6.306335,69.666,st_actOFF,st_actOFF,st_cookNO,105,21,20
30-10-2025 17:33:27,25,1,6.306335,69.683,st_actOFF,st_actOFF,st_cookNO,120,28,27
30-10-2025 17:33:29,25,1,6.306335,69.683,st_actOFF,st_actOFF,st_cookNO,120,28,24
30-10-2025 17:33:31,25,1,6.306335,70.108,st_actOFF,st_actOFF,st_cookNO,156,303,17
30-10-2025 17:33:33,25,1,6.306335,70.108,st_actOFF,st_actOFF,st_cookNO,156,303,13
30-10-2025 17:33:35,25,1,5.674363,69.683,st_actOFF,st_actOFF,st_cookNO,109,26,25
30-10-2025 17:33:37,25,1,5.674363,69.683,st_actOFF,st_actOFF,st_cookNO,109,26,30
30-10-2025 17:33:39,24.9,1,5.674363,69.683,st_actOFF,st_actOFF,st_cookNO,140,325,28
30-10-2025 17:33:41,24.9,1,5.674363,69.683,st_actOFF,st_actOFF,st_cookNO,140,325,18
30-10-2025 17:33:43,24.9,1,5.674363,71.451,st_actOFF,st_actOFF,st_cookNO,119,20,18
30-10-2025 17:33:45,24.9,1,5.674363,71.451,st_actOFF,st_actOFF,st_cookNO,119,20,27
30-10-2025 17:33:48,24.9,1,5.674363,70.04,st_actOFF,st_actOFF,st_cookNO,119,20,318
30-10-2025 17:33:50,24.9,1,5.674363,70.04,st_actOFF,st_actOFF,st_cookNO,1432,25,12
30-10-2025 17:33:52,25,0,5.674363,71.196,st_actON,st_actON,st_cookNO,161,409,14
30-10-2025 17:33:54,25,0,5.674363,71.196,st_actON,st_actON,st_cookNO,161,409,24
30-10-2025 17:33:56,25,0,5.080039,71.621,st_actON,st_actON,st_cookNO,140,25,26
30-10-2025 17:33:58,25,0,5.080039,71.621,st_actON,st_actON,st_cookNO,140,25,24
30-10-2025 17:34:00,25,0,5.080039,71.621,st_actON,st_actON,st_cookNO,131,24,27
30-10-2025 17:34:02,25,0,5.080039,71.621,st_actON,st_actON,st_cookNO,131,24,11
30-10-2025 17:34:04,25,0,5.080039,6.613,st_actOFF,st_actOFF,st_cookNO,139,26,12
30-10-2025 17:34:06,25,0,5.080039,6.613,st_actOFF,st_actOFF,st_cookNO,139,26,34
30-10-2025 17:34:08,25,0,5.080039,4.386,st_actOFF,st_actOFF,st_cookNO,111,20,10
30-10-2025 17:34:10,25,0,5.080039,4.386,st_actOFF,st_actOFF,st_cookNO,111,20,28
30-10-2025 17:34:12,25,0,5.080039,8.857,st_actOFF,st_actOFF,st_cookNO,140,18,20
