timestamp_backend_cook,timestamp_reasoner_cook,timestamp_iot_cook,temp,flame,gas,distance,buzzerStatus,exhaustStatus,cookingStatus,reasoningTime,endToEndTime,backendTime
2025-12-11:10-10-35,-,-,24,1,88.99376,17.697,st_actOFF,st_actOFF,st_cookNO,0,0,717
2025-12-11:10-10-37,2025-12-11:10-10-35,2025-12-11:10-10-34,24.5,1,6729.758,13.379,st_actON,st_actON,st_cookNO,312,29,34
2025-12-11:10-10-40,2025-12-11:10-10-39,2025-12-11:10-10-38,24.5,1,5748.517,13.379,st_actON,st_actON,st_cookNO,181,23,16
2025-12-11:10-10-42,2025-12-11:10-10-39,2025-12-11:10-10-38,24.5,1,5748.517,13.379,st_actON,st_actON,st_cookNO,181,23,19
2025-12-11:10-10-44,2025-12-11:10-10-43,2025-12-11:10-10-42,24.5,1,4790.791,15.113,st_actON,st_actON,st_cookNO,161,17,14
2025-12-11:10-10-46,2025-12-11:10-10-43,2025-12-11:10-10-42,24.5,1,4790.791,15.113,st_actON,st_actON,st_cookNO,161,17,11
2025-12-11:10-10-48,2025-12-11:10-10-47,2025-12-11:10-10-46,24.5,1,3968.393,15.096,st_actON,st_actON,st_cookNO,157,17,14
2025-12-11:10-10-50,2025-12-11:10-10-47,2025-12-11:10-10-46,24.5,1,3968.393,15.096,st_actON,st_actON,st_cookNO,157,17,10
2025-12-11:10-10-52,2025-12-11:10-10-51,2025-12-11:10-10-50,24.5,1,3336.817,15.096,st_actON,st_actON,st_cookNO,151,17,12
2025-12-11:10-10-54,2025-12-11:10-10-51,2025-12-11:10-10-50,24.5,1,3336.817,15.096,st_actON,st_actON,st_cookNO,151,17,10
2025-12-11:10-10-56,2025-12-11:10-10-51,2025-12-11:10-10-50,24.5,1,2819.777,15.113,st_actON,st_actON,st_cookNO,151,17,114
2025-12-11:10-10-58,2025-12-11:10-10-56,2025-12-11:10-10-54,24.5,1,2819.777,15.113,st_actON,st_actON,st_cookNO,1333,17,13
2025-12-11:10-11-00,2025-12-11:10-11-00,2025-12-11:10-10-58,24.5,1,2395.722,15.113,st_actON,st_actON,st_cookNO,1315,17,9
2025-12-11:10-11-02,2025-12-11:10-11-00,2025-12-11:10-10-58,24.5,1,2395.722,15.113,st_actON,st_actON,st_cookNO,1315,18,8
2025-12-11:10-11-04,2025-12-11:10-11-03,2025-12-11:10-11-02,24.5,1,2072.82,18.343,st_actON,st_actON,st_cookNO,143,15,8
2025-12-11:10-11-06,2025-12-11:10-11-03,2025-12-11:10-11-02,24.5,1,2072.82,18.343,st_actON,st_actON,st_cookNO,143,15,8
2025-12-11:10-11-08,2025-12-11:10-11-07,2025-12-11:10-11-06,24.5,1,1806.826,20.536,st_actON,st_actON,st_cookNO,148,37,8
2025-12-11:10-11-10,2025-12-11:10-11-07,2025-12-11:10-11-06,24.5,1,1806.826,20.536,st_actON,st_actON,st_cookNO,148,37,10
2025-12-11:10-11-12,2025-12-11:10-11-11,2025-12-11:10-11-10,24.5,1,1630.057,20.536,st_actON,st_actON,st_cookNO,142,17,6
2025-12-11:10-11-14,2025-12-11:10-11-11,2025-12-11:10-11-10,24.5,1,1630.057,20.536,st_actON,st_actON,st_cookNO,142,17,9
2025-12-11:10-11-16,2025-12-11:10-11-15,2025-12-11:10-11-14,24.5,1,1446.855,30.328,st_actON,st_actON,st_cookNO,144,27,7
2025-12-11:10-11-18,2025-12-11:10-11-15,2025-12-11:10-11-14,24.5,1,1446.855,30.328,st_actON,st_actON,st_cookNO,144,27,8
2025-12-11:10-11-20,2025-12-11:10-11-19,2025-12-11:10-11-18,24.5,1,1297.093,38.046,st_actON,st_actON,st_cookNO,151,17,7
2025-12-11:10-11-22,2025-12-11:10-11-19,2025-12-11:10-11-18,24.5,1,1297.093,38.046,st_actON,st_actON,st_cookNO,151,17,7
2025-12-11:10-11-24,2025-12-11:10-11-23,2025-12-11:10-11-21,24.5,1,1192.403,38.046,st_actON,st_actON,st_cookNO,149,16,8
2025-12-11:10-11-26,2025-12-11:10-11-23,2025-12-11:10-11-21,24.5,1,1192.403,38.046,st_actON,st_actON,st_cookNO,149,16,11
2025-12-11:10-11-29,2025-12-11:10-11-27,2025-12-11:10-11-25,24.5,1,1093.936,18.343,st_actON,st_actON,st_cookNO,158,18,9
2025-12-11:10-11-31,2025-12-11:10-11-27,2025-12-11:10-11-25,24.5,1,1093.936,18.343,st_actON,st_actON,st_cookNO,158,18,8
2025-12-11:10-11-33,2025-12-11:10-11-31,2025-12-11:10-11-29,24.6,1,1016.438,18.326,st_actON,st_actON,st_cookNO,148,21,14
2025-12-11:10-11-35,2025-12-11:10-11-31,2025-12-11:10-11-29,24.6,1,1016.438,18.326,st_actON,st_actON,st_cookNO,148,21,9
2025-12-11:10-11-37,2025-12-11:10-11-35,2025-12-11:10-11-33,24.6,1,942.9215,38.046,st_actON,st_actON,st_cookNO,143,20,9
2025-12-11:10-11-39,2025-12-11:10-11-35,2025-12-11:10-11-33,24.6,1,942.9215,38.046,st_actON,st_actON,st_cookNO,143,20,11
2025-12-11:10-11-41,2025-12-11:10-11-39,2025-12-11:10-11-37,24.6,1,886.8759,38.063,st_actON,st_actON,st_cookNO,143,17,8
2025-12-11:10-11-43,2025-12-11:10-11-39,2025-12-11:10-11-37,24.6,1,886.8759,38.063,st_actON,st_actON,st_cookNO,143,17,5
2025-12-11:10-11-45,2025-12-11:10-11-43,2025-12-11:10-11-41,24.6,1,846.4084,20.536,st_actON,st_actON,st_cookNO,156,24,13
2025-12-11:10-11-47,2025-12-11:10-11-43,2025-12-11:10-11-41,24.6,1,846.4084,20.536,st_actON,st_actON,st_cookNO,156,24,11
2025-12-11:10-11-49,2025-12-11:10-11-47,2025-12-11:10-11-45,24.6,1,794.4843,20.536,st_actOFF,st_actOFF,st_cookNO,149,19,12
2025-12-11:10-11-51,2025-12-11:10-11-47,2025-12-11:10-11-45,24.6,1,794.4843,20.536,st_actOFF,st_actOFF,st_cookNO,149,19,16
2025-12-11:10-11-53,2025-12-11:10-11-51,2025-12-11:10-11-49,24.6,1,744.8194,38.063,st_actOFF,st_actOFF,st_cookNO,148,16,8
2025-12-11:10-11-55,2025-12-11:10-11-51,2025-12-11:10-11-49,24.6,1,744.8194,38.063,st_actOFF,st_actOFF,st_cookNO,148,16,8
2025-12-11:10-11-57,2025-12-11:10-11-55,2025-12-11:10-11-53,24.6,1,720.8134,20.536,st_actOFF,st_actOFF,st_cookNO,146,18,9
2025-12-11:10-11-59,2025-12-11:10-11-55,2025-12-11:10-11-53,24.6,1,720.8134,20.536,st_actOFF,st_actOFF,st_cookNO,146,18,8
2025-12-11:10-12-01,2025-12-11:10-11-59,2025-12-11:10-11-57,24.6,1,685.814,20.536,st_actOFF,st_actOFF,st_cookNO,148,18,10
2025-12-11:10-12-03,2025-12-11:10-11-59,2025-12-11:10-11-57,24.6,1,685.814,20.536,st_actOFF,st_actOFF,st_cookNO,148,18,5
2025-12-11:10-12-05,2025-12-11:10-12-03,2025-12-11:10-12-01,24.6,1,640.9907,38.063,st_actOFF,st_actOFF,st_cookNO,141,16,8
2025-12-11:10-12-07,2025-12-11:10-12-03,2025-12-11:10-12-01,24.6,1,640.9907,38.063,st_actOFF,st_actOFF,st_cookNO,141,16,9
2025-12-11:10-12-09,2025-12-11:10-12-07,2025-12-11:10-12-05,24.6,1,619.3509,38.063,st_actOFF,st_actOFF,st_cookNO,168,19,8
2025-12-11:10-12-11,2025-12-11:10-12-07,2025-12-11:10-12-05,24.6,1,619.3509,38.063,st_actOFF,st_actOFF,st_cookNO,168,19,6
2025-12-11:10-12-13,2025-12-11:10-12-11,2025-12-11:10-12-09,24.6,1,598.2154,38.063,st_actOFF,st_actOFF,st_cookNO,141,28,11
2025-12-11:10-12-15,2025-12-11:10-12-11,2025-12-11:10-12-09,24.6,1,598.2154,38.063,st_actOFF,st_actOFF,st_cookNO,141,28,10
2025-12-11:10-12-17,2025-12-11:10-12-15,2025-12-11:10-12-13,24.6,1,577.5767,37.604,st_actOFF,st_actOFF,st_cookNO,145,33,6
2025-12-11:10-12-19,2025-12-11:10-12-15,2025-12-11:10-12-13,24.6,1,577.5767,37.604,st_actOFF,st_actOFF,st_cookNO,145,33,10
2025-12-11:10-12-21,2025-12-11:10-12-19,2025-12-11:10-12-17,24.6,1,547.5333,18.326,st_actOFF,st_actOFF,st_cookNO,143,28,10
2025-12-11:10-12-23,2025-12-11:10-12-19,2025-12-11:10-12-17,24.6,1,547.5333,18.326,st_actOFF,st_actOFF,st_cookNO,143,28,6
2025-12-11:10-12-25,2025-12-11:10-12-23,2025-12-11:10-12-22,24.6,1,518.5655,37.604,st_actOFF,st_actOFF,st_cookNO,147,22,7
2025-12-11:10-12-27,2025-12-11:10-12-23,2025-12-11:10-12-22,24.6,1,481.573,37.604,st_actOFF,st_actOFF,st_cookNO,147,22,71
2025-12-11:10-12-29,2025-12-11:10-12-27,2025-12-11:10-12-26,24.6,1,481.573,37.604,st_actOFF,st_actOFF,st_cookNO,136,31,6
2025-12-11:10-12-32,2025-12-11:10-12-27,2025-12-11:10-12-26,24.6,1,472.6101,31.127,st_actOFF,st_actOFF,st_cookNO,136,31,907
2025-12-11:10-12-34,2025-12-11:10-12-32,2025-12-11:10-12-30,24.6,1,472.6101,31.127,st_actOFF,st_actOFF,st_cookNO,1131,43,7
2025-12-11:10-12-36,2025-12-11:10-12-36,2025-12-11:10-12-34,24.6,1,455.0211,38.063,st_actOFF,st_actOFF,st_cookNO,1043,43,11
2025-12-11:10-12-38,2025-12-11:10-12-36,2025-12-11:10-12-34,24.6,1,455.0211,38.063,st_actOFF,st_actOFF,st_cookNO,1043,16,6
2025-12-11:10-12-40,2025-12-11:10-12-39,2025-12-11:10-12-38,24.6,1,446.3929,20.536,st_actOFF,st_actOFF,st_cookNO,145,16,9
2025-12-11:10-12-42,2025-12-11:10-12-39,2025-12-11:10-12-38,24.6,1,446.3929,20.536,st_actOFF,st_actOFF,st_cookNO,145,16,7
2025-12-11:10-12-44,2025-12-11:10-12-43,2025-12-11:10-12-42,24.6,1,421.1638,38.063,st_actOFF,st_actOFF,st_cookNO,149,15,6
2025-12-11:10-12-46,2025-12-11:10-12-43,2025-12-11:10-12-42,24.6,1,421.1638,38.063,st_actOFF,st_actOFF,st_cookNO,149,15,8
2025-12-11:10-12-48,2025-12-11:10-12-47,2025-12-11:10-12-46,24.6,1,404.8824,18.326,st_actOFF,st_actOFF,st_cookNO,145,25,5
2025-12-11:10-12-50,2025-12-11:10-12-47,2025-12-11:10-12-46,24.6,1,404.8824,18.326,st_actOFF,st_actOFF,st_cookNO,145,25,6
2025-12-11:10-12-52,2025-12-11:10-12-51,2025-12-11:10-12-50,24.6,1,396.9006,20.536,st_actOFF,st_actOFF,st_cookNO,155,14,11
2025-12-11:10-12-54,2025-12-11:10-12-51,2025-12-11:10-12-50,24.6,1,396.9006,20.536,st_actOFF,st_actOFF,st_cookNO,155,14,9
2025-12-11:10-12-56,2025-12-11:10-12-55,2025-12-11:10-12-54,24.6,1,389.0236,38.063,st_actOFF,st_actOFF,st_cookNO,151,30,6
2025-12-11:10-12-58,2025-12-11:10-12-55,2025-12-11:10-12-54,24.6,1,389.0236,38.063,st_actOFF,st_actOFF,st_cookNO,151,30,8
2025-12-11:10-13-00,2025-12-11:10-12-59,2025-12-11:10-12-58,24.6,1,381.2506,38.063,st_actOFF,st_actOFF,st_cookNO,165,18,9
2025-12-11:10-13-02,2025-12-11:10-12-59,2025-12-11:10-12-58,24.6,1,381.2506,38.063,st_actOFF,st_actOFF,st_cookNO,165,18,7
2025-12-11:10-13-04,2025-12-11:10-13-03,2025-12-11:10-13-02,24.6,1,373.5809,38.505,st_actOFF,st_actOFF,st_cookNO,150,23,8
2025-12-11:10-13-06,2025-12-11:10-13-03,2025-12-11:10-13-02,24.6,1,373.5809,38.505,st_actOFF,st_actOFF,st_cookNO,150,23,9
2025-12-11:10-13-08,2025-12-11:10-13-07,2025-12-11:10-13-06,24.6,1,366.0135,23.001,st_actOFF,st_actOFF,st_cookNO,146,17,8
2025-12-11:10-13-10,2025-12-11:10-13-07,2025-12-11:10-13-06,24.6,1,366.0135,23.001,st_actOFF,st_actOFF,st_cookNO,146,17,6
2025-12-11:10-13-12,2025-12-11:10-13-11,2025-12-11:10-13-10,24.6,1,358.5478,23.001,st_actOFF,st_actOFF,st_cookNO,151,20,7
2025-12-11:10-13-14,2025-12-11:10-13-11,2025-12-11:10-13-10,24.6,1,358.5478,23.001,st_actOFF,st_actOFF,st_cookNO,151,20,8
2025-12-11:10-13-16,2025-12-11:10-13-15,2025-12-11:10-13-14,24.6,1,351.1827,21.811,st_actOFF,st_actOFF,st_cookNO,142,20,6
2025-12-11:10-13-18,2025-12-11:10-13-15,2025-12-11:10-13-14,24.6,1,351.1827,21.811,st_actOFF,st_actOFF,st_cookNO,142,20,5
2025-12-11:10-13-20,2025-12-11:10-13-19,2025-12-11:10-13-18,24.6,1,343.9178,22.729,st_actOFF,st_actOFF,st_cookNO,143,17,5
2025-12-11:10-13-22,2025-12-11:10-13-19,2025-12-11:10-13-18,24.6,1,343.9178,22.729,st_actOFF,st_actOFF,st_cookNO,143,17,8
2025-12-11:10-13-24,2025-12-11:10-13-23,2025-12-11:10-13-22,24.7,1,322.7152,4.692,st_actOFF,st_actOFF,st_cookNO,149,29,8
2025-12-11:10-13-26,2025-12-11:10-13-23,2025-12-11:10-13-22,24.7,1,322.7152,4.692,st_actOFF,st_actOFF,st_cookNO,149,29,10
2025-12-11:10-13-28,2025-12-11:10-13-27,2025-12-11:10-13-25,24.7,1,315.8426,4.692,st_actOFF,st_actOFF,st_cookNO,146,26,6
2025-12-11:10-13-30,2025-12-11:10-13-27,2025-12-11:10-13-25,24.7,1,315.8426,4.692,st_actOFF,st_actOFF,st_cookNO,146,26,5
2025-12-11:10-13-32,2025-12-11:10-13-31,2025-12-11:10-13-29,24.7,0,315.8426,4.692,st_actOFF,st_actOFF,st_cookYES,150,23,7
2025-12-11:10-13-34,2025-12-11:10-13-31,2025-12-11:10-13-29,24.7,0,315.8426,4.692,st_actOFF,st_actOFF,st_cookYES,150,23,8
2025-12-11:10-13-36,2025-12-11:10-13-35,2025-12-11:10-13-33,24.7,0,309.0661,4.692,st_actOFF,st_actOFF,st_cookYES,144,32,6
2025-12-11:10-13-38,2025-12-11:10-13-35,2025-12-11:10-13-33,24.7,0,309.0661,4.692,st_actOFF,st_actOFF,st_cookYES,144,32,8
2025-12-11:10-13-40,2025-12-11:10-13-39,2025-12-11:10-13-37,24.7,0,302.3849,4.675,st_actOFF,st_actOFF,st_cookYES,150,25,8
2025-12-11:10-13-43,2025-12-11:10-13-39,2025-12-11:10-13-37,24.7,0,302.3849,4.675,st_actOFF,st_actOFF,st_cookYES,150,25,13
2025-12-11:10-13-45,2025-12-11:10-13-43,2025-12-11:10-13-41,24.7,0,302.3849,4.675,st_actOFF,st_actOFF,st_cookYES,150,23,8
2025-12-11:10-13-47,2025-12-11:10-13-43,2025-12-11:10-13-41,24.7,0,302.3849,4.675,st_actOFF,st_actOFF,st_cookYES,150,23,7
2025-12-11:10-13-49,2025-12-11:10-13-47,2025-12-11:10-13-45,24.7,0,295.7985,4.675,st_actOFF,st_actOFF,st_cookYES,144,22,5
2025-12-11:10-13-51,2025-12-11:10-13-47,2025-12-11:10-13-45,24.7,0,295.7985,4.675,st_actOFF,st_actOFF,st_cookYES,144,22,7
2025-12-11:10-13-53,2025-12-11:10-13-51,2025-12-11:10-13-49,24.7,0,289.3058,4.692,st_actOFF,st_actOFF,st_cookYES,143,17,5
2025-12-11:10-13-55,2025-12-11:10-13-51,2025-12-11:10-13-49,24.7,0,289.3058,4.692,st_actOFF,st_actOFF,st_cookYES,143,17,10
2025-12-11:10-13-57,2025-12-11:10-13-55,2025-12-11:10-13-53,24.7,0,282.9064,4.692,st_actOFF,st_actOFF,st_cookYES,141,17,5
2025-12-11:10-13-59,2025-12-11:10-13-55,2025-12-11:10-13-53,24.7,0,282.9064,4.692,st_actOFF,st_actOFF,st_cookYES,141,17,7
2025-12-11:10-14-01,2025-12-11:10-13-59,2025-12-11:10-13-57,24.6,0,276.5993,4.692,st_actOFF,st_actOFF,st_cookYES,141,31,6
2025-12-11:10-14-03,2025-12-11:10-13-59,2025-12-11:10-13-57,24.6,0,276.5993,4.692,st_actOFF,st_actOFF,st_cookYES,141,31,8
2025-12-11:10-14-05,2025-12-11:10-14-03,2025-12-11:10-14-01,24.7,0,270.3839,4.675,st_actOFF,st_actOFF,st_cookYES,145,21,7
2025-12-11:10-14-07,2025-12-11:10-14-03,2025-12-11:10-14-01,24.7,0,270.3839,4.675,st_actOFF,st_actOFF,st_cookYES,145,21,8
2025-12-11:10-14-09,2025-12-11:10-14-07,2025-12-11:10-14-05,24.6,0,264.2595,4.675,st_actOFF,st_actOFF,st_cookYES,179,15,8
2025-12-11:10-14-11,2025-12-11:10-14-07,2025-12-11:10-14-05,24.6,0,264.2595,4.675,st_actOFF,st_actOFF,st_cookYES,179,15,5
2025-12-11:10-14-13,2025-12-11:10-14-11,2025-12-11:10-14-09,24.7,0,264.2595,4.692,st_actOFF,st_actOFF,st_cookYES,143,17,28
2025-12-11:10-14-15,2025-12-11:10-14-11,2025-12-11:10-14-09,24.7,0,264.2595,4.692,st_actOFF,st_actOFF,st_cookYES,143,17,23
2025-12-11:10-14-17,2025-12-11:10-14-15,2025-12-11:10-14-13,24.6,0,252.2804,4.675,st_actOFF,st_actOFF,st_cookYES,154,23,7
2025-12-11:10-14-19,2025-12-11:10-14-15,2025-12-11:10-14-13,24.6,0,252.2804,4.675,st_actOFF,st_actOFF,st_cookYES,154,23,7
2025-12-11:10-14-21,2025-12-11:10-14-19,2025-12-11:10-14-17,24.7,0,252.2804,4.692,st_actOFF,st_actOFF,st_cookYES,141,19,6
2025-12-11:10-14-23,2025-12-11:10-14-19,2025-12-11:10-14-17,24.7,0,252.2804,4.692,st_actOFF,st_actOFF,st_cookYES,141,19,9
2025-12-11:10-14-25,2025-12-11:10-14-23,2025-12-11:10-14-21,24.7,0,252.2804,4.692,st_actOFF,st_actOFF,st_cookYES,146,16,6
2025-12-11:10-14-27,2025-12-11:10-14-23,2025-12-11:10-14-21,24.7,0,252.2804,4.692,st_actOFF,st_actOFF,st_cookYES,146,16,5
2025-12-11:10-14-29,2025-12-11:10-14-27,2025-12-11:10-14-26,24.6,0,240.6565,4.675,st_actOFF,st_actOFF,st_cookYES,141,31,5
2025-12-11:10-14-31,2025-12-11:10-14-27,2025-12-11:10-14-26,24.6,0,240.6565,4.675,st_actOFF,st_actOFF,st_cookYES,141,31,5
2025-12-11:10-14-33,2025-12-11:10-14-31,2025-12-11:10-14-30,24.6,0,240.6565,4.692,st_actOFF,st_actOFF,st_cookYES,143,27,6
2025-12-11:10-14-35,2025-12-11:10-14-31,2025-12-11:10-14-30,24.6,0,240.6565,4.692,st_actOFF,st_actOFF,st_cookYES,143,27,130
2025-12-11:10-14-37,2025-12-11:10-14-35,2025-12-11:10-14-34,24.6,1,234.9759,4.675,st_actOFF,st_actOFF,st_cookNO,161,22,6
2025-12-11:10-14-39,2025-12-11:10-14-39,2025-12-11:10-14-38,24.6,1,234.9759,4.692,st_actOFF,st_actOFF,st_cookNO,142,15,6
2025-12-11:10-14-42,2025-12-11:10-14-39,2025-12-11:10-14-38,24.6,1,234.9759,4.692,st_actOFF,st_actOFF,st_cookNO,142,15,6
2025-12-11:10-14-44,2025-12-11:10-14-43,2025-12-11:10-14-42,24.7,1,234.9759,4.692,st_actOFF,st_actOFF,st_cookNO,142,24,4
2025-12-11:10-14-46,2025-12-11:10-14-43,2025-12-11:10-14-42,24.7,1,234.9759,4.692,st_actOFF,st_actOFF,st_cookNO,142,24,5
2025-12-11:10-14-48,2025-12-11:10-14-47,2025-12-11:10-14-46,24.7,1,229.3819,4.692,st_actOFF,st_actOFF,st_cookNO,138,16,5
2025-12-11:10-14-50,2025-12-11:10-14-47,2025-12-11:10-14-46,24.7,1,229.3819,4.692,st_actOFF,st_actOFF,st_cookNO,138,16,7
2025-12-11:10-14-52,2025-12-11:10-14-51,2025-12-11:10-14-50,24.7,1,229.3819,4.675,st_actOFF,st_actOFF,st_cookNO,144,15,6
2025-12-11:10-14-54,2025-12-11:10-14-51,2025-12-11:10-14-50,24.7,1,229.3819,4.675,st_actOFF,st_actOFF,st_cookNO,144,15,7
2025-12-11:10-14-56,2025-12-11:10-14-55,2025-12-11:10-14-54,24.7,1,218.4511,4.692,st_actOFF,st_actOFF,st_cookNO,140,20,7
2025-12-11:10-14-58,2025-12-11:10-14-55,2025-12-11:10-14-54,24.7,1,218.4511,4.692,st_actOFF,st_actOFF,st_cookNO,140,20,5
2025-12-11:10-15-00,2025-12-11:10-14-59,2025-12-11:10-14-58,24.7,1,218.4511,4.692,st_actOFF,st_actOFF,st_cookNO,141,20,5
2025-12-11:10-15-02,2025-12-11:10-14-59,2025-12-11:10-14-58,24.7,1,218.4511,4.692,st_actOFF,st_actOFF,st_cookNO,141,20,5
2025-12-11:10-15-04,2025-12-11:10-15-03,2025-12-11:10-15-02,24.6,1,218.4511,4.692,st_actOFF,st_actOFF,st_cookNO,154,16,5
2025-12-11:10-15-06,2025-12-11:10-15-03,2025-12-11:10-15-02,24.6,1,218.4511,4.692,st_actOFF,st_actOFF,st_cookNO,154,16,5
2025-12-11:10-15-08,2025-12-11:10-15-07,2025-12-11:10-15-06,24.7,1,213.1128,4.692,st_actOFF,st_actOFF,st_cookNO,145,17,6
2025-12-11:10-15-10,2025-12-11:10-15-07,2025-12-11:10-15-06,24.7,1,213.1128,4.692,st_actOFF,st_actOFF,st_cookNO,145,17,4
2025-12-11:10-15-12,2025-12-11:10-15-11,2025-12-11:10-15-10,24.6,1,213.1128,4.692,st_actOFF,st_actOFF,st_cookNO,143,16,9
2025-12-11:10-15-14,2025-12-11:10-15-11,2025-12-11:10-15-10,24.6,1,213.1128,4.692,st_actOFF,st_actOFF,st_cookNO,143,16,7
