timestamp_backend_cook,timestamp_reasoner_cook,timestamp_iot_cook,temp,flame,gas,distance,buzzerStatus,exhaustStatus,cookingStatus,reasoningTime,endToEndTime,backendTime
2025-11-20:18-24-41,2025-11-20:18-24-39,2025-11-20:18-24-25,24.1,1,0,184.892,st_actOFF,st_actOFF,st_cookNO,143,29,25
2025-11-20:18-24-43,2025-11-20:18-24-43,2025-11-20:18-24-29,24.1,1,506.8455,148.376,st_actOFF,st_actOFF,st_cookNO,138,28,24
2025-11-20:18-24-45,2025-11-20:18-24-43,2025-11-20:18-24-29,24.1,1,506.8455,148.376,st_actOFF,st_actOFF,st_cookNO,138,28,25
2025-11-20:18-24-47,2025-11-20:18-24-47,2025-11-20:18-24-33,24.1,1,2464.192,184.79,st_actON,st_actON,st_cookNO,158,24,26
2025-11-20:18-24-49,2025-11-20:18-24-47,2025-11-20:18-24-33,24.1,1,2464.192,184.79,st_actON,st_actON,st_cookNO,158,24,15
2025-11-20:18-24-51,2025-11-20:18-24-51,2025-11-20:18-24-37,24.1,1,3475.414,184.79,st_actON,st_actON,st_cookNO,75,16,12
2025-11-20:18-24-53,2025-11-20:18-24-51,2025-11-20:18-24-37,24.1,1,3475.414,184.79,st_actON,st_actON,st_cookNO,75,16,20
2025-11-20:18-24-55,2025-11-20:18-24-51,2025-11-20:18-24-37,24.1,1,3475.414,184.79,st_actON,st_actON,st_cookNO,75,16,28
2025-11-20:18-24-57,2025-11-20:18-24-51,2025-11-20:18-24-37,24.1,1,3475.414,184.79,st_actON,st_actON,st_cookNO,75,16,23
2025-11-20:18-25-00,2025-11-20:18-24-51,2025-11-20:18-24-37,24.1,1,3475.414,184.79,st_actON,st_actON,st_cookNO,75,16,34
2025-11-20:18-25-02,2025-11-20:18-24-51,2025-11-20:18-24-37,24.1,1,3475.414,184.79,st_actON,st_actON,st_cookNO,75,16,8
2025-11-20:18-25-04,2025-11-20:18-24-51,2025-11-20:18-24-37,24.1,1,3475.414,184.79,st_actON,st_actON,st_cookNO,75,16,12
2025-11-20:18-25-06,2025-11-20:18-24-51,2025-11-20:18-24-37,24.1,1,3475.414,184.79,st_actON,st_actON,st_cookNO,75,16,24
2025-11-20:18-25-08,2025-11-20:18-24-51,2025-11-20:18-24-37,24.1,1,3475.414,184.79,st_actON,st_actON,st_cookNO,75,16,30
2025-11-20:18-25-10,2025-11-20:18-24-51,2025-11-20:18-24-37,24.1,1,3475.414,184.79,st_actON,st_actON,st_cookNO,75,16,30
2025-11-20:18-25-12,2025-11-20:18-24-51,2025-11-20:18-24-37,24.1,1,3475.414,184.79,st_actON,st_actON,st_cookNO,75,16,23
2025-11-20:18-25-14,2025-11-20:18-25-13,2025-11-20:18-24-59,24.2,1,1349.935,184.688,st_actON,st_actON,st_cookNO,116,26,28
2025-11-20:18-25-16,2025-11-20:18-25-13,2025-11-20:18-24-59,24.2,1,1349.935,184.688,st_actON,st_actON,st_cookNO,116,26,21
2025-11-20:18-25-18,2025-11-20:18-25-17,2025-11-20:18-25-02,24.2,1,1965.2,185.113,st_actON,st_actON,st_cookNO,146,32,16
2025-11-20:18-25-20,2025-11-20:18-25-17,2025-11-20:18-25-02,24.2,1,1965.2,185.113,st_actON,st_actON,st_cookNO,146,32,29
2025-11-20:18-25-22,2025-11-20:18-25-21,2025-11-20:18-25-06,24.2,1,2332.308,8.551,st_actON,st_actON,st_cookNO,134,25,15
2025-11-20:18-25-24,2025-11-20:18-25-21,2025-11-20:18-25-06,24.2,1,2332.308,8.551,st_actON,st_actON,st_cookNO,134,25,24
2025-11-20:18-25-26,2025-11-20:18-25-25,2025-11-20:18-25-10,24.2,1,2163.958,185.589,st_actON,st_actON,st_cookNO,168,20,27
2025-11-20:18-25-28,2025-11-20:18-25-25,2025-11-20:18-25-10,24.2,1,2163.958,185.589,st_actON,st_actON,st_cookNO,168,20,13
2025-11-20:18-25-30,2025-11-20:18-25-29,2025-11-20:18-25-14,24.2,1,1851.984,184.79,st_actON,st_actON,st_cookNO,140,67,63
2025-11-20:18-25-32,2025-11-20:18-25-29,2025-11-20:18-25-14,24.2,1,1851.984,184.79,st_actON,st_actON,st_cookNO,140,67,12
2025-11-20:18-25-34,2025-11-20:18-25-33,2025-11-20:18-25-18,24.3,1,1673.026,185.096,st_actON,st_actON,st_cookNO,123,30,24
2025-11-20:18-25-36,2025-11-20:18-25-33,2025-11-20:18-25-18,24.3,1,1673.026,185.096,st_actON,st_actON,st_cookNO,123,30,24
2025-11-20:18-25-38,2025-11-20:18-25-37,2025-11-20:18-25-22,24.3,1,1442.138,184.79,st_actON,st_actON,st_cookNO,118,27,20
2025-11-20:18-25-40,2025-11-20:18-25-37,2025-11-20:18-25-22,24.3,1,1442.138,184.79,st_actON,st_actON,st_cookNO,118,27,29
2025-11-20:18-25-42,2025-11-20:18-25-41,2025-11-20:18-25-26,24.3,1,1233.065,184.79,st_actON,st_actON,st_cookNO,146,22,23
2025-11-20:18-25-44,2025-11-20:18-25-41,2025-11-20:18-25-26,24.3,1,1233.065,184.79,st_actON,st_actON,st_cookNO,146,22,24
2025-11-20:18-25-46,2025-11-20:18-25-45,2025-11-20:18-25-30,24.3,1,1070.323,185.266,st_actON,st_actON,st_cookNO,175,20,27
2025-11-20:18-25-48,2025-11-20:18-25-45,2025-11-20:18-25-30,24.3,1,1070.323,185.266,st_actON,st_actON,st_cookNO,175,20,24
2025-11-20:18-25-50,2025-11-20:18-25-49,2025-11-20:18-25-34,24.3,1,922.0175,184.773,st_actON,st_actON,st_cookNO,143,21,24
2025-11-20:18-25-52,2025-11-20:18-25-49,2025-11-20:18-25-34,24.3,1,922.0175,184.773,st_actON,st_actON,st_cookNO,143,21,20
2025-11-20:18-25-54,2025-11-20:18-25-53,2025-11-20:18-25-38,24.3,1,808.9575,184.807,st_actON,st_actON,st_cookNO,120,389,18
2025-11-20:18-25-56,2025-11-20:18-25-53,2025-11-20:18-25-38,24.3,1,808.9575,184.807,st_actON,st_actON,st_cookNO,120,389,23
2025-11-20:18-25-58,2025-11-20:18-25-53,2025-11-20:18-25-38,24.3,1,808.9575,184.807,st_actON,st_actON,st_cookNO,120,389,11
2025-11-20:18-26-01,2025-11-20:18-25-53,2025-11-20:18-25-38,24.3,1,808.9575,184.807,st_actON,st_actON,st_cookNO,120,389,23
2025-11-20:18-26-03,2025-11-20:18-25-53,2025-11-20:18-25-38,24.3,1,808.9575,184.807,st_actON,st_actON,st_cookNO,120,389,26
2025-11-20:18-26-05,2025-11-20:18-25-53,2025-11-20:18-25-38,24.3,1,808.9575,184.807,st_actON,st_actON,st_cookNO,120,389,24
2025-11-20:18-26-07,2025-11-20:18-25-53,2025-11-20:18-25-38,24.3,1,808.9575,184.807,st_actON,st_actON,st_cookNO,120,389,35
2025-11-20:18-26-09,2025-11-20:18-25-53,2025-11-20:18-25-38,24.3,1,808.9575,184.807,st_actON,st_actON,st_cookNO,120,389,12
2025-11-20:18-26-11,2025-11-20:18-25-53,2025-11-20:18-25-38,24.3,1,808.9575,184.807,st_actON,st_actON,st_cookNO,120,389,24
2025-11-20:18-26-13,2025-11-20:18-25-53,2025-11-20:18-25-38,24.3,1,808.9575,184.807,st_actON,st_actON,st_cookNO,120,389,24
2025-11-20:18-26-15,2025-11-20:18-25-53,2025-11-20:18-25-38,24.3,1,808.9575,184.807,st_actON,st_actON,st_cookNO,120,389,15
