timestamp_backend_cook,timestamp_reasoner_cook,timestamp_iot_cook,temp,flame,gas,distance,buzzerStatus,exhaustStatus,cookingStatus,reasoningTime,endToEndTime,backendTime
2025-11-23:20-17-38,-,-,20.5,1,0,32.98,st_actOFF,st_actOFF,st_cookNO,0,0,55
2025-11-23:20-17-40,2025-11-23:20-17-38,2025-11-23:20-17-21,20.5,1,0,31.161,st_actOFF,st_actOFF,st_cookNO,119,39,16
2025-11-23:20-17-42,2025-11-23:20-17-38,2025-11-23:20-17-21,20.5,1,0,31.161,st_actOFF,st_actOFF,st_cookNO,119,39,12
2025-11-23:20-17-44,2025-11-23:20-17-42,2025-11-23:20-17-25,20.5,1,0,29.886,st_actOFF,st_actOFF,st_cookNO,115,35,16
2025-11-23:20-17-46,2025-11-23:20-17-42,2025-11-23:20-17-25,20.5,1,0,29.886,st_actOFF,st_actOFF,st_cookNO,115,35,28
2025-11-23:20-17-48,2025-11-23:20-17-46,2025-11-23:20-17-29,20.5,1,0,37.196,st_actOFF,st_actOFF,st_cookNO,166,34,193
2025-11-23:20-17-50,2025-11-23:20-17-46,2025-11-23:20-17-29,20.5,1,0,37.196,st_actOFF,st_actOFF,st_cookNO,166,34,118
2025-11-23:20-17-52,2025-11-23:20-17-50,2025-11-23:20-17-34,20.5,1,0,31.161,st_actOFF,st_actOFF,st_cookNO,177,29,24
2025-11-23:20-17-54,2025-11-23:20-17-54,2025-11-23:20-17-38,20.5,1,0,31.161,st_actOFF,st_actOFF,st_cookNO,167,29,36
2025-11-23:20-17-56,2025-11-23:20-17-54,2025-11-23:20-17-38,20.5,1,0,31.161,st_actOFF,st_actOFF,st_cookNO,167,20,24
2025-11-23:20-17-58,2025-11-23:20-17-58,2025-11-23:20-17-42,20.5,1,0,31.178,st_actOFF,st_actOFF,st_cookNO,191,20,23
2025-11-23:20-18-00,2025-11-23:20-17-58,2025-11-23:20-17-42,20.5,1,0,31.178,st_actOFF,st_actOFF,st_cookNO,191,20,23
2025-11-23:20-18-02,2025-11-23:20-18-02,2025-11-23:20-17-46,20.5,1,0,31.178,st_actOFF,st_actOFF,st_cookNO,209,19,34
2025-11-23:20-18-04,2025-11-23:20-18-02,2025-11-23:20-17-46,20.5,1,0,31.178,st_actOFF,st_actOFF,st_cookNO,209,19,26
2025-11-23:20-18-06,2025-11-23:20-18-06,2025-11-23:20-17-50,20.5,1,0,29.886,st_actOFF,st_actOFF,st_cookNO,202,23,17
2025-11-23:20-18-08,2025-11-23:20-18-06,2025-11-23:20-17-50,20.5,1,0,29.886,st_actOFF,st_actOFF,st_cookNO,202,23,29
2025-11-23:20-18-10,2025-11-23:20-18-10,2025-11-23:20-17-54,20.5,1,0,31.178,st_actOFF,st_actOFF,st_cookNO,140,16,24
2025-11-23:20-18-12,2025-11-23:20-18-10,2025-11-23:20-17-54,20.5,1,0,31.178,st_actOFF,st_actOFF,st_cookNO,140,16,19
2025-11-23:20-18-14,2025-11-23:20-18-14,2025-11-23:20-17-58,20.5,1,0,29.869,st_actOFF,st_actOFF,st_cookNO,235,17,21
2025-11-23:20-18-16,2025-11-23:20-18-14,2025-11-23:20-17-58,20.5,1,0,29.869,st_actOFF,st_actOFF,st_cookNO,235,17,26
2025-11-23:20-18-18,2025-11-23:20-18-18,2025-11-23:20-18-02,20.5,1,0,30.396,st_actOFF,st_actOFF,st_cookNO,193,21,22
2025-11-23:20-18-20,2025-11-23:20-18-18,2025-11-23:20-18-02,20.5,1,0,30.396,st_actOFF,st_actOFF,st_cookNO,193,21,17
2025-11-23:20-18-23,2025-11-23:20-18-22,2025-11-23:20-18-06,20.6,1,0,37.196,st_actOFF,st_actOFF,st_cookNO,247,18,21
2025-11-23:20-18-25,2025-11-23:20-18-22,2025-11-23:20-18-06,20.6,1,0,37.196,st_actOFF,st_actOFF,st_cookNO,247,18,21
2025-11-23:20-18-27,2025-11-23:20-18-26,2025-11-23:20-18-10,22.7,1,0,29.886,st_actOFF,st_actOFF,st_cookNO,230,37,22
2025-11-23:20-18-29,2025-11-23:20-18-26,2025-11-23:20-18-10,22.7,1,0,29.886,st_actOFF,st_actOFF,st_cookNO,230,37,19
2025-11-23:20-18-31,2025-11-23:20-18-30,2025-11-23:20-18-14,23.1,1,0,31.688,st_actOFF,st_actOFF,st_cookNO,256,106,24
2025-11-23:20-18-33,2025-11-23:20-18-30,2025-11-23:20-18-14,23.1,1,0,31.688,st_actOFF,st_actOFF,st_cookNO,256,106,41
2025-11-23:20-18-35,2025-11-23:20-18-34,2025-11-23:20-18-18,23.1,1,0,37.655,st_actOFF,st_actOFF,st_cookNO,200,79,26
2025-11-23:20-18-37,2025-11-23:20-18-34,2025-11-23:20-18-18,23.1,1,0,37.655,st_actOFF,st_actOFF,st_cookNO,200,79,29
2025-11-23:20-18-39,2025-11-23:20-18-38,2025-11-23:20-18-22,23,1,0,4.386,st_actOFF,st_actOFF,st_cookNO,144,36,24
2025-11-23:20-18-41,2025-11-23:20-18-38,2025-11-23:20-18-22,23,1,0,4.386,st_actOFF,st_actOFF,st_cookNO,144,36,32
2025-11-23:20-18-43,2025-11-23:20-18-42,2025-11-23:20-18-26,22.9,1,0,4.692,st_actOFF,st_actOFF,st_cookNO,185,111,26
2025-11-23:20-18-45,2025-11-23:20-18-42,2025-11-23:20-18-26,22.9,1,0,4.692,st_actOFF,st_actOFF,st_cookNO,185,111,33
2025-11-23:20-18-47,2025-11-23:20-18-42,2025-11-23:20-18-26,22.9,1,0,4.692,st_actOFF,st_actOFF,st_cookNO,185,111,269
2025-11-23:20-18-49,2025-11-23:20-18-48,2025-11-23:20-18-30,22.7,0,0,4.692,st_actOFF,st_actOFF,st_cookYES,2566,431,9
2025-11-23:20-18-51,2025-11-23:20-18-50,2025-11-23:20-18-34,22.4,0,0,4.692,st_actOFF,st_actOFF,st_cookYES,201,35,26
2025-11-23:20-18-53,2025-11-23:20-18-50,2025-11-23:20-18-34,22.4,0,0,4.692,st_actOFF,st_actOFF,st_cookYES,201,35,37
2025-11-23:20-18-55,2025-11-23:20-18-54,2025-11-23:20-18-37,22.2,0,0,4.692,st_actOFF,st_actOFF,st_cookYES,180,17,20
2025-11-23:20-18-57,2025-11-23:20-18-54,2025-11-23:20-18-37,22.2,0,0,4.692,st_actOFF,st_actOFF,st_cookYES,180,17,19
2025-11-23:20-18-59,2025-11-23:20-18-58,2025-11-23:20-18-41,22,0,0,4.692,st_actOFF,st_actOFF,st_cookYES,175,110,24
2025-11-23:20-19-01,2025-11-23:20-18-58,2025-11-23:20-18-41,22,0,0,4.692,st_actOFF,st_actOFF,st_cookYES,175,110,22
2025-11-23:20-19-03,2025-11-23:20-19-02,2025-11-23:20-18-45,21.9,0,0,4.692,st_actOFF,st_actOFF,st_cookYES,131,29,20
2025-11-23:20-19-05,2025-11-23:20-19-02,2025-11-23:20-18-45,21.9,0,0,4.692,st_actOFF,st_actOFF,st_cookYES,131,29,25
