timestamp_backend_cook,timestamp_reasoner_cook,timestamp_iot_cook,temp,flame,gas,distance,buzzerStatus,exhaustStatus,cookingStatus,reasoningTime,endToEndTime,backendTime
2025-11-24:12-33-06,2025-11-24:12-33-05,2025-11-24:12-32-48,25.3,0,55.22264,30.6,st_actON,st_actON,st_cookYES,183,21,45
2025-11-24:12-33-09,2025-11-24:12-33-09,2025-11-24:12-32-52,25.3,0,55.22264,30.09,st_actON,st_actON,st_cookYES,220,20,72
2025-11-24:12-33-12,2025-11-24:12-33-09,2025-11-24:12-32-52,25.3,0,55.22264,30.09,st_actON,st_actON,st_cookYES,220,20,53
2025-11-24:12-33-14,2025-11-24:12-33-13,2025-11-24:12-32-56,25.3,0,55.22264,30.6,st_actON,st_actON,st_cookYES,214,18,78
2025-11-24:12-33-16,2025-11-24:12-33-13,2025-11-24:12-32-56,25.3,0,55.22264,30.6,st_actON,st_actON,st_cookYES,214,18,94
2025-11-24:12-33-18,2025-11-24:12-33-17,2025-11-24:12-33-00,25.3,0,50.96595,40.239,st_actON,st_actON,st_cookYES,206,23,127
2025-11-24:12-33-20,2025-11-24:12-33-17,2025-11-24:12-33-00,25.3,0,50.96595,40.239,st_actON,st_actON,st_cookYES,206,23,52
2025-11-24:12-33-22,2025-11-24:12-33-22,2025-11-24:12-33-04,25.3,0,55.22264,30.6,st_actON,st_actON,st_cookYES,198,30,48
2025-11-24:12-33-24,2025-11-24:12-33-22,2025-11-24:12-33-04,25.3,0,55.22264,30.6,st_actON,st_actON,st_cookYES,198,30,70
2025-11-24:12-33-26,2025-11-24:12-33-25,2025-11-24:12-33-08,25.3,0,55.22264,30.09,st_actON,st_actON,st_cookYES,205,163,75
2025-11-24:12-33-28,2025-11-24:12-33-25,2025-11-24:12-33-08,25.3,0,55.22264,30.09,st_actON,st_actON,st_cookYES,205,163,44
2025-11-24:12-33-30,2025-11-24:12-33-30,2025-11-24:12-33-12,25.3,0,55.22264,30.6,st_actON,st_actON,st_cookYES,206,17,54
2025-11-24:12-33-32,2025-11-24:12-33-30,2025-11-24:12-33-12,25.3,0,55.22264,30.6,st_actON,st_actON,st_cookYES,206,17,48
2025-11-24:12-33-34,2025-11-24:12-33-33,2025-11-24:12-33-16,25.3,0,50.96595,57.63,st_actON,st_actON,st_cookYES,187,21,52
2025-11-24:12-33-36,2025-11-24:12-33-33,2025-11-24:12-33-16,25.3,0,50.96595,57.63,st_actON,st_actON,st_cookYES,187,21,50
2025-11-24:12-33-38,2025-11-24:12-33-37,2025-11-24:12-33-20,25.3,0,50.96595,30.6,st_actON,st_actON,st_cookYES,195,147,36
2025-11-24:12-33-41,2025-11-24:12-33-37,2025-11-24:12-33-20,25.3,0,50.96595,30.6,st_actON,st_actON,st_cookYES,195,147,48
